ward,precinct,total,MADELINE L. HAITHCOCK,MADELINE L. HAITHCOCK Percent,GALEN L. McGEE,GALEN L. McGEE Percent,WILLIE MAY,WILLIE MAY Percent,JEROME J. (JERRY) GREEN,JEROME J. (JERRY) GREEN Percent,EDDIE WINTERS,EDDIE WINTERS Percent,BOBBY R. MORRIS,BOBBY R. MORRIS Percent,precinct_id
2,1,171,108,63.16,42,24.56,3,1.75,11,6.43,2,1.17,5,2.92,02001
2,2,11,7,63.64,0,0.0,0,0.0,1,9.09,2,18.18,1,9.09,02002
2,3,106,73,68.87,4,3.77,7,6.6,2,1.89,16,15.09,4,3.77,02003
2,4,121,61,50.41,26,21.49,2,1.65,3,2.48,8,6.61,21,17.36,02004
2,5,81,47,58.02,3,3.7,2,2.47,1,1.23,14,17.28,14,17.28,02005
2,6,55,36,65.45,9,16.36,4,7.27,4,7.27,1,1.82,1,1.82,02006
2,7,210,107,50.95,82,39.05,0,0.0,3,1.43,2,0.95,16,7.62,02007
2,8,213,134,62.91,65,30.52,2,0.94,5,2.35,6,2.82,1,0.47,02008
2,9,99,54,54.55,8,8.08,4,4.04,3,3.03,26,26.26,4,4.04,02009
2,10,52,26,50.0,13,25.0,1,1.92,1,1.92,7,13.46,4,7.69,02010
2,11,109,58,53.21,31,28.44,0,0.0,2,1.83,18,16.51,0,0.0,02011
2,12,85,48,56.47,31,36.47,1,1.18,3,3.53,2,2.35,0,0.0,02012
2,13,133,88,66.17,12,9.02,8,6.02,3,2.26,17,12.78,5,3.76,02013
2,14,280,162,57.86,111,39.64,2,0.71,0,0.0,5,1.79,0,0.0,02014
2,15,53,32,60.38,1,1.89,1,1.89,3,5.66,5,9.43,11,20.75,02015
2,16,95,54,56.84,12,12.63,4,4.21,1,1.05,7,7.37,17,17.89,02016
2,17,138,53,38.41,7,5.07,4,2.9,3,2.17,58,42.03,13,9.42,02017
2,18,263,176,66.92,64,24.33,2,0.76,9,3.42,6,2.28,6,2.28,02018
2,19,120,77,64.17,9,7.5,8,6.67,1,0.83,4,3.33,21,17.5,02019
2,20,182,106,58.24,52,28.57,0,0.0,2,1.1,19,10.44,3,1.65,02020
2,21,217,143,65.9,59,27.19,7,3.23,3,1.38,4,1.84,1,0.46,02021
2,22,301,190,63.12,93,30.9,0,0.0,9,2.99,9,2.99,0,0.0,02022
2,23,107,28,26.17,4,3.74,1,0.93,6,5.61,61,57.01,7,6.54,02023
2,24,89,60,67.42,2,2.25,3,3.37,2,2.25,13,14.61,9,10.11,02024
2,25,78,32,41.03,13,16.67,5,6.41,6,7.69,20,25.64,2,2.56,02025
2,26,167,112,67.07,36,21.56,6,3.59,5,2.99,6,3.59,2,1.2,02026
2,27,123,65,52.85,15,12.2,6,4.88,6,4.88,20,16.26,11,8.94,02027
2,28,37,25,67.57,8,21.62,2,5.41,2,5.41,0,0.0,0,0.0,02028
2,29,58,39,67.24,7,12.07,5,8.62,2,3.45,5,8.62,0,0.0,02029
2,30,85,49,57.65,10,11.76,3,3.53,5,5.88,7,8.24,11,12.94,02030
2,31,184,106,57.61,69,37.5,1,0.54,3,1.63,4,2.17,1,0.54,02031
2,32,58,31,53.45,11,18.97,2,3.45,0,0.0,5,8.62,9,15.52,02032
2,33,97,42,43.3,8,8.25,2,2.06,4,4.12,20,20.62,21,21.65,02033
2,34,205,98,47.8,8,3.9,3,1.46,6,2.93,76,37.07,14,6.83,02034
2,35,50,31,62.0,13,26.0,1,2.0,2,4.0,2,4.0,1,2.0,02035
2,36,71,38,53.52,7,9.86,5,7.04,3,4.23,11,15.49,7,9.86,02036
2,37,174,112,64.37,50,28.74,1,0.57,5,2.87,4,2.3,2,1.15,02037
2,38,168,84,50.0,19,11.31,7,4.17,16,9.52,35,20.83,7,4.17,02038
2,39,140,67,47.86,9,6.43,5,3.57,4,2.86,44,31.43,11,7.86,02039
2,40,190,124,65.26,49,25.79,0,0.0,7,3.68,4,2.11,6,3.16,02040
2,41,97,21,21.65,3,3.09,1,1.03,1,1.03,15,15.46,56,57.73,02041
2,42,52,36,69.23,3,5.77,2,3.85,1,1.92,1,1.92,9,17.31,02042
2,43,260,153,58.85,68,26.15,4,1.54,3,1.15,9,3.46,23,8.85,02043
2,44,142,68,47.89,40,28.17,8,5.63,5,3.52,7,4.93,14,9.86,02044
2,45,142,41,28.87,6,4.23,4,2.82,3,2.11,83,58.45,5,3.52,02045
2,46,269,138,51.3,86,31.97,0,0.0,3,1.12,40,14.87,2,0.74,02046
2,47,108,73,67.59,5,4.63,4,3.7,3,2.78,18,16.67,5,4.63,02047
2,48,92,46,50.0,5,5.43,3,3.26,4,4.35,27,29.35,7,7.61,02048
2,49,113,64,56.64,38,33.63,2,1.77,4,3.54,3,2.65,2,1.77,02049
2,50,119,83,69.75,13,10.92,3,2.52,4,3.36,14,11.76,2,1.68,02050
2,51,147,66,44.9,6,4.08,3,2.04,4,2.72,62,42.18,6,4.08,02051
2,52,152,52,34.21,3,1.97,7,4.61,4,2.63,80,52.63,6,3.95,02052
2,53,61,27,44.26,2,3.28,1,1.64,0,0.0,21,34.43,10,16.39,02053
2,54,167,88,52.69,65,38.92,1,0.6,5,2.99,4,2.4,4,2.4,02054
2,55,43,25,58.14,14,32.56,0,0.0,2,4.65,2,4.65,0,0.0,02055
2,56,129,64,49.61,6,4.65,4,3.1,0,0.0,31,24.03,24,18.6,02056
2,57,112,47,41.96,5,4.46,10,8.93,3,2.68,14,12.5,33,29.46,02057
2,58,72,43,59.72,20,27.78,1,1.39,0,0.0,3,4.17,5,6.94,02058
2,59,201,103,51.24,77,38.31,2,1.0,6,2.99,12,5.97,1,0.5,02059
