ward,precinct,total,BILLY OCASIO,BILLY OCASIO Percent,precinct_id
26,1,85,65,76.47,26001
26,2,126,80,63.49,26002
26,3,82,52,63.41,26003
26,4,107,90,84.11,26004
26,5,156,115,73.72,26005
26,6,117,101,86.32,26006
26,7,58,45,77.59,26007
26,8,92,65,70.65,26008
26,9,94,76,80.85,26009
26,10,93,65,69.89,26010
26,11,119,73,61.34,26011
26,12,63,36,57.14,26012
26,13,91,72,79.12,26013
26,14,102,89,87.25,26014
26,15,91,71,78.02,26015
26,16,90,76,84.44,26016
26,17,100,90,90.0,26017
26,18,58,47,81.03,26018
26,19,128,94,73.44,26019
26,20,87,65,74.71,26020
26,21,114,64,56.14,26021
26,22,57,41,71.93,26022
26,23,97,72,74.23,26023
26,24,74,58,78.38,26024
26,25,61,48,78.69,26025
26,26,85,71,83.53,26026
26,27,99,74,74.75,26027
26,28,116,77,66.38,26028
26,29,121,98,80.99,26029
26,30,78,56,71.79,26030
26,31,115,83,72.17,26031
26,32,133,106,79.7,26032
26,33,96,88,91.67,26033
26,34,107,72,67.29,26034
26,35,115,107,93.04,26035
26,36,123,99,80.49,26036
26,37,56,43,76.79,26037
26,38,61,53,86.89,26038
26,39,87,57,65.52,26039
26,40,52,43,82.69,26040
26,41,72,64,88.89,26041
26,42,80,63,78.75,26042
26,43,92,71,77.17,26043
26,44,59,37,62.71,26044
26,45,103,65,63.11,26045
26,46,151,112,74.17,26046
26,47,67,61,91.04,26047
26,48,135,103,76.3,26048
26,49,90,74,82.22,26049
26,50,61,50,81.97,26050
26,51,102,91,89.22,26051
26,52,45,26,57.78,26052
26,53,72,51,70.83,26053
26,54,65,58,89.23,26054
26,55,84,63,75.0,26055
26,56,79,57,72.15,26056
26,57,83,67,80.72,26057
26,58,88,70,79.55,26058
26,59,123,101,82.11,26059
26,60,83,64,77.11,26060
26,61,65,58,89.23,26061
26,62,125,86,68.8,26062
26,63,42,35,83.33,26063
