ward,precinct,total,THOMAS R. ALLEN,THOMAS R. ALLEN Percent,CHESTER R. HORNOWSKI,CHESTER R. HORNOWSKI Percent,precinct_id
38,1,223,204,91.48,19,8.52,38001
38,2,160,130,81.25,30,18.75,38002
38,3,174,161,92.53,13,7.47,38003
38,4,88,78,88.64,10,11.36,38004
38,5,238,212,89.08,26,10.92,38005
38,6,139,110,79.14,29,20.86,38006
38,7,192,170,88.54,22,11.46,38007
38,8,139,119,85.61,20,14.39,38008
38,9,143,125,87.41,18,12.59,38009
38,10,199,167,83.92,32,16.08,38010
38,11,161,146,90.68,15,9.32,38011
38,12,231,218,94.37,13,5.63,38012
38,13,149,127,85.23,22,14.77,38013
38,14,160,142,88.75,18,11.25,38014
38,15,143,130,90.91,13,9.09,38015
38,16,268,246,91.79,22,8.21,38016
38,17,163,156,95.71,7,4.29,38017
38,18,178,170,95.51,8,4.49,38018
38,19,225,206,91.56,19,8.44,38019
38,20,246,215,87.4,31,12.6,38020
38,21,177,148,83.62,29,16.38,38021
38,22,192,174,90.63,18,9.38,38022
38,23,142,132,92.96,10,7.04,38023
38,24,96,88,91.67,8,8.33,38024
38,25,155,138,89.03,17,10.97,38025
38,26,157,134,85.35,23,14.65,38026
38,27,100,94,94.0,6,6.0,38027
38,28,149,136,91.28,13,8.72,38028
38,29,154,126,81.82,28,18.18,38029
38,30,153,136,88.89,17,11.11,38030
38,31,215,198,92.09,17,7.91,38031
38,32,233,205,87.98,28,12.02,38032
38,33,164,146,89.02,18,10.98,38033
38,34,99,86,86.87,13,13.13,38034
38,35,208,185,88.94,23,11.06,38035
38,36,192,187,97.4,5,2.6,38036
38,37,182,151,82.97,31,17.03,38037
38,38,228,196,85.96,32,14.04,38038
38,39,163,139,85.28,24,14.72,38039
38,40,132,116,87.88,16,12.12,38040
38,41,289,276,95.5,13,4.5,38041
38,42,236,221,93.64,15,6.36,38042
38,43,201,178,88.56,23,11.44,38043
38,44,196,175,89.29,21,10.71,38044
38,45,204,187,91.67,17,8.33,38045
38,46,181,162,89.5,19,10.5,38046
38,47,210,196,93.33,14,6.67,38047
38,48,179,160,89.39,19,10.61,38048
38,49,167,145,86.83,22,13.17,38049
38,50,199,173,86.93,26,13.07,38050
38,51,154,135,87.66,19,12.34,38051
38,52,202,189,93.56,13,6.44,38052
38,53,39,30,76.92,9,23.08,38053
