ward,precinct,total,THOMAS M. TUNNEY,THOMAS M. TUNNEY Percent,RICK INGRAM,RICK INGRAM Percent,KAREN KENNEDY,KAREN KENNEDY Percent,MATTHEW A. FORDHAM,MATTHEW A. FORDHAM Percent,DEAN MARAGOS,DEAN MARAGOS Percent,precinct_id
44,1,220,147,66.82,38,17.27,12,5.45,2,0.91,21,9.55,44001
44,2,173,123,71.1,33,19.08,4,2.31,1,0.58,12,6.94,44002
44,3,257,188,73.15,25,9.73,6,2.33,1,0.39,37,14.4,44003
44,4,285,204,71.58,32,11.23,5,1.75,5,1.75,39,13.68,44004
44,5,223,133,59.64,52,23.32,6,2.69,2,0.9,30,13.45,44005
44,6,178,112,62.92,36,20.22,5,2.81,7,3.93,18,10.11,44006
44,7,248,179,72.18,39,15.73,2,0.81,0,0.0,28,11.29,44007
44,8,116,77,66.38,13,11.21,6,5.17,3,2.59,17,14.66,44008
44,9,286,130,45.45,104,36.36,15,5.24,7,2.45,30,10.49,44009
44,10,115,68,59.13,34,29.57,2,1.74,1,0.87,10,8.7,44010
44,11,294,146,49.66,108,36.73,10,3.4,7,2.38,23,7.82,44011
44,12,129,95,73.64,19,14.73,0,0.0,2,1.55,13,10.08,44012
44,13,145,72,49.66,31,21.38,5,3.45,4,2.76,33,22.76,44013
44,14,186,100,53.76,61,32.8,3,1.61,1,0.54,21,11.29,44014
44,15,248,122,49.19,89,35.89,6,2.42,3,1.21,28,11.29,44015
44,16,205,102,49.76,58,28.29,5,2.44,6,2.93,34,16.59,44016
44,17,226,128,56.64,49,21.68,2,0.88,5,2.21,42,18.58,44017
44,18,129,83,64.34,20,15.5,6,4.65,4,3.1,16,12.4,44018
44,19,109,62,56.88,23,21.1,4,3.67,5,4.59,15,13.76,44019
44,20,157,90,57.32,43,27.39,2,1.27,2,1.27,20,12.74,44020
44,21,183,112,61.2,39,21.31,3,1.64,2,1.09,27,14.75,44021
44,22,304,197,64.8,50,16.45,7,2.3,3,0.99,47,15.46,44022
44,23,187,126,67.38,34,18.18,5,2.67,0,0.0,22,11.76,44023
44,24,155,84,54.19,33,21.29,8,5.16,8,5.16,22,14.19,44024
44,25,220,110,50.0,61,27.73,6,2.73,5,2.27,38,17.27,44025
44,26,179,106,59.22,55,30.73,3,1.68,1,0.56,14,7.82,44026
44,27,209,108,51.67,71,33.97,7,3.35,3,1.44,20,9.57,44027
44,28,149,68,45.64,34,22.82,9,6.04,6,4.03,32,21.48,44028
44,29,164,89,54.27,46,28.05,1,0.61,6,3.66,22,13.41,44029
44,30,156,96,61.54,32,20.51,4,2.56,2,1.28,22,14.1,44030
44,31,268,142,52.99,42,15.67,34,12.69,12,4.48,38,14.18,44031
44,32,114,69,60.53,29,25.44,3,2.63,0,0.0,13,11.4,44032
44,33,261,144,55.17,86,32.95,6,2.3,2,0.77,23,8.81,44033
44,34,157,83,52.87,36,22.93,5,3.18,6,3.82,27,17.2,44034
44,35,230,156,67.83,36,15.65,9,3.91,6,2.61,23,10.0,44035
44,36,170,102,60.0,41,24.12,3,1.76,3,1.76,21,12.35,44036
44,37,284,187,65.85,71,25.0,2,0.7,4,1.41,20,7.04,44037
44,38,163,99,60.74,26,15.95,3,1.84,5,3.07,30,18.4,44038
44,39,166,98,59.04,34,20.48,5,3.01,6,3.61,23,13.86,44039
44,40,215,113,52.56,61,28.37,3,1.4,3,1.4,35,16.28,44040
44,41,223,105,47.09,80,35.87,7,3.14,6,2.69,25,11.21,44041
44,42,220,155,70.45,45,20.45,4,1.82,2,0.91,14,6.36,44042
44,43,214,134,62.62,25,11.68,8,3.74,3,1.4,44,20.56,44043
44,44,250,138,55.2,77,30.8,7,2.8,5,2.0,23,9.2,44044
44,45,217,151,69.59,35,16.13,5,2.3,7,3.23,19,8.76,44045
44,46,143,86,60.14,31,21.68,7,4.9,1,0.7,18,12.59,44046
44,47,248,138,55.65,51,20.56,8,3.23,3,1.21,48,19.35,44047
44,48,198,93,46.97,19,9.6,4,2.02,3,1.52,79,39.9,44048
44,49,343,261,76.09,40,11.66,8,2.33,4,1.17,30,8.75,44049
44,50,206,102,49.51,53,25.73,6,2.91,8,3.88,37,17.96,44050
