ward,precinct,total,LESLIE A. HAIRSTON,LESLIE A. HAIRSTON Percent,OSCAR WORRILL,OSCAR WORRILL Percent,ANTHONY T. BLAIR,ANTHONY T. BLAIR Percent,CAROLYN HIGHTOWER CHALMERS,CAROLYN HIGHTOWER CHALMERS Percent,precinct_id
5,1,189,130,68.78,34,17.99,10,5.29,15,7.94,05001
5,2,136,104,76.47,11,8.09,11,8.09,10,7.35,05002
5,3,83,63,75.9,9,10.84,5,6.02,6,7.23,05003
5,4,139,81,58.27,49,35.25,5,3.6,4,2.88,05004
5,5,152,101,66.45,17,11.18,24,15.79,10,6.58,05005
5,6,213,143,67.14,34,15.96,21,9.86,15,7.04,05006
5,7,197,139,70.56,34,17.26,14,7.11,10,5.08,05007
5,8,166,148,89.16,12,7.23,2,1.2,4,2.41,05008
5,9,165,113,68.48,20,12.12,19,11.52,13,7.88,05009
5,10,179,125,69.83,20,11.17,22,12.29,12,6.7,05010
5,11,167,141,84.43,9,5.39,9,5.39,8,4.79,05011
5,12,126,78,61.9,20,15.87,24,19.05,4,3.17,05012
5,13,157,98,62.42,22,14.01,23,14.65,14,8.92,05013
5,14,198,165,83.33,7,3.54,14,7.07,12,6.06,05014
5,15,135,100,74.07,18,13.33,11,8.15,6,4.44,05015
5,16,119,72,60.5,14,11.76,21,17.65,12,10.08,05016
5,17,201,138,68.66,26,12.94,21,10.45,16,7.96,05017
5,18,188,144,76.6,14,7.45,19,10.11,11,5.85,05018
5,19,102,66,64.71,22,21.57,9,8.82,5,4.9,05019
5,20,76,50,65.79,13,17.11,8,10.53,5,6.58,05020
5,21,205,137,66.83,20,9.76,19,9.27,29,14.15,05021
5,22,196,147,75.0,24,12.24,10,5.1,15,7.65,05022
5,23,148,102,68.92,22,14.86,10,6.76,14,9.46,05023
5,24,208,193,92.79,3,1.44,5,2.4,7,3.37,05024
5,25,189,120,63.49,23,12.17,21,11.11,25,13.23,05025
5,26,203,117,57.64,27,13.3,23,11.33,36,17.73,05026
5,27,144,125,86.81,13,9.03,4,2.78,2,1.39,05027
5,28,195,159,81.54,21,10.77,8,4.1,7,3.59,05028
5,29,202,147,72.77,33,16.34,11,5.45,11,5.45,05029
5,30,135,123,91.11,8,5.93,1,0.74,3,2.22,05030
5,31,163,100,61.35,18,11.04,7,4.29,38,23.31,05031
5,32,254,202,79.53,30,11.81,10,3.94,12,4.72,05032
5,33,156,117,75.0,26,16.67,6,3.85,7,4.49,05033
5,34,182,111,60.99,17,9.34,18,9.89,36,19.78,05034
5,35,123,87,70.73,20,16.26,6,4.88,10,8.13,05035
5,36,105,71,67.62,13,12.38,16,15.24,5,4.76,05036
5,37,106,91,85.85,4,3.77,9,8.49,2,1.89,05037
5,38,245,208,84.9,8,3.27,12,4.9,17,6.94,05038
5,39,146,132,90.41,7,4.79,3,2.05,4,2.74,05039
5,40,169,94,55.62,25,14.79,9,5.33,41,24.26,05040
5,41,126,110,87.3,2,1.59,6,4.76,8,6.35,05041
5,42,211,112,53.08,43,20.38,22,10.43,34,16.11,05042
5,43,199,156,78.39,21,10.55,10,5.03,12,6.03,05043
5,44,194,112,57.73,31,15.98,17,8.76,34,17.53,05044
5,45,116,88,75.86,10,8.62,9,7.76,9,7.76,05045
5,46,148,126,85.14,12,8.11,4,2.7,6,4.05,05046
5,47,143,90,62.94,25,17.48,11,7.69,17,11.89,05047
5,48,135,96,71.11,15,11.11,12,8.89,12,8.89,05048
5,49,43,32,74.42,6,13.95,5,11.63,0,0.0,05049
5,50,157,97,61.78,29,18.47,19,12.1,12,7.64,05050
5,51,128,69,53.91,23,17.97,25,19.53,11,8.59,05051
5,52,45,38,84.44,3,6.67,1,2.22,3,6.67,05052
5,53,223,170,76.23,12,5.38,25,11.21,16,7.17,05053
5,54,258,179,69.38,53,20.54,12,4.65,14,5.43,05054
5,55,147,98,66.67,21,14.29,16,10.88,12,8.16,05055
