ward,precinct,total,MICHAEL R. ZALEWSKI,MICHAEL R. ZALEWSKI Percent,precinct_id
23,1,309,247,79.94,23001
23,2,402,357,88.81,23002
23,3,301,240,79.73,23003
23,4,261,219,83.91,23004
23,5,228,162,71.05,23005
23,6,281,250,88.97,23006
23,7,77,50,64.94,23007
23,8,322,267,82.92,23008
23,9,219,148,67.58,23009
23,10,367,333,90.74,23010
23,11,342,301,88.01,23011
23,12,284,213,75.0,23012
23,13,371,273,73.58,23013
23,14,62,50,80.65,23014
23,15,278,233,83.81,23015
23,16,342,261,76.32,23016
23,17,352,270,76.7,23017
23,18,225,183,81.33,23018
23,19,271,224,82.66,23019
23,20,286,264,92.31,23020
23,21,156,93,59.62,23021
23,22,300,260,86.67,23022
23,23,289,237,82.01,23023
23,24,176,127,72.16,23024
23,25,189,156,82.54,23025
23,26,321,244,76.01,23026
23,27,215,172,80.0,23027
23,28,275,233,84.73,23028
23,29,209,172,82.3,23029
23,30,297,253,85.19,23030
23,31,209,162,77.51,23031
23,32,311,265,85.21,23032
23,33,308,279,90.58,23033
23,34,240,199,82.92,23034
23,35,134,67,50.0,23035
23,36,395,323,81.77,23036
23,37,140,103,73.57,23037
23,38,235,206,87.66,23038
23,39,287,246,85.71,23039
23,40,299,257,85.95,23040
23,41,247,214,86.64,23041
23,42,263,233,88.59,23042
23,43,326,290,88.96,23043
23,44,311,256,82.32,23044
23,45,330,251,76.06,23045
23,46,290,223,76.9,23046
23,47,340,256,75.29,23047
23,48,243,216,88.89,23048
23,49,372,291,78.23,23049
23,50,165,122,73.94,23050
23,51,272,220,80.88,23051
23,52,315,248,78.73,23052
23,53,207,178,85.99,23053
23,54,453,415,91.61,23054
23,55,327,280,85.63,23055
23,56,257,192,74.71,23056
