ward,precinct,total,"REGNER """"RAY"""" SUAREZ","REGNER """"RAY"""" SUAREZ Percent",precinct_id
31,1,85,85,100.0,31001
31,2,97,97,100.0,31002
31,3,134,134,100.0,31003
31,4,85,85,100.0,31004
31,5,110,110,100.0,31005
31,6,113,113,100.0,31006
31,7,74,74,100.0,31007
31,8,81,81,100.0,31008
31,9,97,97,100.0,31009
31,10,45,45,100.0,31010
31,11,66,66,100.0,31011
31,12,98,98,100.0,31012
31,13,90,90,100.0,31013
31,14,83,83,100.0,31014
31,15,80,80,100.0,31015
31,16,53,53,100.0,31016
31,17,118,118,100.0,31017
31,18,115,115,100.0,31018
31,19,121,121,100.0,31019
31,20,85,85,100.0,31020
31,21,129,129,100.0,31021
31,22,61,61,100.0,31022
31,23,82,82,100.0,31023
31,24,101,101,100.0,31024
31,25,105,105,100.0,31025
31,26,62,62,100.0,31026
31,27,76,76,100.0,31027
31,28,113,113,100.0,31028
31,29,106,106,100.0,31029
31,30,112,112,100.0,31030
31,31,145,145,100.0,31031
31,32,108,108,100.0,31032
31,33,86,86,100.0,31033
31,34,80,80,100.0,31034
31,35,93,93,100.0,31035
31,36,132,132,100.0,31036
31,37,112,112,100.0,31037
31,38,76,76,100.0,31038
31,39,97,97,100.0,31039
31,40,96,96,100.0,31040
31,41,86,86,100.0,31041
31,42,115,115,100.0,31042
31,43,110,110,100.0,31043
31,44,110,110,100.0,31044
31,45,89,89,100.0,31045
31,46,107,107,100.0,31046
31,47,149,149,100.0,31047
31,48,109,109,100.0,31048
31,49,51,51,100.0,31049
31,50,131,131,100.0,31050
31,51,106,106,100.0,31051
