ward,precinct,total,MICHAEL D. CHANDLER,MICHAEL D. CHANDLER Percent,BRUCE L. JACKSON,BRUCE L. JACKSON Percent,JOE ANN BRADLEY,JOE ANN BRADLEY Percent,MICHEAL OUTLEY,MICHEAL OUTLEY Percent,DENNIS DEER,DENNIS DEER Percent,SHIRLEY A. JOHNSON,SHIRLEY A. JOHNSON Percent,precinct_id
24,1,116,47,40.52,7,6.03,25,21.55,6,5.17,29,25.0,2,1.72,24001
24,2,164,87,53.05,11,6.71,40,24.39,1,0.61,22,13.41,3,1.83,24002
24,3,173,102,58.96,2,1.16,42,24.28,2,1.16,16,9.25,9,5.2,24003
24,4,128,66,51.56,12,9.38,30,23.44,2,1.56,11,8.59,7,5.47,24004
24,5,135,93,68.89,5,3.7,5,3.7,2,1.48,21,15.56,9,6.67,24005
24,6,170,98,57.65,8,4.71,30,17.65,2,1.18,25,14.71,7,4.12,24006
24,7,151,79,52.32,7,4.64,4,2.65,2,1.32,52,34.44,7,4.64,24007
24,8,162,70,43.21,4,2.47,48,29.63,10,6.17,24,14.81,6,3.7,24008
24,9,137,85,62.04,5,3.65,25,18.25,2,1.46,16,11.68,4,2.92,24009
24,10,141,67,47.52,13,9.22,28,19.86,3,2.13,22,15.6,8,5.67,24010
24,11,96,19,19.79,8,8.33,30,31.25,31,32.29,8,8.33,0,0.0,24011
24,12,145,45,31.03,2,1.38,91,62.76,0,0.0,5,3.45,2,1.38,24012
24,13,130,64,49.23,1,0.77,46,35.38,3,2.31,13,10.0,3,2.31,24013
24,14,195,92,47.18,30,15.38,35,17.95,3,1.54,21,10.77,14,7.18,24014
24,15,148,77,52.03,4,2.7,58,39.19,0,0.0,5,3.38,4,2.7,24015
24,16,109,70,64.22,4,3.67,9,8.26,7,6.42,13,11.93,6,5.5,24016
24,17,142,100,70.42,4,2.82,4,2.82,0,0.0,25,17.61,9,6.34,24017
24,18,106,64,60.38,3,2.83,11,10.38,2,1.89,14,13.21,12,11.32,24018
24,19,117,55,47.01,11,9.4,11,9.4,1,0.85,11,9.4,28,23.93,24019
24,20,171,115,67.25,3,1.75,15,8.77,1,0.58,22,12.87,15,8.77,24020
24,21,109,47,43.12,8,7.34,9,8.26,1,0.92,35,32.11,9,8.26,24021
24,22,157,66,42.04,2,1.27,73,46.5,2,1.27,11,7.01,3,1.91,24022
24,23,143,79,55.24,9,6.29,31,21.68,3,2.1,16,11.19,5,3.5,24023
24,24,110,54,49.09,9,8.18,25,22.73,2,1.82,14,12.73,6,5.45,24024
24,25,182,84,46.15,3,1.65,49,26.92,25,13.74,13,7.14,8,4.4,24025
24,26,183,99,54.1,10,5.46,38,20.77,1,0.55,21,11.48,14,7.65,24026
24,27,91,50,54.95,4,4.4,12,13.19,4,4.4,15,16.48,6,6.59,24027
24,28,184,96,52.17,11,5.98,43,23.37,3,1.63,22,11.96,9,4.89,24028
24,29,132,59,44.7,8,6.06,14,10.61,4,3.03,39,29.55,8,6.06,24029
24,30,146,52,35.62,16,10.96,38,26.03,2,1.37,26,17.81,12,8.22,24030
24,31,123,61,49.59,8,6.5,29,23.58,5,4.07,14,11.38,6,4.88,24031
24,32,182,120,65.93,9,4.95,9,4.95,0,0.0,28,15.38,16,8.79,24032
24,33,113,58,51.33,6,5.31,30,26.55,1,0.88,11,9.73,7,6.19,24033
24,34,141,65,46.1,9,6.38,40,28.37,1,0.71,15,10.64,11,7.8,24034
24,35,180,93,51.67,13,7.22,32,17.78,0,0.0,29,16.11,13,7.22,24035
24,36,154,67,43.51,15,9.74,29,18.83,22,14.29,17,11.04,4,2.6,24036
24,37,180,121,67.22,3,1.67,40,22.22,2,1.11,11,6.11,3,1.67,24037
24,38,152,100,65.79,14,9.21,20,13.16,0,0.0,9,5.92,9,5.92,24038
24,39,170,118,69.41,11,6.47,10,5.88,1,0.59,14,8.24,16,9.41,24039
24,40,199,90,45.23,8,4.02,21,10.55,6,3.02,63,31.66,11,5.53,24040
24,41,116,71,61.21,6,5.17,15,12.93,2,1.72,11,9.48,11,9.48,24041
24,42,131,83,63.36,5,3.82,6,4.58,10,7.63,19,14.5,8,6.11,24042
24,43,205,119,58.05,9,4.39,11,5.37,0,0.0,20,9.76,46,22.44,24043
24,44,59,42,71.19,2,3.39,8,13.56,0,0.0,4,6.78,3,5.08,24044
24,45,133,65,48.87,8,6.02,29,21.8,1,0.75,26,19.55,4,3.01,24045
24,46,124,56,45.16,8,6.45,13,10.48,2,1.61,23,18.55,22,17.74,24046
24,47,141,49,34.75,9,6.38,57,40.43,4,2.84,21,14.89,1,0.71,24047
24,48,88,51,57.95,4,4.55,10,11.36,4,4.55,15,17.05,4,4.55,24048
24,49,200,74,37.0,16,8.0,16,8.0,0,0.0,83,41.5,11,5.5,24049
24,50,230,136,59.13,16,6.96,34,14.78,2,0.87,17,7.39,25,10.87,24050
24,51,250,104,41.6,8,3.2,9,3.6,1,0.4,15,6.0,113,45.2,24051
24,52,151,93,61.59,10,6.62,20,13.25,1,0.66,17,11.26,10,6.62,24052
24,53,157,84,53.5,16,10.19,11,7.01,3,1.91,16,10.19,27,17.2,24053
24,54,132,68,51.52,5,3.79,29,21.97,5,3.79,16,12.12,9,6.82,24054
24,55,75,47,62.67,2,2.67,11,14.67,0,0.0,3,4.0,12,16.0,24055
24,56,153,80,52.29,7,4.58,28,18.3,3,1.96,24,15.69,11,7.19,24056
24,57,121,78,64.46,10,8.26,8,6.61,12,9.92,7,5.79,6,4.96,24057
24,58,176,91,51.7,7,3.98,47,26.7,4,2.27,22,12.5,5,2.84,24058
24,59,74,33,44.59,7,9.46,9,12.16,0,0.0,9,12.16,16,21.62,24059
