ward,precinct,total,EDWARD M. BURKE,EDWARD M. BURKE Percent,precinct_id
14,1,145,145,100.0,14001
14,2,118,118,100.0,14002
14,3,204,204,100.0,14003
14,4,113,113,100.0,14004
14,5,199,199,100.0,14005
14,6,115,115,100.0,14006
14,7,136,136,100.0,14007
14,8,110,110,100.0,14008
14,9,151,151,100.0,14009
14,10,156,156,100.0,14010
14,11,141,141,100.0,14011
14,12,108,108,100.0,14012
14,13,174,174,100.0,14013
14,14,97,97,100.0,14014
14,15,197,197,100.0,14015
14,16,153,153,100.0,14016
14,17,207,207,100.0,14017
14,18,150,150,100.0,14018
14,19,222,222,100.0,14019
14,20,124,124,100.0,14020
14,21,175,175,100.0,14021
14,22,162,162,100.0,14022
14,23,141,141,100.0,14023
14,24,145,145,100.0,14024
14,25,165,165,100.0,14025
14,26,100,100,100.0,14026
14,27,109,109,100.0,14027
14,28,157,157,100.0,14028
14,29,178,178,100.0,14029
14,30,131,131,100.0,14030
14,31,178,178,100.0,14031
14,32,89,89,100.0,14032
14,33,128,128,100.0,14033
14,34,116,116,100.0,14034
14,35,83,83,100.0,14035
14,36,203,203,100.0,14036
14,37,143,143,100.0,14037
