ward,precinct,total,"WALTER BURNETT, JR.","WALTER BURNETT, JR. Percent",EARNEST L. THOMAS,EARNEST L. THOMAS Percent,precinct_id
27,1,49,39,79.59,10,20.41,27001
27,2,117,92,78.63,25,21.37,27002
27,3,124,106,85.48,18,14.52,27003
27,4,109,86,78.9,23,21.1,27004
27,5,20,19,95.0,1,5.0,27005
27,6,89,76,85.39,13,14.61,27006
27,7,96,92,95.83,4,4.17,27007
27,8,55,46,83.64,9,16.36,27008
27,9,264,255,96.59,9,3.41,27009
27,10,255,228,89.41,27,10.59,27010
27,11,96,84,87.5,12,12.5,27011
27,12,32,29,90.63,3,9.38,27012
27,13,18,15,83.33,3,16.67,27013
27,14,70,65,92.86,5,7.14,27014
27,15,112,92,82.14,20,17.86,27015
27,16,64,51,79.69,13,20.31,27016
27,17,73,61,83.56,12,16.44,27017
27,18,62,54,87.1,8,12.9,27018
27,19,152,143,94.08,9,5.92,27019
27,20,192,187,97.4,5,2.6,27020
27,21,86,75,87.21,11,12.79,27021
27,22,130,113,86.92,17,13.08,27022
27,23,56,55,98.21,1,1.79,27023
27,24,147,137,93.2,10,6.8,27024
27,25,105,82,78.1,23,21.9,27025
27,26,130,117,90.0,13,10.0,27026
27,27,35,31,88.57,4,11.43,27027
27,28,157,140,89.17,17,10.83,27028
27,29,120,101,84.17,19,15.83,27029
27,30,92,85,92.39,7,7.61,27030
27,31,120,110,91.67,10,8.33,27031
27,32,169,158,93.49,11,6.51,27032
27,33,116,103,88.79,13,11.21,27033
27,34,120,113,94.17,7,5.83,27034
27,35,241,208,86.31,33,13.69,27035
27,36,124,99,79.84,25,20.16,27036
27,37,106,101,95.28,5,4.72,27037
27,38,105,95,90.48,10,9.52,27038
27,39,110,86,78.18,24,21.82,27039
27,40,98,94,95.92,4,4.08,27040
27,41,168,149,88.69,19,11.31,27041
27,42,63,48,76.19,15,23.81,27042
27,43,75,64,85.33,11,14.67,27043
27,44,111,61,54.95,50,45.05,27044
27,45,149,119,79.87,30,20.13,27045
27,46,156,144,92.31,12,7.69,27046
27,47,105,92,87.62,13,12.38,27047
27,48,106,73,68.87,33,31.13,27048
27,49,122,81,66.39,41,33.61,27049
27,50,206,177,85.92,29,14.08,27050
27,51,96,84,87.5,12,12.5,27051
27,52,56,54,96.43,2,3.57,27052
27,53,85,81,95.29,4,4.71,27053
27,54,129,112,86.82,17,13.18,27054
27,55,77,68,88.31,9,11.69,27055
27,56,83,69,83.13,14,16.87,27056
27,57,77,69,89.61,8,10.39,27057
27,58,122,115,94.26,7,5.74,27058
27,59,189,176,93.12,13,6.88,27059
27,60,151,124,82.12,27,17.88,27060
27,61,53,50,94.34,3,5.66,27061
27,62,122,115,94.26,7,5.74,27062
27,63,154,134,87.01,20,12.99,27063
27,64,105,97,92.38,8,7.62,27064
27,65,38,33,86.84,5,13.16,27065
27,66,124,118,95.16,6,4.84,27066
