ward,precinct,total,GLORIA JEAN SYKES,GLORIA JEAN SYKES Percent,BRIAN G. DOHERTY,BRIAN G. DOHERTY Percent,MIKE MARZULLO,MIKE MARZULLO Percent,SHARI MARIE CENTRONE,SHARI MARIE CENTRONE Percent,WAYNE C. DEMBOWSKI,WAYNE C. DEMBOWSKI Percent,precinct_id
41,1,183,19,10.38,139,75.96,19,10.38,1,0.55,5,2.73,41001
41,2,303,14,4.62,243,80.2,36,11.88,2,0.66,8,2.64,41002
41,3,165,5,3.03,111,67.27,38,23.03,6,3.64,5,3.03,41003
41,4,192,18,9.38,139,72.4,26,13.54,4,2.08,5,2.6,41004
41,5,275,27,9.82,202,73.45,29,10.55,5,1.82,12,4.36,41005
41,6,220,9,4.09,174,79.09,28,12.73,4,1.82,5,2.27,41006
41,7,312,31,9.94,228,73.08,33,10.58,14,4.49,6,1.92,41007
41,8,223,25,11.21,169,75.78,17,7.62,4,1.79,8,3.59,41008
41,9,185,14,7.57,120,64.86,39,21.08,4,2.16,8,4.32,41009
41,10,221,40,18.1,158,71.49,14,6.33,8,3.62,1,0.45,41010
41,11,183,14,7.65,137,74.86,24,13.11,5,2.73,3,1.64,41011
41,12,265,16,6.04,163,61.51,77,29.06,5,1.89,4,1.51,41012
41,13,167,3,1.8,125,74.85,20,11.98,12,7.19,7,4.19,41013
41,14,283,42,14.84,196,69.26,29,10.25,6,2.12,10,3.53,41014
41,15,136,16,11.76,104,76.47,10,7.35,5,3.68,1,0.74,41015
41,16,229,31,13.54,160,69.87,22,9.61,9,3.93,7,3.06,41016
41,17,236,18,7.63,172,72.88,25,10.59,16,6.78,5,2.12,41017
41,18,219,20,9.13,174,79.45,4,1.83,3,1.37,18,8.22,41018
41,19,228,22,9.65,163,71.49,26,11.4,13,5.7,4,1.75,41019
41,20,322,14,4.35,258,80.12,12,3.73,13,4.04,25,7.76,41020
41,21,265,24,9.06,166,62.64,59,22.26,9,3.4,7,2.64,41021
41,22,190,16,8.42,151,79.47,10,5.26,5,2.63,8,4.21,41022
41,23,214,26,12.15,145,67.76,19,8.88,7,3.27,17,7.94,41023
41,24,176,8,4.55,120,68.18,45,25.57,1,0.57,2,1.14,41024
41,25,83,4,4.82,54,65.06,14,16.87,9,10.84,2,2.41,41025
41,26,128,10,7.81,89,69.53,21,16.41,3,2.34,5,3.91,41026
41,27,83,5,6.02,58,69.88,14,16.87,2,2.41,4,4.82,41027
41,28,122,22,18.03,78,63.93,7,5.74,6,4.92,9,7.38,41028
41,29,74,6,8.11,48,64.86,6,8.11,6,8.11,8,10.81,41029
41,30,208,7,3.37,132,63.46,58,27.88,7,3.37,4,1.92,41030
41,31,249,16,6.43,203,81.53,17,6.83,4,1.61,9,3.61,41031
41,32,192,14,7.29,116,60.42,48,25.0,7,3.65,7,3.65,41032
41,33,247,7,2.83,208,84.21,17,6.88,3,1.21,12,4.86,41033
41,34,227,7,3.08,202,88.99,15,6.61,1,0.44,2,0.88,41034
