ward,precinct,total,SANDRA M. REED,SANDRA M. REED Percent,HELEN SHILLER,HELEN SHILLER Percent,precinct_id
46,1,424,177,41.75,247,58.25,46001
46,2,181,56,30.94,125,69.06,46002
46,3,268,119,44.4,149,55.6,46003
46,4,259,125,48.26,134,51.74,46004
46,5,241,72,29.88,169,70.12,46005
46,6,235,111,47.23,124,52.77,46006
46,7,251,115,45.82,136,54.18,46007
46,8,432,161,37.27,271,62.73,46008
46,9,317,198,62.46,119,37.54,46009
46,10,144,102,70.83,42,29.17,46010
46,11,257,176,68.48,81,31.52,46011
46,12,244,112,45.9,132,54.1,46012
46,13,251,96,38.25,155,61.75,46013
46,14,147,37,25.17,110,74.83,46014
46,15,181,99,54.7,82,45.3,46015
46,16,277,170,61.37,107,38.63,46016
46,17,325,153,47.08,172,52.92,46017
46,18,234,99,42.31,135,57.69,46018
46,19,221,72,32.58,149,67.42,46019
46,20,300,113,37.67,187,62.33,46020
46,21,57,21,36.84,36,63.16,46021
46,22,339,35,10.32,304,89.68,46022
46,23,205,51,24.88,154,75.12,46023
46,24,127,37,29.13,90,70.87,46024
46,25,255,79,30.98,176,69.02,46025
46,26,293,155,52.9,138,47.1,46026
46,27,256,144,56.25,112,43.75,46027
46,28,226,108,47.79,118,52.21,46028
46,29,217,69,31.8,148,68.2,46029
46,30,259,110,42.47,149,57.53,46030
46,31,227,80,35.24,147,64.76,46031
46,32,377,169,44.83,208,55.17,46032
46,33,245,117,47.76,128,52.24,46033
46,34,306,131,42.81,175,57.19,46034
46,35,336,154,45.83,182,54.17,46035
46,36,249,66,26.51,183,73.49,46036
46,37,89,41,46.07,48,53.93,46037
46,38,197,80,40.61,117,59.39,46038
46,39,215,110,51.16,105,48.84,46039
46,40,245,54,22.04,191,77.96,46040
46,41,301,104,34.55,197,65.45,46041
46,42,438,215,49.09,223,50.91,46042
46,43,128,43,33.59,85,66.41,46043
