ward,precinct,total,RICHARD F. MELL,RICHARD F. MELL Percent,DEB GORDILS,DEB GORDILS Percent,precinct_id
33,1,203,175,86.21,28,13.79,33001
33,2,326,294,90.18,32,9.82,33002
33,3,144,123,85.42,21,14.58,33003
33,4,242,214,88.43,28,11.57,33004
33,5,81,60,74.07,21,25.93,33005
33,6,268,247,92.16,21,7.84,33006
33,7,191,165,86.39,26,13.61,33007
33,8,204,184,90.2,20,9.8,33008
33,9,89,73,82.02,16,17.98,33009
33,10,342,329,96.2,13,3.8,33010
33,11,250,215,86.0,35,14.0,33011
33,12,275,232,84.36,43,15.64,33012
33,13,317,269,84.86,48,15.14,33013
33,14,145,114,78.62,31,21.38,33014
33,15,142,127,89.44,15,10.56,33015
33,16,105,97,92.38,8,7.62,33016
33,17,204,169,82.84,35,17.16,33017
33,18,70,55,78.57,15,21.43,33018
33,19,202,169,83.66,33,16.34,33019
33,20,165,146,88.48,19,11.52,33020
33,21,226,186,82.3,40,17.7,33021
33,22,305,287,94.1,18,5.9,33022
33,23,234,203,86.75,31,13.25,33023
33,24,192,164,85.42,28,14.58,33024
33,25,268,228,85.07,40,14.93,33025
33,26,141,110,78.01,31,21.99,33026
33,27,121,103,85.12,18,14.88,33027
33,28,200,153,76.5,47,23.5,33028
33,29,208,183,87.98,25,12.02,33029
33,30,158,133,84.18,25,15.82,33030
33,31,241,207,85.89,34,14.11,33031
33,32,186,159,85.48,27,14.52,33032
33,33,127,91,71.65,36,28.35,33033
33,34,127,114,89.76,13,10.24,33034
