ward,precinct,total,VILMA COLOM,VILMA COLOM Percent,REY COLON,REY COLON Percent,precinct_id
35,1,261,126,48.28,135,51.72,35001
35,2,255,128,50.2,127,49.8,35002
35,3,172,90,52.33,82,47.67,35003
35,4,284,104,36.62,180,63.38,35004
35,5,266,113,42.48,153,57.52,35005
35,6,219,120,54.79,99,45.21,35006
35,7,273,74,27.11,199,72.89,35007
35,8,219,61,27.85,158,72.15,35008
35,9,211,81,38.39,130,61.61,35009
35,10,201,79,39.3,122,60.7,35010
35,11,248,151,60.89,97,39.11,35011
35,12,270,74,27.41,196,72.59,35012
35,13,156,98,62.82,58,37.18,35013
35,14,287,168,58.54,119,41.46,35014
35,15,249,106,42.57,143,57.43,35015
35,16,207,103,49.76,104,50.24,35016
35,17,280,139,49.64,141,50.36,35017
35,18,289,112,38.75,177,61.25,35018
35,19,194,70,36.08,124,63.92,35019
35,20,214,115,53.74,99,46.26,35020
35,21,282,137,48.58,145,51.42,35021
35,22,113,48,42.48,65,57.52,35022
35,23,197,82,41.62,115,58.38,35023
35,24,165,98,59.39,67,40.61,35024
35,25,251,82,32.67,169,67.33,35025
35,26,289,114,39.45,175,60.55,35026
35,27,310,96,30.97,214,69.03,35027
35,28,274,65,23.72,209,76.28,35028
35,29,248,68,27.42,180,72.58,35029
35,30,301,86,28.57,215,71.43,35030
35,31,286,128,44.76,158,55.24,35031
35,32,164,90,54.88,74,45.12,35032
35,33,192,91,47.4,101,52.6,35033
35,34,224,64,28.57,160,71.43,35034
35,35,204,78,38.24,126,61.76,35035
