ward,precinct,total,TYRONE DE ANDRE HAWTHORNE,TYRONE DE ANDRE HAWTHORNE Percent,LATASHA R. THOMAS,LATASHA R. THOMAS Percent,LARRY A. MINTER JR.,LARRY A. MINTER JR. Percent,precinct_id
17,1,101,18,17.82,66,65.35,17,16.83,17001
17,2,151,23,15.23,122,80.79,6,3.97,17002
17,3,119,17,14.29,90,75.63,12,10.08,17003
17,4,214,20,9.35,189,88.32,5,2.34,17004
17,5,139,28,20.14,101,72.66,10,7.19,17005
17,6,130,18,13.85,106,81.54,6,4.62,17006
17,7,174,22,12.64,148,85.06,4,2.3,17007
17,8,93,7,7.53,76,81.72,10,10.75,17008
17,9,119,19,15.97,93,78.15,7,5.88,17009
17,10,197,27,13.71,168,85.28,2,1.02,17010
17,11,147,25,17.01,104,70.75,18,12.24,17011
17,12,195,27,13.85,166,85.13,2,1.03,17012
17,13,96,13,13.54,68,70.83,15,15.63,17013
17,14,145,18,12.41,111,76.55,16,11.03,17014
17,15,121,25,20.66,89,73.55,7,5.79,17015
17,16,133,18,13.53,108,81.2,7,5.26,17016
17,17,89,13,14.61,70,78.65,6,6.74,17017
17,18,192,22,11.46,167,86.98,3,1.56,17018
17,19,67,5,7.46,59,88.06,3,4.48,17019
17,20,140,39,27.86,87,62.14,14,10.0,17020
17,21,218,27,12.39,178,81.65,13,5.96,17021
17,22,162,27,16.67,126,77.78,9,5.56,17022
17,23,136,9,6.62,109,80.15,18,13.24,17023
17,24,142,20,14.08,115,80.99,7,4.93,17024
17,25,93,17,18.28,72,77.42,4,4.3,17025
17,26,183,21,11.48,148,80.87,14,7.65,17026
17,27,213,53,24.88,153,71.83,7,3.29,17027
17,28,157,18,11.46,111,70.7,28,17.83,17028
17,29,181,21,11.6,156,86.19,4,2.21,17029
17,30,190,24,12.63,157,82.63,9,4.74,17030
17,31,143,22,15.38,111,77.62,10,6.99,17031
17,32,128,30,23.44,76,59.38,22,17.19,17032
17,33,125,25,20.0,90,72.0,10,8.0,17033
17,34,142,25,17.61,108,76.06,9,6.34,17034
17,35,111,11,9.91,98,88.29,2,1.8,17035
17,36,88,11,12.5,70,79.55,7,7.95,17036
17,37,156,29,18.59,117,75.0,10,6.41,17037
17,38,141,22,15.6,112,79.43,7,4.96,17038
17,39,142,18,12.68,110,77.46,14,9.86,17039
17,40,109,16,14.68,84,77.06,9,8.26,17040
17,41,130,16,12.31,101,77.69,13,10.0,17041
17,42,109,11,10.09,91,83.49,7,6.42,17042
17,43,125,16,12.8,99,79.2,10,8.0,17043
17,44,124,8,6.45,112,90.32,4,3.23,17044
17,45,90,9,10.0,68,75.56,13,14.44,17045
17,46,145,15,10.34,115,79.31,15,10.34,17046
17,47,81,1,1.23,72,88.89,8,9.88,17047
17,48,164,21,12.8,136,82.93,7,4.27,17048
17,49,109,16,14.68,78,71.56,15,13.76,17049
17,50,144,13,9.03,125,86.81,6,4.17,17050
17,51,204,23,11.27,176,86.27,5,2.45,17051
17,52,203,30,14.78,169,83.25,4,1.97,17052
17,53,167,17,10.18,145,86.83,5,2.99,17053
17,54,162,23,14.2,131,80.86,8,4.94,17054
17,55,128,22,17.19,98,76.56,8,6.25,17055
17,56,125,18,14.4,98,78.4,9,7.2,17056
17,57,164,21,12.8,135,82.32,8,4.88,17057
17,58,112,7,6.25,103,91.96,2,1.79,17058
17,59,97,8,8.25,80,82.47,9,9.28,17059
17,60,184,13,7.07,163,88.59,8,4.35,17060
17,61,110,14,12.73,87,79.09,9,8.18,17061
17,62,112,16,14.29,89,79.46,7,6.25,17062
17,63,81,9,11.11,63,77.78,9,11.11,17063
17,64,92,13,14.13,67,72.83,12,13.04,17064
