ward,precinct,total,"THEODORE """"TED"""" THOMAS","THEODORE """"TED"""" THOMAS Percent",LIVIA VILLARREAL,LIVIA VILLARREAL Percent,BOB LOVE,BOB LOVE Percent,SANDRA L. MALLORY,SANDRA L. MALLORY Percent,MICHAEL SMITH,MICHAEL SMITH Percent,VESTA LEWIS DIXON,VESTA LEWIS DIXON Percent,precinct_id
15,1,120,60,50.0,35,29.17,19,15.83,5,4.17,1,0.83,0,0.0,15001
15,2,120,42,35.0,1,0.83,43,35.83,11,9.17,10,8.33,13,10.83,15002
15,3,139,31,22.3,5,3.6,20,14.39,4,2.88,4,2.88,75,53.96,15003
15,4,105,34,32.38,2,1.9,18,17.14,3,2.86,13,12.38,35,33.33,15004
15,5,109,53,48.62,1,0.92,25,22.94,9,8.26,13,11.93,8,7.34,15005
15,6,128,49,38.28,33,25.78,40,31.25,1,0.78,4,3.13,1,0.78,15006
15,7,78,34,43.59,1,1.28,29,37.18,7,8.97,1,1.28,6,7.69,15007
15,8,146,54,36.99,27,18.49,48,32.88,11,7.53,3,2.05,3,2.05,15008
15,9,137,69,50.36,29,21.17,37,27.01,1,0.73,0,0.0,1,0.73,15009
15,10,142,55,38.73,65,45.77,16,11.27,3,2.11,2,1.41,1,0.7,15010
15,11,115,42,36.52,6,5.22,51,44.35,5,4.35,5,4.35,6,5.22,15011
15,12,83,31,37.35,3,3.61,36,43.37,3,3.61,1,1.2,9,10.84,15012
15,13,77,26,33.77,13,16.88,29,37.66,5,6.49,2,2.6,2,2.6,15013
15,14,215,36,16.74,164,76.28,15,6.98,0,0.0,0,0.0,0,0.0,15014
15,15,168,33,19.64,44,26.19,82,48.81,6,3.57,2,1.19,1,0.6,15015
15,16,134,36,26.87,74,55.22,21,15.67,2,1.49,0,0.0,1,0.75,15016
15,17,123,48,39.02,8,6.5,30,24.39,9,7.32,1,0.81,27,21.95,15017
15,18,112,30,26.79,1,0.89,27,24.11,49,43.75,1,0.89,4,3.57,15018
15,19,138,47,34.06,16,11.59,43,31.16,7,5.07,6,4.35,19,13.77,15019
15,20,110,61,55.45,5,4.55,28,25.45,13,11.82,2,1.82,1,0.91,15020
15,21,134,47,35.07,2,1.49,66,49.25,11,8.21,4,2.99,4,2.99,15021
15,22,146,74,50.68,16,10.96,46,31.51,5,3.42,1,0.68,4,2.74,15022
15,23,91,30,32.97,12,13.19,26,28.57,6,6.59,5,5.49,12,13.19,15023
15,24,115,49,42.61,13,11.3,45,39.13,2,1.74,3,2.61,3,2.61,15024
15,25,124,64,51.61,28,22.58,26,20.97,5,4.03,1,0.81,0,0.0,15025
15,26,92,41,44.57,4,4.35,30,32.61,9,9.78,1,1.09,7,7.61,15026
15,27,107,47,43.93,19,17.76,29,27.1,3,2.8,1,0.93,8,7.48,15027
15,28,167,43,25.75,113,67.66,9,5.39,1,0.6,1,0.6,0,0.0,15028
15,29,63,28,44.44,1,1.59,25,39.68,0,0.0,2,3.17,7,11.11,15029
15,30,143,50,34.97,14,9.79,56,39.16,9,6.29,4,2.8,10,6.99,15030
15,31,95,48,50.53,2,2.11,28,29.47,7,7.37,7,7.37,3,3.16,15031
15,32,127,27,21.26,34,26.77,59,46.46,1,0.79,4,3.15,2,1.57,15032
15,33,96,34,35.42,4,4.17,37,38.54,12,12.5,5,5.21,4,4.17,15033
15,34,88,29,32.95,0,0.0,33,37.5,21,23.86,3,3.41,2,2.27,15034
15,35,131,44,33.59,0,0.0,24,18.32,7,5.34,1,0.76,55,41.98,15035
15,36,102,27,26.47,1,0.98,16,15.69,8,7.84,2,1.96,48,47.06,15036
15,37,112,51,45.54,6,5.36,37,33.04,10,8.93,5,4.46,3,2.68,15037
15,38,103,46,44.66,18,17.48,29,28.16,2,1.94,3,2.91,5,4.85,15038
15,39,141,80,56.74,14,9.93,29,20.57,3,2.13,6,4.26,9,6.38,15039
15,40,111,54,48.65,1,0.9,40,36.04,12,10.81,2,1.8,2,1.8,15040
15,41,152,54,35.53,31,20.39,59,38.82,3,1.97,0,0.0,5,3.29,15041
15,42,86,26,30.23,2,2.33,29,33.72,5,5.81,6,6.98,18,20.93,15042
15,43,105,42,40.0,4,3.81,30,28.57,4,3.81,3,2.86,22,20.95,15043
15,44,159,72,45.28,57,35.85,23,14.47,7,4.4,0,0.0,0,0.0,15044
15,45,59,19,32.2,19,32.2,20,33.9,1,1.69,0,0.0,0,0.0,15045
15,46,112,53,47.32,3,2.68,37,33.04,11,9.82,2,1.79,6,5.36,15046
15,47,144,78,54.17,2,1.39,43,29.86,6,4.17,1,0.69,14,9.72,15047
15,48,94,41,43.62,16,17.02,26,27.66,5,5.32,4,4.26,2,2.13,15048
15,49,100,36,36.0,41,41.0,17,17.0,4,4.0,2,2.0,0,0.0,15049
15,50,108,34,31.48,5,4.63,59,54.63,3,2.78,7,6.48,0,0.0,15050
15,51,76,38,50.0,2,2.63,19,25.0,12,15.79,0,0.0,5,6.58,15051
15,52,66,38,57.58,1,1.52,12,18.18,4,6.06,2,3.03,9,13.64,15052
