ward,precinct,total,MARGARET LAURINO,MARGARET LAURINO Percent,precinct_id
39,1,141,141,100.0,39001
39,2,323,323,100.0,39002
39,3,172,172,100.0,39003
39,4,92,92,100.0,39004
39,5,140,140,100.0,39005
39,6,144,144,100.0,39006
39,7,128,128,100.0,39007
39,8,255,255,100.0,39008
39,9,164,164,100.0,39009
39,10,143,143,100.0,39010
39,11,242,242,100.0,39011
39,12,109,109,100.0,39012
39,13,76,76,100.0,39013
39,14,153,153,100.0,39014
39,15,149,149,100.0,39015
39,16,88,88,100.0,39016
39,17,121,121,100.0,39017
39,18,162,162,100.0,39018
39,19,147,147,100.0,39019
39,20,125,125,100.0,39020
39,21,104,104,100.0,39021
39,22,202,202,100.0,39022
39,23,104,104,100.0,39023
39,24,144,144,100.0,39024
39,25,162,162,100.0,39025
39,26,159,159,100.0,39026
39,27,164,164,100.0,39027
39,28,168,168,100.0,39028
39,29,183,183,100.0,39029
39,30,96,96,100.0,39030
39,31,89,89,100.0,39031
39,32,229,229,100.0,39032
39,33,160,160,100.0,39033
39,34,162,162,100.0,39034
39,35,144,144,100.0,39035
39,36,255,255,100.0,39036
39,37,209,209,100.0,39037
39,38,152,152,100.0,39038
39,39,97,97,100.0,39039
39,40,132,132,100.0,39040
39,41,80,80,100.0,39041
39,42,158,158,100.0,39042
39,43,123,123,100.0,39043
39,44,237,237,100.0,39044
39,45,92,92,100.0,39045
39,46,123,123,100.0,39046
39,47,129,129,100.0,39047
