ward,precinct,total,"HAROLD """"NOONIE"""" WARD","HAROLD """"NOONIE"""" WARD Percent",ANTHONY A. BEALE,ANTHONY A. BEALE Percent,REGINALD C. HUGHES,REGINALD C. HUGHES Percent,NECOLE K. MUHAMMAD,NECOLE K. MUHAMMAD Percent,precinct_id
9,1,218,12,5.5,148,67.89,20,9.17,38,17.43,09001
9,2,243,10,4.12,196,80.66,10,4.12,27,11.11,09002
9,3,127,72,56.69,43,33.86,3,2.36,9,7.09,09003
9,4,215,7,3.26,138,64.19,16,7.44,54,25.12,09004
9,5,195,21,10.77,142,72.82,10,5.13,22,11.28,09005
9,6,152,11,7.24,121,79.61,8,5.26,12,7.89,09006
9,7,184,21,11.41,124,67.39,16,8.7,23,12.5,09007
9,8,159,7,4.4,91,57.23,55,34.59,6,3.77,09008
9,9,239,16,6.69,167,69.87,26,10.88,30,12.55,09009
9,10,174,12,6.9,146,83.91,12,6.9,4,2.3,09010
9,11,114,65,57.02,39,34.21,4,3.51,6,5.26,09011
9,12,187,13,6.95,131,70.05,15,8.02,28,14.97,09012
9,13,286,15,5.24,216,75.52,16,5.59,39,13.64,09013
9,14,281,18,6.41,227,80.78,10,3.56,26,9.25,09014
9,15,63,23,36.51,28,44.44,2,3.17,10,15.87,09015
9,16,157,12,7.64,112,71.34,14,8.92,19,12.1,09016
9,17,144,3,2.08,123,85.42,1,0.69,17,11.81,09017
9,18,208,19,9.13,133,63.94,16,7.69,40,19.23,09018
9,19,187,13,6.95,142,75.94,7,3.74,25,13.37,09019
9,20,229,15,6.55,167,72.93,22,9.61,25,10.92,09020
9,21,127,5,3.94,100,78.74,8,6.3,14,11.02,09021
9,22,221,18,8.14,147,66.52,29,13.12,27,12.22,09022
9,23,145,9,6.21,94,64.83,27,18.62,15,10.34,09023
9,24,98,63,64.29,23,23.47,3,3.06,9,9.18,09024
9,25,87,8,9.2,56,64.37,16,18.39,7,8.05,09025
9,26,104,22,21.15,47,45.19,2,1.92,33,31.73,09026
9,27,122,6,4.92,95,77.87,10,8.2,11,9.02,09027
9,28,115,14,12.17,77,66.96,13,11.3,11,9.57,09028
9,29,147,10,6.8,108,73.47,12,8.16,17,11.56,09029
9,30,134,11,8.21,101,75.37,12,8.96,10,7.46,09030
9,31,133,11,8.27,91,68.42,9,6.77,22,16.54,09031
9,32,192,11,5.73,149,77.6,15,7.81,17,8.85,09032
9,33,130,56,43.08,62,47.69,3,2.31,9,6.92,09033
9,34,156,20,12.82,93,59.62,25,16.03,18,11.54,09034
9,35,229,6,2.62,208,90.83,6,2.62,9,3.93,09035
9,36,105,7,6.67,24,22.86,71,67.62,3,2.86,09036
9,37,184,17,9.24,82,44.57,45,24.46,40,21.74,09037
9,38,183,13,7.1,115,62.84,42,22.95,13,7.1,09038
9,39,176,9,5.11,117,66.48,7,3.98,43,24.43,09039
9,40,234,6,2.56,159,67.95,11,4.7,58,24.79,09040
9,41,232,19,8.19,162,69.83,10,4.31,41,17.67,09041
9,42,133,92,69.17,26,19.55,3,2.26,12,9.02,09042
9,43,136,30,22.06,76,55.88,11,8.09,19,13.97,09043
9,44,141,9,6.38,123,87.23,1,0.71,8,5.67,09044
9,45,173,13,7.51,117,67.63,6,3.47,37,21.39,09045
9,46,146,12,8.22,97,66.44,8,5.48,29,19.86,09046
9,47,116,35,30.17,54,46.55,12,10.34,15,12.93,09047
9,48,223,15,6.73,130,58.3,19,8.52,59,26.46,09048
9,49,58,6,10.34,30,51.72,16,27.59,6,10.34,09049
9,50,62,2,3.23,43,69.35,1,1.61,16,25.81,09050
9,51,130,12,9.23,93,71.54,10,7.69,15,11.54,09051
9,52,201,12,5.97,158,78.61,15,7.46,16,7.96,09052
9,53,154,14,9.09,82,53.25,12,7.79,46,29.87,09053
9,54,158,9,5.7,92,58.23,20,12.66,37,23.42,09054
9,55,100,7,7.0,83,83.0,4,4.0,6,6.0,09055
9,56,102,12,11.76,67,65.69,12,11.76,11,10.78,09056
9,57,136,16,11.76,75,55.15,34,25.0,11,8.09,09057
9,58,120,15,12.5,62,51.67,12,10.0,31,25.83,09058
