ward,precinct,total,William J. Cadigan (Romney),William J. Cadigan (Romney) Percent,Adam Robinson (Romney),Adam Robinson (Romney) Percent,Peter Pigott (Paul),Peter Pigott (Paul) Percent,Peter Wood (Paul),Peter Wood (Paul) Percent,John Skrabutenas (Paul),John Skrabutenas (Paul) Percent,Sean O'Leary (Gingrich),Sean O'Leary (Gingrich) Percent,Chris Provenzano (Gingrich),Chris Provenzano (Gingrich) Percent,Nathan A. Ulery (Gingrich),Nathan A. Ulery (Gingrich) Percent,Lisa A. Smith (Santorum),Lisa A. Smith (Santorum) Percent,Steven S. Polit (Santorum),Steven S. Polit (Santorum) Percent,"Frank J. Biga, III (Santorum)","Frank J. Biga, III (Santorum) Percent",precinct_id
40,3,30,5,16.67,5,16.67,2,6.67,2,6.67,2,6.67,1,3.33,1,3.33,1,3.33,2,6.67,2,6.67,2,6.67,40003
40,4,39,8,20.51,8,20.51,1,2.56,1,2.56,1,2.56,0,0.0,0,0.0,0,0.0,4,10.26,4,10.26,4,10.26,40004
40,7,51,10,19.61,9,17.65,6,11.76,5,9.8,5,9.8,0,0.0,0,0.0,0,0.0,2,3.92,2,3.92,2,3.92,40007
40,8,22,3,13.64,3,13.64,2,9.09,1,4.55,1,4.55,0,0.0,0,0.0,0,0.0,3,13.64,3,13.64,2,9.09,40008
40,9,59,12,20.34,10,16.95,3,5.08,3,5.08,2,3.39,0,0.0,0,0.0,0,0.0,5,8.47,6,10.17,5,8.47,40009
40,11,33,5,15.15,5,15.15,0,0.0,0,0.0,0,0.0,1,3.03,1,3.03,1,3.03,5,15.15,5,15.15,5,15.15,40011
40,12,12,3,25.0,4,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.33,0,0.0,0,0.0,40012
40,13,77,12,15.58,12,15.58,5,6.49,6,7.79,5,6.49,3,3.9,3,3.9,3,3.9,5,6.49,6,7.79,5,6.49,40013
40,16,54,7,12.96,8,14.81,6,11.11,5,9.26,4,7.41,3,5.56,3,5.56,1,1.85,3,5.56,4,7.41,2,3.7,40016
40,18,34,7,20.59,6,17.65,3,8.82,3,8.82,4,11.76,0,0.0,0,0.0,0,0.0,2,5.88,2,5.88,3,8.82,40018
40,22,25,4,16.0,4,16.0,1,4.0,1,4.0,1,4.0,2,8.0,1,4.0,1,4.0,2,8.0,2,8.0,2,8.0,40022
40,26,29,6,20.69,6,20.69,1,3.45,1,3.45,0,0.0,2,6.9,2,6.9,2,6.9,1,3.45,1,3.45,1,3.45,40026
40,27,41,6,14.63,5,12.2,1,2.44,2,4.88,1,2.44,1,2.44,1,2.44,1,2.44,6,14.63,6,14.63,5,12.2,40027
40,28,57,8,14.04,8,14.04,2,3.51,2,3.51,2,3.51,0,0.0,0,0.0,0,0.0,9,15.79,9,15.79,9,15.79,40028
40,31,63,11,17.46,10,15.87,6,9.52,4,6.35,4,6.35,0,0.0,0,0.0,0,0.0,7,11.11,6,9.52,5,7.94,40031
40,33,56,10,17.86,8,14.29,4,7.14,4,7.14,4,7.14,0,0.0,0,0.0,0,0.0,6,10.71,5,8.93,6,10.71,40033
40,35,57,10,17.54,6,10.53,5,8.77,5,8.77,4,7.02,1,1.75,2,3.51,1,1.75,4,7.02,5,8.77,3,5.26,40035
40,36,91,14,15.38,13,14.29,6,6.59,3,3.3,3,3.3,4,4.4,5,5.49,4,4.4,8,8.79,8,8.79,7,7.69,40036
40,37,60,10,16.67,9,15.0,2,3.33,3,5.0,2,3.33,3,5.0,1,1.67,1,1.67,7,11.67,4,6.67,6,10.0,40037
40,39,68,10,14.71,9,13.24,4,5.88,5,7.35,5,7.35,0,0.0,2,2.94,0,0.0,8,11.76,7,10.29,8,11.76,40039
40,41,100,17,17.0,15,15.0,3,3.0,3,3.0,3,3.0,4,4.0,4,4.0,4,4.0,11,11.0,10,10.0,8,8.0,40041
41,1,263,52,19.77,50,19.01,6,2.28,8,3.04,3,1.14,5,1.9,6,2.28,5,1.9,24,9.13,24,9.13,25,9.51,41001
41,2,224,32,14.29,31,13.84,6,2.68,9,4.02,6,2.68,13,5.8,13,5.8,11,4.91,26,11.61,22,9.82,23,10.27,41002
