ward,precinct,total,Kurt Fujio,Kurt Fujio Percent,Suzanne Devane,Suzanne Devane Percent,precinct_id
49,1,5,5,100.0,0,0.0,49001
49,2,24,10,41.67,14,58.33,49002
49,3,9,5,55.56,4,44.44,49003
49,4,7,3,42.86,4,57.14,49004
49,5,11,3,27.27,8,72.73,49005
49,6,13,8,61.54,5,38.46,49006
49,7,26,9,34.62,17,65.38,49007
49,8,19,8,42.11,11,57.89,49008
49,9,9,2,22.22,7,77.78,49009
49,10,22,12,54.55,10,45.45,49010
49,11,10,5,50.0,5,50.0,49011
49,12,20,9,45.0,11,55.0,49012
49,13,17,9,52.94,8,47.06,49013
49,14,29,14,48.28,15,51.72,49014
49,15,12,9,75.0,3,25.0,49015
49,16,16,5,31.25,11,68.75,49016
49,17,4,2,50.0,2,50.0,49017
49,18,13,7,53.85,6,46.15,49018
49,19,11,3,27.27,8,72.73,49019
49,20,17,6,35.29,11,64.71,49020
49,21,11,3,27.27,8,72.73,49021
49,22,10,5,50.0,5,50.0,49022
49,23,5,2,40.0,3,60.0,49023
49,24,23,11,47.83,12,52.17,49024
49,25,11,5,45.45,6,54.55,49025
49,26,24,13,54.17,11,45.83,49026
49,27,9,3,33.33,6,66.67,49027
49,28,19,10,52.63,9,47.37,49028
49,29,19,8,42.11,11,57.89,49029
49,30,10,5,50.0,5,50.0,49030
49,31,16,6,37.5,10,62.5,49031
49,32,7,3,42.86,4,57.14,49032
49,33,16,7,43.75,9,56.25,49033
49,34,9,2,22.22,7,77.78,49034
49,35,20,8,40.0,12,60.0,49035
49,36,13,4,30.77,9,69.23,49036
49,37,21,10,47.62,11,52.38,49037
49,38,7,3,42.86,4,57.14,49038
