ward,precinct,total,Cheryl A. Frauen (Romney),Cheryl A. Frauen (Romney) Percent,Stephen Jaye (Paul),Stephen Jaye (Paul) Percent,Victoria Ledesma (Paul),Victoria Ledesma (Paul) Percent,Jay Reyes (Gingrich),Jay Reyes (Gingrich) Percent,Eric R. Sawchuk (Gingrich),Eric R. Sawchuk (Gingrich) Percent,precinct_id
1,1,4,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,01001
1,9,33,7,21.21,3,9.09,6,18.18,6,18.18,5,15.15,01009
1,13,29,8,27.59,8,27.59,5,17.24,0,0.0,0,0.0,01013
1,15,11,1,9.09,2,18.18,3,27.27,4,36.36,1,9.09,01015
1,18,18,5,27.78,3,16.67,2,11.11,1,5.56,3,16.67,01018
1,19,24,7,29.17,3,12.5,3,12.5,2,8.33,2,8.33,01019
1,20,20,6,30.0,4,20.0,1,5.0,0,0.0,3,15.0,01020
1,22,17,4,23.53,2,11.76,3,17.65,4,23.53,2,11.76,01022
1,24,42,11,26.19,5,11.9,7,16.67,4,9.52,3,7.14,01024
1,27,41,11,26.83,7,17.07,5,12.2,4,9.76,3,7.32,01027
1,29,34,10,29.41,5,14.71,5,14.71,2,5.88,2,5.88,01029
1,30,47,16,34.04,8,17.02,7,14.89,1,2.13,0,0.0,01030
1,32,21,5,23.81,4,19.05,5,23.81,1,4.76,1,4.76,01032
1,34,15,0,0.0,4,26.67,5,33.33,3,20.0,2,13.33,01034
1,38,30,11,36.67,4,13.33,4,13.33,0,0.0,0,0.0,01038
1,43,29,7,24.14,5,17.24,3,10.34,5,17.24,4,13.79,01043
1,44,6,3,50.0,0,0.0,0,0.0,0,0.0,0,0.0,01044
11,3,12,3,25.0,2,16.67,1,8.33,2,16.67,2,16.67,11003
11,10,12,2,16.67,0,0.0,1,8.33,4,33.33,3,25.0,11010
11,18,32,6,18.75,5,15.63,4,12.5,6,18.75,5,15.63,11018
12,1,13,2,15.38,2,15.38,2,15.38,2,15.38,1,7.69,12001
12,2,8,1,12.5,1,12.5,0,0.0,2,25.0,2,25.0,12002
12,3,22,6,27.27,1,4.55,1,4.55,4,18.18,2,9.09,12003
12,4,9,0,0.0,3,33.33,1,11.11,3,33.33,1,11.11,12004
12,5,14,4,28.57,4,28.57,1,7.14,1,7.14,1,7.14,12005
12,7,15,3,20.0,3,20.0,5,33.33,1,6.67,0,0.0,12007
12,8,26,5,19.23,7,26.92,5,19.23,2,7.69,1,3.85,12008
12,9,4,1,25.0,0,0.0,1,25.0,1,25.0,1,25.0,12009
12,10,12,4,33.33,1,8.33,1,8.33,2,16.67,1,8.33,12010
12,11,20,4,20.0,3,15.0,3,15.0,4,20.0,0,0.0,12011
