ward,precinct,total,Adam Robinson,Adam Robinson Percent,precinct_id
48,1,17,17,100.0,48001
48,2,22,22,100.0,48002
48,3,20,20,100.0,48003
48,4,20,20,100.0,48004
48,5,25,25,100.0,48005
48,6,20,20,100.0,48006
48,7,10,10,100.0,48007
48,8,21,21,100.0,48008
48,9,30,30,100.0,48009
48,10,6,6,100.0,48010
48,11,12,12,100.0,48011
48,12,16,16,100.0,48012
48,13,13,13,100.0,48013
48,14,44,44,100.0,48014
48,15,5,5,100.0,48015
48,16,23,23,100.0,48016
48,17,16,16,100.0,48017
48,18,11,11,100.0,48018
48,19,6,6,100.0,48019
48,20,9,9,100.0,48020
48,21,23,23,100.0,48021
48,22,23,23,100.0,48022
48,23,13,13,100.0,48023
48,24,2,2,100.0,48024
48,25,18,18,100.0,48025
48,26,20,20,100.0,48026
48,27,14,14,100.0,48027
48,28,14,14,100.0,48028
48,29,12,12,100.0,48029
48,30,10,10,100.0,48030
48,31,12,12,100.0,48031
48,32,8,8,100.0,48032
48,33,19,19,100.0,48033
48,34,6,6,100.0,48034
48,35,8,8,100.0,48035
48,36,17,17,100.0,48036
48,37,12,12,100.0,48037
48,38,9,9,100.0,48038
48,39,20,20,100.0,48039
48,40,10,10,100.0,48040
48,41,8,8,100.0,48041
48,42,5,5,100.0,48042
48,43,5,5,100.0,48043
48,44,13,13,100.0,48044
48,45,13,13,100.0,48045
48,46,17,17,100.0,48046
48,47,6,6,100.0,48047
48,48,14,14,100.0,48048
48,49,3,3,100.0,48049
48,50,14,14,100.0,48050
48,51,12,12,100.0,48051
48,52,7,7,100.0,48052
