ward,precinct,total,John J. Curry,John J. Curry Percent,precinct_id
32,1,11,11,100.0,32001
32,2,22,22,100.0,32002
32,3,6,6,100.0,32003
32,4,19,19,100.0,32004
32,5,16,16,100.0,32005
32,6,23,23,100.0,32006
32,7,24,24,100.0,32007
32,8,48,48,100.0,32008
32,9,31,31,100.0,32009
32,10,22,22,100.0,32010
32,11,12,12,100.0,32011
32,12,8,8,100.0,32012
32,13,16,16,100.0,32013
32,14,13,13,100.0,32014
32,15,13,13,100.0,32015
32,16,14,14,100.0,32016
32,17,22,22,100.0,32017
32,18,21,21,100.0,32018
32,19,16,16,100.0,32019
32,20,30,30,100.0,32020
32,21,13,13,100.0,32021
32,22,16,16,100.0,32022
32,23,26,26,100.0,32023
32,24,35,35,100.0,32024
32,25,10,10,100.0,32025
32,26,14,14,100.0,32026
32,27,24,24,100.0,32027
32,28,11,11,100.0,32028
32,29,10,10,100.0,32029
32,30,38,38,100.0,32030
32,31,19,19,100.0,32031
32,32,32,32,100.0,32032
32,33,11,11,100.0,32033
32,34,21,21,100.0,32034
32,35,16,16,100.0,32035
32,36,28,28,100.0,32036
32,37,10,10,100.0,32037
32,38,13,13,100.0,32038
32,39,38,38,100.0,32039
32,40,21,21,100.0,32040
32,41,35,35,100.0,32041
32,42,19,19,100.0,32042
32,43,53,53,100.0,32043
32,44,11,11,100.0,32044
32,45,19,19,100.0,32045
32,46,8,8,100.0,32046
32,47,48,48,100.0,32047
32,48,35,35,100.0,32048
32,49,11,11,100.0,32049
32,50,41,41,100.0,32050
32,51,33,33,100.0,32051
32,52,8,8,100.0,32052
