ward,precinct,total,Dan Dixon (Romney),Dan Dixon (Romney) Percent,George Offord (Romney),George Offord (Romney) Percent,Brian Reaves (Romney),Brian Reaves (Romney) Percent,Josh Marszalik (Paul),Josh Marszalik (Paul) Percent,John Ciesar (Paul),John Ciesar (Paul) Percent,Vivienne Porter (Gingrich),Vivienne Porter (Gingrich) Percent,Julie Ann Craig (Gingrich),Julie Ann Craig (Gingrich) Percent,Thomas Fuchsgruber (Gingrich),Thomas Fuchsgruber (Gingrich) Percent,Dean Mann (Santorum),Dean Mann (Santorum) Percent,Jacqueline Grabowski (Santorum),Jacqueline Grabowski (Santorum) Percent,precinct_id
23,6,39,9,23.08,5,12.82,6,15.38,1,2.56,0,0.0,2,5.13,2,5.13,2,5.13,4,10.26,7,17.95,23006
23,7,74,12,16.22,11,14.86,10,13.51,6,8.11,4,5.41,3,4.05,3,4.05,2,2.7,7,9.46,10,13.51,23007
23,8,55,8,14.55,6,10.91,7,12.73,1,1.82,0,0.0,4,7.27,4,7.27,4,7.27,10,18.18,8,14.55,23008
23,9,7,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,2,28.57,0,0.0,1,14.29,2,28.57,23009
23,10,49,9,18.37,7,14.29,6,12.24,3,6.12,3,6.12,3,6.12,3,6.12,1,2.04,6,12.24,4,8.16,23010
23,11,204,40,19.61,36,17.65,31,15.2,5,2.45,6,2.94,7,3.43,6,2.94,8,3.92,29,14.22,28,13.73,23011
23,12,103,14,13.59,14,13.59,14,13.59,6,5.83,2,1.94,3,2.91,3,2.91,2,1.94,22,21.36,18,17.48,23012
23,13,98,21,21.43,22,22.45,24,24.49,2,2.04,2,2.04,2,2.04,4,4.08,3,3.06,7,7.14,8,8.16,23013
23,14,119,18,15.13,19,15.97,18,15.13,10,8.4,8,6.72,2,1.68,3,2.52,1,0.84,15,12.61,14,11.76,23014
23,15,86,17,19.77,16,18.6,16,18.6,7,8.14,4,4.65,5,5.81,7,8.14,4,4.65,2,2.33,4,4.65,23015
23,16,100,17,17.0,14,14.0,18,18.0,6,6.0,6,6.0,4,4.0,3,3.0,3,3.0,10,10.0,11,11.0,23016
23,17,16,2,12.5,2,12.5,3,18.75,0,0.0,0,0.0,0,0.0,0,0.0,1,6.25,4,25.0,3,18.75,23017
23,18,168,34,20.24,31,18.45,33,19.64,8,4.76,7,4.17,7,4.17,10,5.95,6,3.57,16,9.52,11,6.55,23018
23,19,77,16,20.78,13,16.88,12,15.58,4,5.19,3,3.9,1,1.3,4,5.19,3,3.9,9,11.69,8,10.39,23019
23,20,37,9,24.32,6,16.22,5,13.51,2,5.41,1,2.7,2,5.41,0,0.0,0,0.0,6,16.22,3,8.11,23020
23,21,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23021
23,22,60,13,21.67,9,15.0,9,15.0,5,8.33,3,5.0,1,1.67,5,8.33,3,5.0,3,5.0,4,6.67,23022
23,23,82,9,10.98,8,9.76,9,10.98,4,4.88,4,4.88,2,2.44,3,3.66,5,6.1,17,20.73,16,19.51,23023
23,25,35,6,17.14,5,14.29,4,11.43,6,17.14,4,11.43,0,0.0,0,0.0,0,0.0,1,2.86,4,11.43,23025
23,26,114,20,17.54,16,14.04,15,13.16,7,6.14,4,3.51,8,7.02,10,8.77,5,4.39,9,7.89,14,12.28,23026
23,27,94,17,18.09,15,15.96,13,13.83,8,8.51,5,5.32,2,2.13,6,6.38,3,3.19,11,11.7,9,9.57,23027
23,28,83,9,10.84,8,9.64,7,8.43,9,10.84,10,12.05,2,2.41,2,2.41,1,1.2,14,16.87,11,13.25,23028
23,29,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23029
23,30,73,15,20.55,15,20.55,13,17.81,1,1.37,0,0.0,1,1.37,2,2.74,3,4.11,11,15.07,12,16.44,23030
23,31,27,1,3.7,1,3.7,0,0.0,4,14.81,3,11.11,3,11.11,4,14.81,3,11.11,3,11.11,1,3.7,23031
23,32,37,6,16.22,6,16.22,5,13.51,3,8.11,2,5.41,1,2.7,2,5.41,0,0.0,5,13.51,5,13.51,23032
23,33,99,13,13.13,12,12.12,10,10.1,11,11.11,5,5.05,1,1.01,3,3.03,0,0.0,15,15.15,17,17.17,23033
23,34,44,6,13.64,6,13.64,5,11.36,6,13.64,2,4.55,2,4.55,2,4.55,1,2.27,5,11.36,6,13.64,23034
23,35,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23035
23,36,144,30,20.83,28,19.44,27,18.75,1,0.69,1,0.69,8,5.56,10,6.94,6,4.17,13,9.03,18,12.5,23036
23,37,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23037
23,38,37,4,10.81,1,2.7,2,5.41,4,10.81,2,5.41,6,16.22,4,10.81,5,13.51,5,13.51,4,10.81,23038
23,39,111,14,12.61,12,10.81,12,10.81,5,4.5,8,7.21,4,3.6,6,5.41,4,3.6,19,17.12,21,18.92,23039
23,40,104,12,11.54,8,7.69,10,9.62,7,6.73,5,4.81,5,4.81,7,6.73,4,3.85,19,18.27,18,17.31,23040
23,41,27,8,29.63,5,18.52,4,14.81,1,3.7,0,0.0,0,0.0,0,0.0,1,3.7,2,7.41,5,18.52,23041
23,42,59,8,13.56,9,15.25,8,13.56,1,1.69,1,1.69,3,5.08,4,6.78,1,1.69,12,20.34,9,15.25,23042
23,43,127,22,17.32,22,17.32,21,16.54,5,3.94,3,2.36,3,2.36,6,4.72,5,3.94,17,13.39,15,11.81,23043
23,44,60,10,16.67,9,15.0,10,16.67,4,6.67,2,3.33,1,1.67,1,1.67,5,8.33,8,13.33,7,11.67,23044
23,45,68,8,11.76,7,10.29,6,8.82,2,2.94,3,4.41,4,5.88,5,7.35,2,2.94,14,20.59,14,20.59,23045
23,46,83,17,20.48,11,13.25,11,13.25,3,3.61,1,1.2,3,3.61,3,3.61,1,1.2,16,19.28,16,19.28,23046
23,47,127,26,20.47,23,18.11,25,19.69,6,4.72,4,3.15,4,3.15,5,3.94,4,3.15,13,10.24,12,9.45,23047
23,48,48,9,18.75,9,18.75,9,18.75,2,4.17,2,4.17,1,2.08,1,2.08,3,6.25,4,8.33,5,10.42,23048
23,49,90,20,22.22,18,20.0,18,20.0,3,3.33,1,1.11,5,5.56,4,4.44,4,4.44,8,8.89,7,7.78,23049
29,24,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29024
