ward,precinct,total,Dan Dixon (Romney),Dan Dixon (Romney) Percent,George Offord (Romney),George Offord (Romney) Percent,Brian Reaves (Romney),Brian Reaves (Romney) Percent,Josh Marszalik (Paul),Josh Marszalik (Paul) Percent,John Ciesar (Paul),John Ciesar (Paul) Percent,Vivienne Porter (Gingrich),Vivienne Porter (Gingrich) Percent,Julie Ann Craig (Gingrich),Julie Ann Craig (Gingrich) Percent,Thomas Fuchsgruber (Gingrich),Thomas Fuchsgruber (Gingrich) Percent,Dean Mann (Santorum),Dean Mann (Santorum) Percent,Jacqueline Grabowski (Santorum),Jacqueline Grabowski (Santorum) Percent,precinct_id
11,43,37,10,27.03,8,21.62,7,18.92,1,2.7,2,5.41,1,2.7,3,8.11,1,2.7,1,2.7,1,2.7,11043
11,44,33,7,21.21,8,24.24,6,18.18,3,9.09,1,3.03,0,0.0,1,3.03,0,0.0,3,9.09,2,6.06,11044
11,45,33,6,18.18,6,18.18,6,18.18,1,3.03,0,0.0,1,3.03,2,6.06,0,0.0,5,15.15,5,15.15,11045
11,47,38,5,13.16,5,13.16,5,13.16,4,10.53,2,5.26,0,0.0,1,2.63,2,5.26,6,15.79,6,15.79,11047
11,48,20,1,5.0,1,5.0,0,0.0,2,10.0,1,5.0,1,5.0,1,5.0,2,10.0,4,20.0,5,25.0,11048
11,49,19,6,31.58,5,26.32,5,26.32,0,0.0,0,0.0,0,0.0,1,5.26,1,5.26,1,5.26,0,0.0,11049
11,50,28,6,21.43,5,17.86,5,17.86,2,7.14,1,3.57,1,3.57,1,3.57,1,3.57,3,10.71,1,3.57,11050
12,17,16,1,6.25,1,6.25,1,6.25,0,0.0,0,0.0,1,6.25,1,6.25,1,6.25,5,31.25,5,31.25,12017
13,1,52,11,21.15,7,13.46,7,13.46,1,1.92,1,1.92,2,3.85,5,9.62,2,3.85,8,15.38,7,13.46,13001
13,2,15,0,0.0,1,6.67,0,0.0,1,6.67,1,6.67,2,13.33,2,13.33,0,0.0,3,20.0,3,20.0,13002
13,3,34,7,20.59,7,20.59,7,20.59,3,8.82,3,8.82,0,0.0,1,2.94,0,0.0,2,5.88,2,5.88,13003
13,4,80,13,16.25,11,13.75,13,16.25,3,3.75,3,3.75,4,5.0,3,3.75,1,1.25,14,17.5,11,13.75,13004
13,5,31,4,12.9,4,12.9,6,19.35,1,3.23,1,3.23,3,9.68,2,6.45,0,0.0,6,19.35,3,9.68,13005
13,6,35,7,20.0,7,20.0,8,22.86,1,2.86,1,2.86,1,2.86,0,0.0,2,5.71,4,11.43,3,8.57,13006
13,7,23,3,13.04,1,4.35,1,4.35,4,17.39,3,13.04,0,0.0,0,0.0,0,0.0,5,21.74,3,13.04,13007
13,8,73,12,16.44,12,16.44,12,16.44,2,2.74,2,2.74,10,13.7,8,10.96,6,8.22,5,6.85,3,4.11,13008
13,9,31,4,12.9,3,9.68,4,12.9,0,0.0,0,0.0,3,9.68,4,12.9,0,0.0,5,16.13,7,22.58,13009
13,10,34,2,5.88,2,5.88,2,5.88,0,0.0,0,0.0,3,8.82,2,5.88,3,8.82,12,35.29,8,23.53,13010
13,11,51,7,13.73,5,9.8,6,11.76,3,5.88,3,5.88,3,5.88,2,3.92,2,3.92,11,21.57,7,13.73,13011
13,12,45,5,11.11,4,8.89,4,8.89,4,8.89,2,4.44,5,11.11,5,11.11,4,8.89,4,8.89,4,8.89,13012
