ward,precinct,total,Mary Estella Rymus,Mary Estella Rymus Percent,Thomas M. Malesh,Thomas M. Malesh Percent,precinct_id
10,1,2,0,0.0,2,100.0,10001
10,2,16,7,43.75,9,56.25,10002
10,3,21,11,52.38,10,47.62,10003
10,4,3,1,33.33,2,66.67,10004
10,5,14,8,57.14,6,42.86,10005
10,6,0,0,0.0,0,0.0,10006
10,7,8,6,75.0,2,25.0,10007
10,8,26,13,50.0,13,50.0,10008
10,9,26,12,46.15,14,53.85,10009
10,10,35,11,31.43,24,68.57,10010
10,11,18,4,22.22,14,77.78,10011
10,12,12,9,75.0,3,25.0,10012
10,13,26,12,46.15,14,53.85,10013
10,14,27,5,18.52,22,81.48,10014
10,15,8,5,62.5,3,37.5,10015
10,16,25,11,44.0,14,56.0,10016
10,17,17,12,70.59,5,29.41,10017
10,18,2,2,100.0,0,0.0,10018
10,19,25,9,36.0,16,64.0,10019
10,20,19,13,68.42,6,31.58,10020
10,21,21,8,38.1,13,61.9,10021
10,22,1,1,100.0,0,0.0,10022
10,23,7,4,57.14,3,42.86,10023
10,24,22,5,22.73,17,77.27,10024
10,25,5,4,80.0,1,20.0,10025
10,26,17,7,41.18,10,58.82,10026
10,27,17,9,52.94,8,47.06,10027
10,28,3,3,100.0,0,0.0,10028
10,29,1,0,0.0,1,100.0,10029
10,30,1,0,0.0,1,100.0,10030
10,31,17,10,58.82,7,41.18,10031
10,32,17,7,41.18,10,58.82,10032
10,33,10,3,30.0,7,70.0,10033
10,34,9,3,33.33,6,66.67,10034
10,35,14,9,64.29,5,35.71,10035
10,36,30,30,100.0,0,0.0,10036
10,37,4,4,100.0,0,0.0,10037
10,38,18,4,22.22,14,77.78,10038
10,39,9,4,44.44,5,55.56,10039
10,40,12,12,100.0,0,0.0,10040
10,41,28,10,35.71,18,64.29,10041
10,42,34,13,38.24,21,61.76,10042
10,43,3,2,66.67,1,33.33,10043
10,44,7,4,57.14,3,42.86,10044
10,45,7,4,57.14,3,42.86,10045
10,46,18,7,38.89,11,61.11,10046
