ward,precinct,total,Joseph P. Adamcik,Joseph P. Adamcik Percent,Amelia L. Kabat,Amelia L. Kabat Percent,Peter P. Podgorski,Peter P. Podgorski Percent,Denise Gordils Garcia,Denise Gordils Garcia Percent,precinct_id
36,1,20,7,35.0,4,20.0,8,40.0,1,5.0,36001
36,2,21,12,57.14,4,19.05,2,9.52,3,14.29,36002
36,3,17,6,35.29,3,17.65,5,29.41,3,17.65,36003
36,4,4,0,0.0,1,25.0,1,25.0,2,50.0,36004
36,5,57,19,33.33,21,36.84,15,26.32,2,3.51,36005
36,6,15,7,46.67,3,20.0,4,26.67,1,6.67,36006
36,7,29,11,37.93,1,3.45,13,44.83,4,13.79,36007
36,8,30,14,46.67,4,13.33,10,33.33,2,6.67,36008
36,9,52,15,28.85,13,25.0,20,38.46,4,7.69,36009
36,10,17,4,23.53,2,11.76,6,35.29,5,29.41,36010
36,11,38,11,28.95,8,21.05,18,47.37,1,2.63,36011
36,12,33,7,21.21,13,39.39,11,33.33,2,6.06,36012
36,13,31,4,12.9,5,16.13,21,67.74,1,3.23,36013
36,14,27,10,37.04,9,33.33,6,22.22,2,7.41,36014
36,15,17,3,17.65,4,23.53,6,35.29,4,23.53,36015
36,16,17,12,70.59,1,5.88,1,5.88,3,17.65,36016
36,17,27,8,29.63,4,14.81,8,29.63,7,25.93,36017
36,18,26,7,26.92,7,26.92,9,34.62,3,11.54,36018
36,19,21,5,23.81,6,28.57,8,38.1,2,9.52,36019
36,20,31,13,41.94,6,19.35,10,32.26,2,6.45,36020
36,21,54,17,31.48,12,22.22,24,44.44,1,1.85,36021
36,22,41,24,58.54,2,4.88,7,17.07,8,19.51,36022
36,23,8,3,37.5,2,25.0,1,12.5,2,25.0,36023
36,24,6,0,0.0,3,50.0,2,33.33,1,16.67,36024
36,25,33,11,33.33,6,18.18,10,30.3,6,18.18,36025
36,26,35,15,42.86,7,20.0,10,28.57,3,8.57,36026
36,27,11,4,36.36,3,27.27,4,36.36,0,0.0,36027
36,28,32,8,25.0,7,21.88,13,40.63,4,12.5,36028
36,29,22,3,13.64,9,40.91,10,45.45,0,0.0,36029
36,30,56,9,16.07,24,42.86,20,35.71,3,5.36,36030
36,31,27,2,7.41,5,18.52,20,74.07,0,0.0,36031
36,32,36,6,16.67,11,30.56,15,41.67,4,11.11,36032
36,33,14,7,50.0,3,21.43,3,21.43,1,7.14,36033
36,34,36,12,33.33,6,16.67,17,47.22,1,2.78,36034
36,35,27,10,37.04,3,11.11,12,44.44,2,7.41,36035
36,36,15,4,26.67,2,13.33,6,40.0,3,20.0,36036
36,37,29,9,31.03,6,20.69,11,37.93,3,10.34,36037
36,38,15,3,20.0,6,40.0,3,20.0,3,20.0,36038
36,39,35,6,17.14,6,17.14,18,51.43,5,14.29,36039
36,40,42,13,30.95,9,21.43,18,42.86,2,4.76,36040
36,41,18,6,33.33,2,11.11,9,50.0,1,5.56,36041
36,42,24,5,20.83,5,20.83,11,45.83,3,12.5,36042
36,43,28,9,32.14,5,17.86,9,32.14,5,17.86,36043
36,44,21,8,38.1,5,23.81,6,28.57,2,9.52,36044
36,45,5,3,60.0,0,0.0,1,20.0,1,20.0,36045
36,46,26,9,34.62,7,26.92,9,34.62,1,3.85,36046
36,47,11,4,36.36,2,18.18,2,18.18,3,27.27,36047
36,48,35,8,22.86,9,25.71,18,51.43,0,0.0,36048
36,49,39,13,33.33,10,25.64,12,30.77,4,10.26,36049
36,50,21,3,14.29,7,33.33,8,38.1,3,14.29,36050
36,51,15,5,33.33,2,13.33,7,46.67,1,6.67,36051
