ward,precinct,total,Rafael Chagin,Rafael Chagin Percent,Bill Powers,Bill Powers Percent,precinct_id
40,1,18,7,38.89,11,61.11,40001
40,2,11,4,36.36,7,63.64,40002
40,3,6,2,33.33,4,66.67,40003
40,4,10,3,30.0,7,70.0,40004
40,5,28,7,25.0,21,75.0,40005
40,6,9,3,33.33,6,66.67,40006
40,7,14,2,14.29,12,85.71,40007
40,8,5,2,40.0,3,60.0,40008
40,9,17,7,41.18,10,58.82,40009
40,10,21,7,33.33,14,66.67,40010
40,11,6,4,66.67,2,33.33,40011
40,12,5,2,40.0,3,60.0,40012
40,13,20,8,40.0,12,60.0,40013
40,14,33,12,36.36,21,63.64,40014
40,15,9,2,22.22,7,77.78,40015
40,16,14,7,50.0,7,50.0,40016
40,17,22,5,22.73,17,77.27,40017
40,18,11,4,36.36,7,63.64,40018
40,19,34,8,23.53,26,76.47,40019
40,20,9,5,55.56,4,44.44,40020
40,21,11,4,36.36,7,63.64,40021
40,22,4,1,25.0,3,75.0,40022
40,23,21,9,42.86,12,57.14,40023
40,24,16,6,37.5,10,62.5,40024
40,25,15,6,40.0,9,60.0,40025
40,26,6,0,0.0,6,100.0,40026
40,27,10,6,60.0,4,40.0,40027
40,28,14,5,35.71,9,64.29,40028
40,29,22,9,40.91,13,59.09,40029
40,30,27,13,48.15,14,51.85,40030
40,31,12,2,16.67,10,83.33,40031
40,32,22,5,22.73,17,77.27,40032
40,33,17,6,35.29,11,64.71,40033
40,34,9,5,55.56,4,44.44,40034
40,35,19,11,57.89,8,42.11,40035
40,36,30,8,26.67,22,73.33,40036
40,37,17,7,41.18,10,58.82,40037
40,38,15,1,6.67,14,93.33,40038
40,39,18,6,33.33,12,66.67,40039
40,40,15,5,33.33,10,66.67,40040
40,41,23,7,30.43,16,69.57,40041
