ward,precinct,total,Michael P. McAuliffe,Michael P. McAuliffe Percent,precinct_id
41,1,67,67,100.0,41001
41,2,67,67,100.0,41002
41,3,42,42,100.0,41003
41,4,55,55,100.0,41004
41,5,55,55,100.0,41005
41,6,46,46,100.0,41006
41,7,63,63,100.0,41007
41,8,54,54,100.0,41008
41,9,55,55,100.0,41009
41,10,39,39,100.0,41010
41,11,50,50,100.0,41011
41,12,41,41,100.0,41012
41,13,19,19,100.0,41013
41,14,69,69,100.0,41014
41,15,63,63,100.0,41015
41,16,61,61,100.0,41016
41,17,70,70,100.0,41017
41,18,55,55,100.0,41018
41,19,59,59,100.0,41019
41,20,91,91,100.0,41020
41,21,45,45,100.0,41021
41,22,49,49,100.0,41022
41,23,46,46,100.0,41023
41,24,61,61,100.0,41024
41,25,14,14,100.0,41025
41,26,40,40,100.0,41026
41,27,16,16,100.0,41027
41,28,25,25,100.0,41028
41,29,13,13,100.0,41029
41,30,60,60,100.0,41030
41,31,65,65,100.0,41031
41,32,39,39,100.0,41032
41,33,53,53,100.0,41033
41,34,66,66,100.0,41034
41,35,69,69,100.0,41035
41,36,71,71,100.0,41036
41,37,109,109,100.0,41037
41,38,75,75,100.0,41038
41,39,34,34,100.0,41039
41,40,69,69,100.0,41040
41,41,59,59,100.0,41041
41,42,59,59,100.0,41042
41,43,69,69,100.0,41043
41,44,61,61,100.0,41044
41,45,46,46,100.0,41045
41,46,41,41,100.0,41046
41,47,46,46,100.0,41047
41,48,25,25,100.0,41048
41,49,80,80,100.0,41049
41,50,51,51,100.0,41050
41,51,42,42,100.0,41051
41,52,81,81,100.0,41052
41,53,39,39,100.0,41053
41,54,32,32,100.0,41054
41,55,52,52,100.0,41055
41,56,92,92,100.0,41056
41,57,34,34,100.0,41057
