ward,precinct,total,Chris Cleveland,Chris Cleveland Percent,Kent Griffiths,Kent Griffiths Percent,precinct_id
43,1,34,21,61.76,13,38.24,43001
43,2,39,26,66.67,13,33.33,43002
43,3,23,11,47.83,12,52.17,43003
43,4,53,37,69.81,16,30.19,43004
43,5,35,19,54.29,16,45.71,43005
43,6,41,27,65.85,14,34.15,43006
43,7,32,23,71.88,9,28.13,43007
43,8,32,25,78.13,7,21.88,43008
43,9,29,19,65.52,10,34.48,43009
43,10,26,14,53.85,12,46.15,43010
43,11,38,21,55.26,17,44.74,43011
43,12,47,33,70.21,14,29.79,43012
43,13,29,15,51.72,14,48.28,43013
43,14,31,22,70.97,9,29.03,43014
43,15,25,18,72.0,7,28.0,43015
43,16,34,23,67.65,11,32.35,43016
43,17,65,48,73.85,17,26.15,43017
43,18,47,34,72.34,13,27.66,43018
43,19,22,14,63.64,8,36.36,43019
43,20,30,23,76.67,7,23.33,43020
43,21,31,17,54.84,14,45.16,43021
43,22,30,21,70.0,9,30.0,43022
43,23,19,15,78.95,4,21.05,43023
43,24,44,38,86.36,6,13.64,43024
43,25,26,21,80.77,5,19.23,43025
43,26,27,22,81.48,5,18.52,43026
43,27,33,19,57.58,14,42.42,43027
43,28,64,46,71.88,18,28.13,43028
43,29,21,13,61.9,8,38.1,43029
43,30,48,40,83.33,8,16.67,43030
43,31,26,18,69.23,8,30.77,43031
43,32,29,19,65.52,10,34.48,43032
43,33,27,21,77.78,6,22.22,43033
43,34,12,9,75.0,3,25.0,43034
43,35,69,45,65.22,24,34.78,43035
43,36,23,18,78.26,5,21.74,43036
43,37,44,32,72.73,12,27.27,43037
43,38,18,10,55.56,8,44.44,43038
43,39,67,45,67.16,22,32.84,43039
43,40,41,27,65.85,14,34.15,43040
43,41,19,14,73.68,5,26.32,43041
43,42,38,25,65.79,13,34.21,43042
43,43,24,23,95.83,1,4.17,43043
43,44,54,39,72.22,15,27.78,43044
43,45,35,27,77.14,8,22.86,43045
43,46,54,37,68.52,17,31.48,43046
43,47,52,44,84.62,8,15.38,43047
43,48,18,10,55.56,8,44.44,43048
43,49,32,26,81.25,6,18.75,43049
43,50,19,11,57.89,8,42.11,43050
43,51,33,23,69.7,10,30.3,43051
