ward,precinct,total,Ellen McIntosh (Romney),Ellen McIntosh (Romney) Percent,Kathleen Lydon (Romney),Kathleen Lydon (Romney) Percent,Ryan Andersen (Paul),Ryan Andersen (Paul) Percent,Forrest Jehlik (Paul),Forrest Jehlik (Paul) Percent,Don Sloan (Gingrich),Don Sloan (Gingrich) Percent,Paul Fuentes (Gingrich),Paul Fuentes (Gingrich) Percent,precinct_id
1,1,4,3,75.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,01001
1,9,33,6,18.18,7,21.21,6,18.18,5,15.15,5,15.15,4,12.12,01009
1,13,29,7,24.14,9,31.03,7,24.14,5,17.24,1,3.45,0,0.0,01013
1,15,12,1,8.33,1,8.33,2,16.67,1,8.33,4,33.33,3,25.0,01015
1,18,18,5,27.78,4,22.22,3,16.67,2,11.11,3,16.67,1,5.56,01018
1,19,24,8,33.33,8,33.33,3,12.5,3,12.5,0,0.0,2,8.33,01019
1,20,19,5,26.32,5,26.32,3,15.79,2,10.53,3,15.79,1,5.26,01020
1,22,17,4,23.53,2,11.76,3,17.65,2,11.76,4,23.53,2,11.76,01022
1,24,42,13,30.95,11,26.19,6,14.29,6,14.29,2,4.76,4,9.52,01024
1,27,41,9,21.95,13,31.71,7,17.07,4,9.76,3,7.32,5,12.2,01027
1,29,36,11,30.56,9,25.0,6,16.67,5,13.89,2,5.56,3,8.33,01029
1,30,46,15,32.61,13,28.26,8,17.39,7,15.22,1,2.17,2,4.35,01030
1,32,21,5,23.81,5,23.81,6,28.57,3,14.29,1,4.76,1,4.76,01032
1,34,14,1,7.14,1,7.14,5,35.71,6,42.86,0,0.0,1,7.14,01034
1,38,29,11,37.93,10,34.48,4,13.79,4,13.79,0,0.0,0,0.0,01038
1,43,31,8,25.81,6,19.35,5,16.13,4,12.9,4,12.9,4,12.9,01043
1,44,6,3,50.0,3,50.0,0,0.0,0,0.0,0,0.0,0,0.0,01044
11,3,11,2,18.18,3,27.27,1,9.09,1,9.09,2,18.18,2,18.18,11003
11,10,12,2,16.67,2,16.67,1,8.33,0,0.0,4,33.33,3,25.0,11010
11,18,32,6,18.75,7,21.88,6,18.75,4,12.5,4,12.5,5,15.63,11018
12,1,13,4,30.77,2,15.38,0,0.0,1,7.69,3,23.08,3,23.08,12001
12,2,10,3,30.0,0,0.0,1,10.0,0,0.0,3,30.0,3,30.0,12002
