ward,precinct,total,Patricia R. Bellock (Romney),Patricia R. Bellock (Romney) Percent,John M. 'Jack' Dorgan (Romney),John M. 'Jack' Dorgan (Romney) Percent,Walter W. Dudycz (Romney),Walter W. Dudycz (Romney) Percent,Joseph Cesarone (Paul),Joseph Cesarone (Paul) Percent,Hugh A. Gallagly Jr. (Paul),Hugh A. Gallagly Jr. (Paul) Percent,Michael A. Corrigan (Gingrich),Michael A. Corrigan (Gingrich) Percent,Laura Kotelman (Gingrich),Laura Kotelman (Gingrich) Percent,Richard Allen Pishotta (Gingrich),Richard Allen Pishotta (Gingrich) Percent,precinct_id
1,2,52,11,21.15,8,15.38,9,17.31,5,9.62,4,7.69,3,5.77,6,11.54,3,5.77,01002
1,3,14,5,35.71,3,21.43,1,7.14,2,14.29,0,0.0,1,7.14,1,7.14,1,7.14,01003
1,4,45,7,15.56,9,20.0,9,20.0,5,11.11,5,11.11,1,2.22,2,4.44,1,2.22,01004
1,5,45,14,31.11,14,31.11,13,28.89,1,2.22,1,2.22,0,0.0,1,2.22,0,0.0,01005
1,7,48,8,16.67,7,14.58,10,20.83,7,14.58,5,10.42,5,10.42,2,4.17,1,2.08,01007
1,8,42,8,19.05,8,19.05,7,16.67,5,11.9,5,11.9,2,4.76,1,2.38,1,2.38,01008
1,10,58,11,18.97,8,13.79,10,17.24,7,12.07,6,10.34,4,6.9,3,5.17,2,3.45,01010
1,11,57,10,17.54,10,17.54,10,17.54,5,8.77,5,8.77,4,7.02,5,8.77,4,7.02,01011
1,12,71,12,16.9,11,15.49,11,15.49,6,8.45,6,8.45,8,11.27,6,8.45,5,7.04,01012
1,14,37,4,10.81,7,18.92,4,10.81,6,16.22,6,16.22,1,2.7,2,5.41,2,5.41,01014
1,16,13,3,23.08,2,15.38,2,15.38,1,7.69,3,23.08,0,0.0,1,7.69,1,7.69,01016
1,17,16,3,18.75,3,18.75,3,18.75,2,12.5,3,18.75,0,0.0,0,0.0,0,0.0,01017
1,21,69,16,23.19,9,13.04,13,18.84,4,5.8,4,5.8,7,10.14,5,7.25,4,5.8,01021
1,23,48,15,31.25,13,27.08,13,27.08,1,2.08,2,4.17,1,2.08,3,6.25,0,0.0,01023
1,25,29,4,13.79,4,13.79,4,13.79,6,20.69,5,17.24,0,0.0,0,0.0,0,0.0,01025
1,26,46,9,19.57,7,15.22,10,21.74,6,13.04,7,15.22,1,2.17,0,0.0,1,2.17,01026
1,28,23,8,34.78,4,17.39,4,17.39,2,8.7,1,4.35,2,8.7,1,4.35,1,4.35,01028
1,31,92,22,23.91,20,21.74,21,22.83,8,8.7,6,6.52,5,5.43,2,2.17,2,2.17,01031
1,33,27,4,14.81,6,22.22,4,14.81,2,7.41,3,11.11,3,11.11,1,3.7,1,3.7,01033
1,35,75,21,28.0,14,18.67,16,21.33,5,6.67,5,6.67,4,5.33,3,4.0,2,2.67,01035
1,36,53,12,22.64,7,13.21,7,13.21,8,15.09,6,11.32,4,7.55,3,5.66,3,5.66,01036
1,37,92,19,20.65,12,13.04,16,17.39,10,10.87,9,9.78,8,8.7,6,6.52,4,4.35,01037
1,39,42,10,23.81,8,19.05,8,19.05,3,7.14,2,4.76,3,7.14,2,4.76,4,9.52,01039
1,40,23,4,17.39,4,17.39,5,21.74,5,21.74,2,8.7,1,4.35,0,0.0,0,0.0,01040
1,41,57,8,14.04,7,12.28,7,12.28,5,8.77,5,8.77,9,15.79,5,8.77,5,8.77,01041
1,42,25,4,16.0,2,8.0,4,16.0,4,16.0,4,16.0,1,4.0,1,4.0,1,4.0,01042
1,45,21,2,9.52,2,9.52,2,9.52,5,23.81,6,28.57,0,0.0,0,0.0,0,0.0,01045
1,46,52,7,13.46,6,11.54,3,5.77,9,17.31,10,19.23,3,5.77,4,7.69,3,5.77,01046
1,47,40,10,25.0,7,17.5,9,22.5,5,12.5,4,10.0,0,0.0,1,2.5,0,0.0,01047
1,48,24,3,12.5,4,16.67,5,20.83,4,16.67,3,12.5,0,0.0,2,8.33,1,4.17,01048
26,7,72,21,29.17,20,27.78,20,27.78,4,5.56,2,2.78,1,1.39,2,2.78,0,0.0,26007
26,32,58,11,18.97,5,8.62,15,25.86,9,15.52,6,10.34,3,5.17,1,1.72,6,10.34,26032
26,46,14,2,14.29,1,7.14,3,21.43,2,14.29,0,0.0,1,7.14,2,14.29,2,14.29,26046
27,5,43,10,23.26,12,27.91,10,23.26,3,6.98,2,4.65,1,2.33,1,2.33,1,2.33,27005
27,13,64,14,21.88,9,14.06,15,23.44,5,7.81,3,4.69,5,7.81,5,7.81,5,7.81,27013
27,18,15,3,20.0,3,20.0,3,20.0,1,6.67,1,6.67,1,6.67,1,6.67,1,6.67,27018
27,27,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27027
27,32,22,5,22.73,5,22.73,7,31.82,0,0.0,1,4.55,1,4.55,1,4.55,1,4.55,27032
27,38,79,12,15.19,9,11.39,11,13.92,13,16.46,12,15.19,3,3.8,6,7.59,1,1.27,27038
27,39,46,10,21.74,8,17.39,7,15.22,6,13.04,4,8.7,3,6.52,2,4.35,1,2.17,27039
27,41,55,10,18.18,9,16.36,7,12.73,7,12.73,6,10.91,2,3.64,5,9.09,2,3.64,27041
27,42,60,20,33.33,17,28.33,17,28.33,2,3.33,1,1.67,1,1.67,0,0.0,0,0.0,27042
30,1,72,15,20.83,13,18.06,15,20.83,8,11.11,7,9.72,2,2.78,1,1.39,2,2.78,30001
30,15,78,18,23.08,17,21.79,15,19.23,5,6.41,4,5.13,6,7.69,6,7.69,3,3.85,30015
32,1,15,2,13.33,2,13.33,2,13.33,2,13.33,3,20.0,1,6.67,1,6.67,0,0.0,32001
32,2,79,12,15.19,14,17.72,9,11.39,11,13.92,12,15.19,5,6.33,4,5.06,2,2.53,32002
32,3,28,4,14.29,4,14.29,4,14.29,4,14.29,4,14.29,1,3.57,2,7.14,1,3.57,32003
32,4,91,20,21.98,15,16.48,20,21.98,10,10.99,8,8.79,4,4.4,3,3.3,4,4.4,32004
32,5,69,18,26.09,15,21.74,12,17.39,5,7.25,5,7.25,5,7.25,4,5.8,1,1.45,32005
32,7,87,20,22.99,19,21.84,17,19.54,7,8.05,6,6.9,4,4.6,5,5.75,4,4.6,32007
32,8,162,45,27.78,45,27.78,41,25.31,10,6.17,6,3.7,5,3.09,2,1.23,2,1.23,32008
32,9,136,25,18.38,25,18.38,23,16.91,18,13.24,14,10.29,5,3.68,7,5.15,4,2.94,32009
32,10,84,18,21.43,13,15.48,14,16.67,9,10.71,9,10.71,6,7.14,4,4.76,3,3.57,32010
32,11,50,6,12.0,5,10.0,5,10.0,7,14.0,7,14.0,4,8.0,5,10.0,4,8.0,32011
32,12,25,6,24.0,6,24.0,5,20.0,2,8.0,2,8.0,0,0.0,3,12.0,0,0.0,32012
32,13,65,17,26.15,19,29.23,17,26.15,0,0.0,0,0.0,4,6.15,4,6.15,3,4.62,32013
32,14,54,9,16.67,8,14.81,5,9.26,8,14.81,8,14.81,3,5.56,3,5.56,3,5.56,32014
32,15,47,6,12.77,9,19.15,7,14.89,4,8.51,4,8.51,4,8.51,5,10.64,5,10.64,32015
32,16,78,13,16.67,12,15.38,13,16.67,10,12.82,11,14.1,2,2.56,3,3.85,2,2.56,32016
32,17,68,8,11.76,6,8.82,9,13.24,13,19.12,13,19.12,4,5.88,2,2.94,3,4.41,32017
32,18,94,27,28.72,25,26.6,24,25.53,3,3.19,2,2.13,4,4.26,4,4.26,3,3.19,32018
32,19,72,15,20.83,17,23.61,16,22.22,5,6.94,3,4.17,6,8.33,5,6.94,2,2.78,32019
32,20,115,31,26.96,28,24.35,26,22.61,5,4.35,6,5.22,5,4.35,6,5.22,3,2.61,32020
32,21,76,19,25.0,16,21.05,19,25.0,8,10.53,7,9.21,0,0.0,0,0.0,0,0.0,32021
32,22,86,22,25.58,22,25.58,18,20.93,4,4.65,4,4.65,4,4.65,4,4.65,3,3.49,32022
32,23,127,34,26.77,32,25.2,31,24.41,7,5.51,7,5.51,4,3.15,3,2.36,2,1.57,32023
32,24,154,33,21.43,34,22.08,32,20.78,7,4.55,6,3.9,12,7.79,12,7.79,11,7.14,32024
32,25,54,11,20.37,11,20.37,10,18.52,1,1.85,2,3.7,8,14.81,6,11.11,5,9.26,32025
32,27,111,27,24.32,23,20.72,24,21.62,9,8.11,10,9.01,4,3.6,3,2.7,3,2.7,32027
32,28,60,9,15.0,8,13.33,8,13.33,9,15.0,9,15.0,2,3.33,3,5.0,2,3.33,32028
32,29,35,6,17.14,4,11.43,4,11.43,2,5.71,3,8.57,4,11.43,5,14.29,3,8.57,32029
32,30,146,41,28.08,40,27.4,39,26.71,6,4.11,4,2.74,4,2.74,4,2.74,3,2.05,32030
32,31,87,25,28.74,22,25.29,23,26.44,2,2.3,1,1.15,5,5.75,5,5.75,3,3.45,32031
32,32,153,44,28.76,38,24.84,38,24.84,4,2.61,8,5.23,8,5.23,5,3.27,4,2.61,32032
32,33,55,6,10.91,4,7.27,6,10.91,8,14.55,8,14.55,6,10.91,6,10.91,5,9.09,32033
32,34,83,21,25.3,17,20.48,17,20.48,6,7.23,5,6.02,5,6.02,4,4.82,4,4.82,32034
32,35,68,20,29.41,16,23.53,20,29.41,3,4.41,3,4.41,1,1.47,1,1.47,1,1.47,32035
32,36,114,23,20.18,22,19.3,22,19.3,8,7.02,5,4.39,10,8.77,9,7.89,6,5.26,32036
32,37,47,12,25.53,9,19.15,11,23.4,2,4.26,4,8.51,0,0.0,3,6.38,1,2.13,32037
32,38,71,19,26.76,14,19.72,16,22.54,7,9.86,8,11.27,1,1.41,0,0.0,0,0.0,32038
32,39,162,44,27.16,39,24.07,42,25.93,10,6.17,9,5.56,3,1.85,4,2.47,2,1.23,32039
32,40,96,25,26.04,16,16.67,26,27.08,5,5.21,5,5.21,4,4.17,6,6.25,4,4.17,32040
32,41,164,52,31.71,45,27.44,49,29.88,1,0.61,2,1.22,5,3.05,4,2.44,3,1.83,32041
32,42,82,23,28.05,17,20.73,22,26.83,4,4.88,5,6.1,4,4.88,2,2.44,2,2.44,32042
32,43,188,48,25.53,38,20.21,46,24.47,10,5.32,11,5.85,9,4.79,8,4.26,6,3.19,32043
32,44,52,14,26.92,7,13.46,8,15.38,6,11.54,3,5.77,4,7.69,4,7.69,3,5.77,32044
32,45,107,19,17.76,18,16.82,18,16.82,11,10.28,11,10.28,10,9.35,6,5.61,6,5.61,32045
32,46,32,3,9.38,3,9.38,3,9.38,4,12.5,4,12.5,4,12.5,4,12.5,3,9.38,32046
32,47,191,46,24.08,41,21.47,41,21.47,18,9.42,13,6.81,8,4.19,6,3.14,6,3.14,32047
32,48,139,32,23.02,32,23.02,37,26.62,8,5.76,6,4.32,6,4.32,7,5.04,4,2.88,32048
32,49,47,11,23.4,9,19.15,11,23.4,5,10.64,3,6.38,3,6.38,1,2.13,0,0.0,32049
32,50,155,49,31.61,39,25.16,43,27.74,6,3.87,4,2.58,3,1.94,4,2.58,3,1.94,32050
32,51,131,39,29.77,32,24.43,36,27.48,6,4.58,5,3.82,3,2.29,3,2.29,2,1.53,32051
32,52,46,12,26.09,12,26.09,12,26.09,3,6.52,2,4.35,1,2.17,1,2.17,0,0.0,32052
33,7,81,18,22.22,16,19.75,14,17.28,7,8.64,6,7.41,4,4.94,7,8.64,4,4.94,33007
33,8,3,1,33.33,1,33.33,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,33008
33,10,4,1,25.0,1,25.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,33010
33,14,42,7,16.67,3,7.14,4,9.52,8,19.05,7,16.67,2,4.76,2,4.76,1,2.38,33014
33,18,10,2,20.0,2,20.0,1,10.0,1,10.0,2,20.0,0,0.0,0,0.0,0,0.0,33018
33,23,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,33023
33,24,96,17,17.71,16,16.67,16,16.67,7,7.29,6,6.25,8,8.33,9,9.38,8,8.33,33024
33,26,9,3,33.33,2,22.22,1,11.11,0,0.0,1,11.11,1,11.11,1,11.11,0,0.0,33026
36,2,5,1,20.0,0,0.0,1,20.0,0,0.0,0,0.0,1,20.0,1,20.0,1,20.0,36002
36,5,171,34,19.88,29,16.96,40,23.39,7,4.09,5,2.92,18,10.53,15,8.77,15,8.77,36005
36,6,40,5,12.5,1,2.5,4,10.0,5,12.5,6,15.0,4,10.0,7,17.5,2,5.0,36006
36,7,88,14,15.91,8,9.09,17,19.32,14,15.91,11,12.5,3,3.41,7,7.95,3,3.41,36007
36,8,84,16,19.05,10,11.9,15,17.86,6,7.14,7,8.33,11,13.1,8,9.52,5,5.95,36008
36,9,147,33,22.45,25,17.01,33,22.45,18,12.24,13,8.84,3,2.04,6,4.08,2,1.36,36009
36,11,115,20,17.39,14,12.17,18,15.65,8,6.96,6,5.22,17,14.78,15,13.04,11,9.57,36011
36,12,71,12,16.9,7,9.86,16,22.54,5,7.04,3,4.23,11,15.49,7,9.86,5,7.04,36012
36,13,88,15,17.05,12,13.64,17,19.32,9,10.23,10,11.36,5,5.68,5,5.68,5,5.68,36013
36,17,74,14,18.92,11,14.86,15,20.27,7,9.46,7,9.46,7,9.46,4,5.41,3,4.05,36017
36,18,79,15,18.99,8,10.13,17,21.52,5,6.33,3,3.8,10,12.66,7,8.86,9,11.39,36018
36,20,81,13,16.05,15,18.52,18,22.22,10,12.35,6,7.41,5,6.17,4,4.94,3,3.7,36020
36,21,130,31,23.85,26,20.0,31,23.85,8,6.15,7,5.38,10,7.69,6,4.62,6,4.62,36021
36,22,23,1,4.35,1,4.35,1,4.35,4,17.39,4,17.39,4,17.39,3,13.04,2,8.7,36022
36,25,88,15,17.05,12,13.64,14,15.91,6,6.82,9,10.23,11,12.5,9,10.23,5,5.68,36025
36,26,109,22,20.18,15,13.76,25,22.94,7,6.42,11,10.09,8,7.34,6,5.5,6,5.5,36026
36,27,37,9,24.32,8,21.62,8,21.62,2,5.41,1,2.7,2,5.41,2,5.41,3,8.11,36027
36,28,76,14,18.42,4,5.26,14,18.42,12,15.79,8,10.53,6,7.89,4,5.26,4,5.26,36028
36,29,65,14,21.54,11,16.92,12,18.46,4,6.15,6,9.23,3,4.62,4,6.15,4,6.15,36029
36,30,128,26,20.31,19,14.84,25,19.53,12,9.38,12,9.38,10,7.81,6,4.69,7,5.47,36030
36,31,71,14,19.72,11,15.49,17,23.94,8,11.27,8,11.27,3,4.23,3,4.23,1,1.41,36031
36,32,79,15,18.99,12,15.19,19,24.05,5,6.33,3,3.8,9,11.39,6,7.59,5,6.33,36032
36,34,96,18,18.75,16,16.67,21,21.88,4,4.17,5,5.21,11,11.46,9,9.38,6,6.25,36034
36,35,77,19,24.68,15,19.48,15,19.48,3,3.9,3,3.9,8,10.39,6,7.79,3,3.9,36035
36,36,39,9,23.08,7,17.95,8,20.51,3,7.69,2,5.13,5,12.82,4,10.26,1,2.56,36036
36,37,65,16,24.62,11,16.92,15,23.08,3,4.62,4,6.15,6,9.23,5,7.69,3,4.62,36037
36,38,30,10,33.33,4,13.33,7,23.33,4,13.33,3,10.0,0,0.0,1,3.33,0,0.0,36038
36,39,87,15,17.24,17,19.54,19,21.84,5,5.75,3,3.45,9,10.34,8,9.2,6,6.9,36039
36,40,100,20,20.0,16,16.0,21,21.0,12,12.0,11,11.0,6,6.0,3,3.0,3,3.0,36040
36,41,42,11,26.19,7,16.67,11,26.19,4,9.52,2,4.76,0,0.0,2,4.76,2,4.76,36041
36,42,69,8,11.59,5,7.25,11,15.94,9,13.04,7,10.14,8,11.59,9,13.04,5,7.25,36042
