ward,precinct,total,Thomas T. Morris,Thomas T. Morris Percent,precinct_id
50,1,25,25,100.0,50001
50,2,23,23,100.0,50002
50,3,18,18,100.0,50003
50,4,13,13,100.0,50004
50,5,29,29,100.0,50005
50,6,7,7,100.0,50006
50,7,14,14,100.0,50007
50,8,2,2,100.0,50008
50,9,16,16,100.0,50009
50,10,13,13,100.0,50010
50,11,37,37,100.0,50011
50,12,17,17,100.0,50012
50,13,18,18,100.0,50013
50,14,16,16,100.0,50014
50,15,15,15,100.0,50015
50,16,24,24,100.0,50016
50,17,15,15,100.0,50017
50,18,17,17,100.0,50018
50,19,13,13,100.0,50019
50,20,27,27,100.0,50020
50,21,27,27,100.0,50021
50,22,8,8,100.0,50022
50,23,15,15,100.0,50023
50,24,19,19,100.0,50024
50,25,19,19,100.0,50025
50,26,6,6,100.0,50026
50,27,17,17,100.0,50027
50,28,12,12,100.0,50028
50,29,17,17,100.0,50029
50,30,25,25,100.0,50030
50,31,8,8,100.0,50031
50,32,8,8,100.0,50032
50,33,15,15,100.0,50033
50,34,8,8,100.0,50034
50,35,26,26,100.0,50035
50,36,17,17,100.0,50036
50,37,28,28,100.0,50037
50,38,12,12,100.0,50038
50,39,27,27,100.0,50039
50,40,31,31,100.0,50040
50,41,34,34,100.0,50041
50,42,20,20,100.0,50042
50,43,11,11,100.0,50043
50,44,16,16,100.0,50044
50,45,14,14,100.0,50045
