ward,precinct,total,Richard W. Porter (Romney),Richard W. Porter (Romney) Percent,Daniel B. Peterson (Romney),Daniel B. Peterson (Romney) Percent,Katherine Dold White (Romney),Katherine Dold White (Romney) Percent,Judy Koehler (Perry),Judy Koehler (Perry) Percent,Justin Kuehlthau (Paul),Justin Kuehlthau (Paul) Percent,Tony Cimbalo (Paul),Tony Cimbalo (Paul) Percent,Mike Rothman (Paul),Mike Rothman (Paul) Percent,Robert Provenzano (Gingrich),Robert Provenzano (Gingrich) Percent,Carol A. Teschky (Gingrich),Carol A. Teschky (Gingrich) Percent,Gary K. Warner (Gingrich),Gary K. Warner (Gingrich) Percent,Kyle Frank (Roemer),Kyle Frank (Roemer) Percent,Stephanie Weiland (Roemer),Stephanie Weiland (Roemer) Percent,Phil Collins (Roemer),Phil Collins (Roemer) Percent,Penny Pullen (Santorum),Penny Pullen (Santorum) Percent,Charlene Foss-Eggemann (Santorum),Charlene Foss-Eggemann (Santorum) Percent,Joseph R. Hedrick (Santorum),Joseph R. Hedrick (Santorum) Percent,precinct_id
40,3,29,5,17.24,5,17.24,5,17.24,0,0.0,2,6.9,2,6.9,2,6.9,1,3.45,1,3.45,1,3.45,0,0.0,0,0.0,0,0.0,2,6.9,1,3.45,2,6.9,40003
40,4,42,9,21.43,9,21.43,6,14.29,0,0.0,2,4.76,1,2.38,1,2.38,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,11.9,5,11.9,4,9.52,40004
40,7,50,9,18.0,10,20.0,9,18.0,0,0.0,5,10.0,6,12.0,5,10.0,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,4.0,1,2.0,2,4.0,40007
40,8,22,2,9.09,4,18.18,1,4.55,1,4.55,1,4.55,1,4.55,2,9.09,0,0.0,0,0.0,1,4.55,1,4.55,0,0.0,0,0.0,3,13.64,3,13.64,2,9.09,40008
40,9,55,12,21.82,12,21.82,6,10.91,1,1.82,3,5.45,2,3.64,2,3.64,0,0.0,0,0.0,0,0.0,1,1.82,1,1.82,0,0.0,5,9.09,4,7.27,6,10.91,40009
40,11,33,5,15.15,6,18.18,5,15.15,1,3.03,0,0.0,0,0.0,0,0.0,1,3.03,1,3.03,1,3.03,0,0.0,0,0.0,0,0.0,5,15.15,3,9.09,5,15.15,40011
40,12,12,4,33.33,3,25.0,2,16.67,0,0.0,0,0.0,0,0.0,1,8.33,0,0.0,0,0.0,0,0.0,0,0.0,1,8.33,0,0.0,1,8.33,0,0.0,0,0.0,40012
40,13,80,12,15.0,12,15.0,12,15.0,0,0.0,6,7.5,6,7.5,8,10.0,2,2.5,3,3.75,1,1.25,0,0.0,0,0.0,0,0.0,6,7.5,5,6.25,7,8.75,40013
40,16,58,12,20.69,9,15.52,5,8.62,3,5.17,6,10.34,3,5.17,5,8.62,1,1.72,3,5.17,2,3.45,0,0.0,0,0.0,3,5.17,2,3.45,1,1.72,3,5.17,40016
40,18,35,7,20.0,8,22.86,2,5.71,1,2.86,3,8.57,3,8.57,3,8.57,0,0.0,0,0.0,0,0.0,1,2.86,0,0.0,0,0.0,2,5.71,2,5.71,3,8.57,40018
40,22,30,4,13.33,4,13.33,4,13.33,1,3.33,3,10.0,2,6.67,2,6.67,1,3.33,1,3.33,1,3.33,0,0.0,0,0.0,1,3.33,2,6.67,2,6.67,2,6.67,40022
40,26,27,6,22.22,6,22.22,4,14.81,0,0.0,0,0.0,1,3.7,1,3.7,2,7.41,2,7.41,2,7.41,0,0.0,0,0.0,0,0.0,1,3.7,1,3.7,1,3.7,40026
40,27,39,7,17.95,6,15.38,3,7.69,0,0.0,1,2.56,1,2.56,1,2.56,1,2.56,1,2.56,1,2.56,0,0.0,0,0.0,0,0.0,8,20.51,4,10.26,5,12.82,40027
40,28,51,7,13.73,7,13.73,7,13.73,0,0.0,2,3.92,2,3.92,2,3.92,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,17.65,6,11.76,9,17.65,40028
40,31,64,9,14.06,10,15.63,10,15.63,1,1.56,5,7.81,6,9.38,5,7.81,1,1.56,2,3.13,1,1.56,0,0.0,0,0.0,0,0.0,5,7.81,4,6.25,5,7.81,40031
