ward,precinct,total,Eloise Gerson,Eloise Gerson Percent,Tom Smithburg,Tom Smithburg Percent,William J. Kelly,William J. Kelly Percent,precinct_id
42,1,68,23,33.82,22,32.35,23,33.82,42001
42,2,19,7,36.84,6,31.58,6,31.58,42002
42,3,36,10,27.78,13,36.11,13,36.11,42003
42,4,58,26,44.83,16,27.59,16,27.59,42004
42,5,47,39,82.98,4,8.51,4,8.51,42005
42,6,75,34,45.33,24,32.0,17,22.67,42006
42,7,52,24,46.15,17,32.69,11,21.15,42007
42,8,56,21,37.5,20,35.71,15,26.79,42008
42,9,94,43,45.74,28,29.79,23,24.47,42009
42,10,81,34,41.98,25,30.86,22,27.16,42010
42,11,83,33,39.76,27,32.53,23,27.71,42011
42,12,39,18,46.15,12,30.77,9,23.08,42012
42,13,94,26,27.66,34,36.17,34,36.17,42013
42,14,40,11,27.5,16,40.0,13,32.5,42014
42,15,40,8,20.0,10,25.0,22,55.0,42015
42,16,39,11,28.21,17,43.59,11,28.21,42016
42,17,53,15,28.3,22,41.51,16,30.19,42017
42,18,59,21,35.59,21,35.59,17,28.81,42018
42,19,18,3,16.67,6,33.33,9,50.0,42019
42,20,20,10,50.0,4,20.0,6,30.0,42020
42,21,25,8,32.0,15,60.0,2,8.0,42021
42,22,53,21,39.62,13,24.53,19,35.85,42022
42,23,62,19,30.65,31,50.0,12,19.35,42023
42,24,62,29,46.77,19,30.65,14,22.58,42024
42,25,29,13,44.83,9,31.03,7,24.14,42025
42,26,30,12,40.0,8,26.67,10,33.33,42026
42,27,47,22,46.81,8,17.02,17,36.17,42027
42,28,45,23,51.11,7,15.56,15,33.33,42028
42,29,63,26,41.27,26,41.27,11,17.46,42029
42,30,37,18,48.65,9,24.32,10,27.03,42030
42,31,67,22,32.84,19,28.36,26,38.81,42031
42,32,47,22,46.81,17,36.17,8,17.02,42032
42,33,56,19,33.93,18,32.14,19,33.93,42033
42,34,33,14,42.42,8,24.24,11,33.33,42034
42,35,50,17,34.0,18,36.0,15,30.0,42035
42,36,36,15,41.67,13,36.11,8,22.22,42036
42,37,49,16,32.65,18,36.73,15,30.61,42037
42,38,36,18,50.0,12,33.33,6,16.67,42038
42,39,34,19,55.88,10,29.41,5,14.71,42039
42,40,50,20,40.0,10,20.0,20,40.0,42040
42,41,77,35,45.45,19,24.68,23,29.87,42041
42,42,97,35,36.08,37,38.14,25,25.77,42042
42,43,64,32,50.0,14,21.88,18,28.13,42043
42,44,33,13,39.39,7,21.21,13,39.39,42044
42,45,60,19,31.67,23,38.33,18,30.0,42045
42,46,43,17,39.53,14,32.56,12,27.91,42046
42,47,26,12,46.15,9,34.62,5,19.23,42047
42,48,47,19,40.43,15,31.91,13,27.66,42048
42,49,11,5,45.45,3,27.27,3,27.27,42049
42,50,110,55,50.0,24,21.82,31,28.18,42050
42,51,88,29,32.95,23,26.14,36,40.91,42051
42,52,34,15,44.12,7,20.59,12,35.29,42052
42,53,61,31,50.82,18,29.51,12,19.67,42053
42,54,30,7,23.33,7,23.33,16,53.33,42054
42,55,68,25,36.76,23,33.82,20,29.41,42055
42,56,92,35,38.04,28,30.43,29,31.52,42056
42,57,13,3,23.08,3,23.08,7,53.85,42057
42,58,44,19,43.18,9,20.45,16,36.36,42058
42,59,67,21,31.34,21,31.34,25,37.31,42059
42,60,24,10,41.67,6,25.0,8,33.33,42060
42,61,25,12,48.0,8,32.0,5,20.0,42061
42,62,35,12,34.29,12,34.29,11,31.43,42062
42,63,37,22,59.46,7,18.92,8,21.62,42063
42,64,10,5,50.0,2,20.0,3,30.0,42064
42,65,57,37,64.91,11,19.3,9,15.79,42065
42,66,47,27,57.45,9,19.15,11,23.4,42066
42,67,88,25,28.41,24,27.27,39,44.32,42067
