ward,precinct,total,Arthur J. Jones,Arthur J. Jones Percent,Richard L. Grabowski,Richard L. Grabowski Percent,Jim Falvey,Jim Falvey Percent,precinct_id
3,13,7,2,28.57,4,57.14,1,14.29,03013
3,19,6,0,0.0,4,66.67,2,33.33,03019
11,1,25,2,8.0,19,76.0,4,16.0,11001
11,2,14,1,7.14,10,71.43,3,21.43,11002
11,4,12,1,8.33,7,58.33,4,33.33,11004
11,5,4,1,25.0,3,75.0,0,0.0,11005
11,6,23,3,13.04,13,56.52,7,30.43,11006
11,7,13,2,15.38,9,69.23,2,15.38,11007
11,8,14,2,14.29,8,57.14,4,28.57,11008
11,9,13,3,23.08,9,69.23,1,7.69,11009
11,11,22,2,9.09,15,68.18,5,22.73,11011
11,12,20,3,15.0,13,65.0,4,20.0,11012
11,13,6,0,0.0,5,83.33,1,16.67,11013
11,15,8,0,0.0,6,75.0,2,25.0,11015
11,16,24,3,12.5,11,45.83,10,41.67,11016
11,17,18,3,16.67,9,50.0,6,33.33,11017
11,19,16,1,6.25,8,50.0,7,43.75,11019
11,20,10,3,30.0,5,50.0,2,20.0,11020
11,21,13,1,7.69,9,69.23,3,23.08,11021
11,22,10,2,20.0,7,70.0,1,10.0,11022
11,23,14,1,7.14,10,71.43,3,21.43,11023
11,24,25,2,8.0,16,64.0,7,28.0,11024
11,25,19,2,10.53,14,73.68,3,15.79,11025
11,26,12,2,16.67,7,58.33,3,25.0,11026
11,28,7,3,42.86,2,28.57,2,28.57,11028
11,29,16,2,12.5,13,81.25,1,6.25,11029
11,30,15,2,13.33,10,66.67,3,20.0,11030
11,31,16,3,18.75,9,56.25,4,25.0,11031
11,32,15,1,6.67,11,73.33,3,20.0,11032
11,33,10,1,10.0,8,80.0,1,10.0,11033
11,35,19,2,10.53,15,78.95,2,10.53,11035
11,37,31,3,9.68,21,67.74,7,22.58,11037
11,38,26,4,15.38,18,69.23,4,15.38,11038
11,39,16,5,31.25,6,37.5,5,31.25,11039
11,40,12,2,16.67,7,58.33,3,25.0,11040
11,41,6,2,33.33,3,50.0,1,16.67,11041
11,42,12,1,8.33,7,58.33,4,33.33,11042
11,43,13,3,23.08,6,46.15,4,30.77,11043
11,44,14,0,0.0,10,71.43,4,28.57,11044
11,45,14,3,21.43,8,57.14,3,21.43,11045
11,47,13,2,15.38,9,69.23,2,15.38,11047
11,48,8,1,12.5,7,87.5,0,0.0,11048
11,49,8,2,25.0,2,25.0,4,50.0,11049
11,50,14,2,14.29,7,50.0,5,35.71,11050
12,17,6,1,16.67,4,66.67,1,16.67,12017
13,1,18,3,16.67,11,61.11,4,22.22,13001
13,2,7,1,14.29,4,57.14,2,28.57,13002
13,3,11,2,18.18,9,81.82,0,0.0,13003
13,4,31,4,12.9,14,45.16,13,41.94,13004
13,5,15,5,33.33,8,53.33,2,13.33,13005
13,6,11,2,18.18,7,63.64,2,18.18,13006
13,7,9,2,22.22,5,55.56,2,22.22,13007
13,8,28,5,17.86,18,64.29,5,17.86,13008
13,9,14,4,28.57,5,35.71,5,35.71,13009
13,10,14,0,0.0,8,57.14,6,42.86,13010
13,11,18,3,16.67,10,55.56,5,27.78,13011
13,12,15,2,13.33,9,60.0,4,26.67,13012
13,13,10,1,10.0,8,80.0,1,10.0,13013
13,14,18,0,0.0,14,77.78,4,22.22,13014
13,15,18,3,16.67,12,66.67,3,16.67,13015
13,16,12,0,0.0,10,83.33,2,16.67,13016
13,17,27,3,11.11,20,74.07,4,14.81,13017
13,18,12,4,33.33,6,50.0,2,16.67,13018
13,20,19,3,15.79,13,68.42,3,15.79,13020
13,21,3,2,66.67,1,33.33,0,0.0,13021
13,22,16,3,18.75,8,50.0,5,31.25,13022
13,23,11,1,9.09,6,54.55,4,36.36,13023
13,24,12,3,25.0,9,75.0,0,0.0,13024
13,25,17,4,23.53,11,64.71,2,11.76,13025
13,26,15,2,13.33,12,80.0,1,6.67,13026
13,27,22,2,9.09,14,63.64,6,27.27,13027
13,28,7,2,28.57,2,28.57,3,42.86,13028
13,29,14,0,0.0,11,78.57,3,21.43,13029
13,30,12,3,25.0,8,66.67,1,8.33,13030
13,31,16,1,6.25,12,75.0,3,18.75,13031
13,32,11,0,0.0,9,81.82,2,18.18,13032
13,33,9,0,0.0,5,55.56,4,44.44,13033
13,34,14,2,14.29,10,71.43,2,14.29,13034
13,35,10,3,30.0,7,70.0,0,0.0,13035
13,36,6,1,16.67,3,50.0,2,33.33,13036
13,37,14,6,42.86,6,42.86,2,14.29,13037
13,38,19,1,5.26,12,63.16,6,31.58,13038
13,39,4,1,25.0,1,25.0,2,50.0,13039
13,40,11,2,18.18,7,63.64,2,18.18,13040
13,41,11,3,27.27,7,63.64,1,9.09,13041
13,42,14,2,14.29,9,64.29,3,21.43,13042
13,43,11,0,0.0,8,72.73,3,27.27,13043
13,44,3,1,33.33,2,66.67,0,0.0,13044
13,45,22,1,4.55,12,54.55,9,40.91,13045
13,46,11,3,27.27,6,54.55,2,18.18,13046
13,47,10,6,60.0,4,40.0,0,0.0,13047
14,1,15,5,33.33,6,40.0,4,26.67,14001
14,21,7,2,28.57,1,14.29,4,57.14,14021
14,26,5,0,0.0,4,80.0,1,20.0,14026
14,29,7,2,28.57,4,57.14,1,14.29,14029
14,32,3,1,33.33,2,66.67,0,0.0,14032
15,10,11,3,27.27,5,45.45,3,27.27,15010
15,16,8,1,12.5,4,50.0,3,37.5,15016
15,28,10,2,20.0,4,40.0,4,40.0,15028
16,7,0,0,0.0,0,0.0,0,0.0,16007
16,11,0,0,0.0,0,0.0,0,0.0,16011
16,13,7,0,0.0,7,100.0,0,0.0,16013
16,17,11,0,0.0,5,45.45,6,54.55,16017
16,21,7,0,0.0,6,85.71,1,14.29,16021
16,22,5,2,40.0,3,60.0,0,0.0,16022
16,23,5,3,60.0,2,40.0,0,0.0,16023
16,32,8,3,37.5,4,50.0,1,12.5,16032
16,35,11,4,36.36,5,45.45,2,18.18,16035
16,39,12,1,8.33,7,58.33,4,33.33,16039
18,28,10,3,30.0,3,30.0,4,40.0,18028
