ward,precinct,total,Arthur J. Jones,Arthur J. Jones Percent,Richard L. Grabowski,Richard L. Grabowski Percent,Jim Falvey,Jim Falvey Percent,precinct_id
19,1,26,0,0.0,17,65.38,9,34.62,19001
19,3,57,4,7.02,38,66.67,15,26.32,19003
19,4,43,4,9.3,32,74.42,7,16.28,19004
19,6,48,5,10.42,35,72.92,8,16.67,19006
19,7,20,2,10.0,11,55.0,7,35.0,19007
19,8,35,1,2.86,26,74.29,8,22.86,19008
19,9,29,4,13.79,19,65.52,6,20.69,19009
19,10,39,3,7.69,18,46.15,18,46.15,19010
19,11,65,2,3.08,44,67.69,19,29.23,19011
19,12,46,5,10.87,29,63.04,12,26.09,19012
19,15,52,7,13.46,32,61.54,13,25.0,19015
19,16,53,1,1.89,34,64.15,18,33.96,19016
19,17,35,1,2.86,17,48.57,17,48.57,19017
19,18,40,3,7.5,23,57.5,14,35.0,19018
19,19,25,1,4.0,16,64.0,8,32.0,19019
19,21,44,6,13.64,22,50.0,16,36.36,19021
19,22,45,0,0.0,20,44.44,25,55.56,19022
19,23,46,4,8.7,27,58.7,15,32.61,19023
19,24,38,4,10.53,22,57.89,12,31.58,19024
19,25,65,7,10.77,29,44.62,29,44.62,19025
19,26,56,3,5.36,26,46.43,27,48.21,19026
19,29,50,7,14.0,28,56.0,15,30.0,19029
19,30,63,4,6.35,52,82.54,7,11.11,19030
19,32,44,1,2.27,34,77.27,9,20.45,19032
19,33,70,6,8.57,42,60.0,22,31.43,19033
19,34,29,5,17.24,14,48.28,10,34.48,19034
19,35,25,1,4.0,14,56.0,10,40.0,19035
19,41,36,2,5.56,24,66.67,10,27.78,19041
19,44,36,1,2.78,26,72.22,9,25.0,19044
19,45,47,1,2.13,33,70.21,13,27.66,19045
19,46,48,1,2.08,29,60.42,18,37.5,19046
19,51,31,5,16.13,15,48.39,11,35.48,19051
19,52,53,3,5.66,37,69.81,13,24.53,19052
19,53,28,2,7.14,14,50.0,12,42.86,19053
19,54,46,1,2.17,31,67.39,14,30.43,19054
19,55,39,1,2.56,24,61.54,14,35.9,19055
19,56,43,2,4.65,24,55.81,17,39.53,19056
19,57,29,0,0.0,21,72.41,8,27.59,19057
19,58,58,9,15.52,35,60.34,14,24.14,19058
19,59,64,0,0.0,50,78.13,14,21.88,19059
19,61,30,3,10.0,19,63.33,8,26.67,19061
19,62,27,2,7.41,15,55.56,10,37.04,19062
20,4,10,4,40.0,3,30.0,3,30.0,20004
20,8,1,1,100.0,0,0.0,0,0.0,20008
20,21,3,1,33.33,2,66.67,0,0.0,20021
20,41,0,0,0.0,0,0.0,0,0.0,20041
23,1,30,2,6.67,19,63.33,9,30.0,23001
23,2,14,2,14.29,10,71.43,2,14.29,23002
23,3,82,8,9.76,56,68.29,18,21.95,23003
23,4,24,3,12.5,13,54.17,8,33.33,23004
23,5,16,2,12.5,11,68.75,3,18.75,23005
23,6,16,2,12.5,11,68.75,3,18.75,23006
23,7,32,1,3.13,21,65.63,10,31.25,23007
23,8,23,4,17.39,14,60.87,5,21.74,23008
23,9,4,2,50.0,2,50.0,0,0.0,23009
23,10,21,2,9.52,14,66.67,5,23.81,23010
23,11,78,7,8.97,58,74.36,13,16.67,23011
23,12,43,1,2.33,30,69.77,12,27.91,23012
23,13,36,4,11.11,29,80.56,3,8.33,23013
23,14,39,0,0.0,31,79.49,8,20.51,23014
23,15,26,5,19.23,15,57.69,6,23.08,23015
23,16,35,6,17.14,22,62.86,7,20.0,23016
23,17,5,0,0.0,4,80.0,1,20.0,23017
23,18,62,5,8.06,43,69.35,14,22.58,23018
23,19,30,1,3.33,20,66.67,9,30.0,23019
23,20,16,2,12.5,13,81.25,1,6.25,23020
23,21,0,0,0.0,0,0.0,0,0.0,23021
23,22,23,0,0.0,17,73.91,6,26.09,23022
23,23,35,1,2.86,27,77.14,7,20.0,23023
23,25,16,4,25.0,10,62.5,2,12.5,23025
23,26,43,8,18.6,28,65.12,7,16.28,23026
23,27,36,4,11.11,27,75.0,5,13.89,23027
23,28,29,6,20.69,15,51.72,8,27.59,23028
23,29,1,0,0.0,1,100.0,0,0.0,23029
23,30,24,1,4.17,15,62.5,8,33.33,23030
23,31,9,0,0.0,9,100.0,0,0.0,23031
23,32,13,1,7.69,9,69.23,3,23.08,23032
23,33,39,4,10.26,25,64.1,10,25.64,23033
23,34,16,5,31.25,8,50.0,3,18.75,23034
23,35,0,0,0.0,0,0.0,0,0.0,23035
23,36,53,1,1.89,42,79.25,10,18.87,23036
23,37,0,0,0.0,0,0.0,0,0.0,23037
23,38,19,3,15.79,13,68.42,3,15.79,23038
23,39,48,4,8.33,34,70.83,10,20.83,23039
23,40,40,5,12.5,29,72.5,6,15.0,23040
23,41,11,1,9.09,8,72.73,2,18.18,23041
23,42,21,3,14.29,11,52.38,7,33.33,23042
23,43,45,6,13.33,30,66.67,9,20.0,23043
23,44,22,3,13.64,18,81.82,1,4.55,23044
23,45,28,3,10.71,14,50.0,11,39.29,23045
23,46,36,6,16.67,28,77.78,2,5.56,23046
23,47,46,4,8.7,35,76.09,7,15.22,23047
23,48,15,3,20.0,11,73.33,1,6.67,23048
23,49,33,3,9.09,20,60.61,10,30.3,23049
29,24,0,0,0.0,0,0.0,0,0.0,29024
