ward,precinct,total,Barbara Ruth Bellar,Barbara Ruth Bellar Percent,Ricardo A. Fernandez,Ricardo A. Fernandez Percent,precinct_id
18,9,11,4,36.36,7,63.64,18009
18,24,0,0,0.0,0,0.0,18024
18,25,2,1,50.0,1,50.0,18025
18,26,0,0,0.0,0,0.0,18026
18,30,1,1,100.0,0,0.0,18030
18,32,2,1,50.0,1,50.0,18032
18,34,5,2,40.0,3,60.0,18034
18,46,0,0,0.0,0,0.0,18046
18,52,0,0,0.0,0,0.0,18052
19,1,27,19,70.37,8,29.63,19001
19,2,13,10,76.92,3,23.08,19002
19,3,54,43,79.63,11,20.37,19003
19,4,43,38,88.37,5,11.63,19004
19,5,29,20,68.97,9,31.03,19005
19,6,46,34,73.91,12,26.09,19006
19,7,23,20,86.96,3,13.04,19007
19,8,37,24,64.86,13,35.14,19008
19,9,26,21,80.77,5,19.23,19009
19,10,42,26,61.9,16,38.1,19010
19,11,59,46,77.97,13,22.03,19011
19,12,40,31,77.5,9,22.5,19012
19,13,4,4,100.0,0,0.0,19013
19,15,53,43,81.13,10,18.87,19015
19,16,47,41,87.23,6,12.77,19016
19,17,36,32,88.89,4,11.11,19017
19,18,41,34,82.93,7,17.07,19018
19,19,27,21,77.78,6,22.22,19019
19,20,19,10,52.63,9,47.37,19020
19,21,43,28,65.12,15,34.88,19021
19,22,42,37,88.1,5,11.9,19022
19,23,41,30,73.17,11,26.83,19023
19,24,39,26,66.67,13,33.33,19024
19,25,66,46,69.7,20,30.3,19025
19,26,57,43,75.44,14,24.56,19026
19,27,11,6,54.55,5,45.45,19027
19,28,11,4,36.36,7,63.64,19028
19,29,49,33,67.35,16,32.65,19029
19,30,58,40,68.97,18,31.03,19030
19,32,47,39,82.98,8,17.02,19032
19,33,71,61,85.92,10,14.08,19033
19,34,30,26,86.67,4,13.33,19034
19,35,23,15,65.22,8,34.78,19035
19,36,16,11,68.75,5,31.25,19036
19,37,20,16,80.0,4,20.0,19037
19,38,18,13,72.22,5,27.78,19038
19,39,2,1,50.0,1,50.0,19039
19,41,33,26,78.79,7,21.21,19041
19,44,35,26,74.29,9,25.71,19044
19,45,51,37,72.55,14,27.45,19045
19,46,48,43,89.58,5,10.42,19046
19,51,32,21,65.63,11,34.38,19051
19,52,52,43,82.69,9,17.31,19052
19,53,26,18,69.23,8,30.77,19053
19,54,47,35,74.47,12,25.53,19054
19,55,39,33,84.62,6,15.38,19055
19,56,42,29,69.05,13,30.95,19056
19,57,26,16,61.54,10,38.46,19057
19,58,58,43,74.14,15,25.86,19058
19,59,66,42,63.64,24,36.36,19059
19,60,5,4,80.0,1,20.0,19060
19,61,32,26,81.25,6,18.75,19061
19,62,30,26,86.67,4,13.33,19062
21,1,0,0,0.0,0,0.0,21001
21,3,0,0,0.0,0,0.0,21003
21,7,3,1,33.33,2,66.67,21007
21,8,4,2,50.0,2,50.0,21008
21,9,0,0,0.0,0,0.0,21009
21,14,0,0,0.0,0,0.0,21014
21,18,2,2,100.0,0,0.0,21018
21,35,0,0,0.0,0,0.0,21035
21,38,2,2,100.0,0,0.0,21038
21,51,0,0,0.0,0,0.0,21051
21,58,2,2,100.0,0,0.0,21058
21,60,0,0,0.0,0,0.0,21060
