ward,precinct,total,Jose M. Guererro,Jose M. Guererro Percent,Sergio Bocanegra,Sergio Bocanegra Percent,precinct_id
12,1,5,5,100.0,0,0.0,12001
12,2,6,5,83.33,1,16.67,12002
12,3,8,3,37.5,5,62.5,12003
12,4,6,4,66.67,2,33.33,12004
12,5,5,4,80.0,1,20.0,12005
12,6,4,4,100.0,0,0.0,12006
12,7,9,5,55.56,4,44.44,12007
12,8,14,9,64.29,5,35.71,12008
12,9,4,2,50.0,2,50.0,12009
12,10,7,5,71.43,2,28.57,12010
12,11,12,11,91.67,1,8.33,12011
12,12,1,1,100.0,0,0.0,12012
12,13,12,9,75.0,3,25.0,12013
12,14,5,4,80.0,1,20.0,12014
12,15,2,2,100.0,0,0.0,12015
12,16,7,5,71.43,2,28.57,12016
12,17,6,3,50.0,3,50.0,12017
12,18,4,2,50.0,2,50.0,12018
12,19,13,6,46.15,7,53.85,12019
12,20,12,7,58.33,5,41.67,12020
12,21,11,6,54.55,5,45.45,12021
12,22,4,4,100.0,0,0.0,12022
12,23,7,4,57.14,3,42.86,12023
12,24,9,8,88.89,1,11.11,12024
