ward,precinct,total,Tim Bukowski (Romney),Tim Bukowski (Romney) Percent,Isaac Hayes (Romney),Isaac Hayes (Romney) Percent,Miriam Shabo (Romney),Miriam Shabo (Romney) Percent,Melanie Alejandre (Paul),Melanie Alejandre (Paul) Percent,Michael Neuliep (Paul),Michael Neuliep (Paul) Percent,Michael Watson (Paul),Michael Watson (Paul) Percent,Todd E. Arseneau (Gingrich),Todd E. Arseneau (Gingrich) Percent,Michael Bossert (Gingrich),Michael Bossert (Gingrich) Percent,Kimberly A. Curlee (Gingrich),Kimberly A. Curlee (Gingrich) Percent,George L. Pearson (Santorum),George L. Pearson (Santorum) Percent,James Skutt (Santorum),James Skutt (Santorum) Percent,precinct_id
5,1,12,2,16.67,3,25.0,2,16.67,1,8.33,1,8.33,1,8.33,0,0.0,0,0.0,0,0.0,1,8.33,1,8.33,05001
5,4,3,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05004
5,6,6,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,1,16.67,1,16.67,05006
5,7,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05007
5,11,65,11,16.92,11,16.92,12,18.46,7,10.77,8,12.31,7,10.77,0,0.0,0,0.0,1,1.54,4,6.15,4,6.15,05011
5,14,6,2,33.33,2,33.33,2,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05014
5,21,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05021
5,24,11,3,27.27,3,27.27,3,27.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,9.09,1,9.09,05024
5,26,3,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0,05026
5,28,6,1,16.67,1,16.67,1,16.67,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05028
5,29,6,0,0.0,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,1,16.67,1,16.67,05029
5,31,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05031
5,32,18,6,33.33,5,27.78,5,27.78,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.56,1,5.56,05032
5,34,8,0,0.0,1,12.5,0,0.0,1,12.5,1,12.5,1,12.5,0,0.0,0,0.0,0,0.0,2,25.0,2,25.0,05034
5,36,15,2,13.33,3,20.0,2,13.33,0,0.0,0,0.0,0,0.0,3,20.0,1,6.67,1,6.67,2,13.33,1,6.67,05036
5,37,52,8,15.38,9,17.31,9,17.31,5,9.62,4,7.69,4,7.69,1,1.92,1,1.92,2,3.85,4,7.69,5,9.62,05037
5,40,3,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05040
5,43,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05043
5,44,9,0,0.0,1,11.11,0,0.0,2,22.22,2,22.22,3,33.33,0,0.0,1,11.11,0,0.0,0,0.0,0,0.0,05044
5,46,39,7,17.95,5,12.82,6,15.38,4,10.26,3,7.69,2,5.13,1,2.56,1,2.56,2,5.13,4,10.26,4,10.26,05046
5,47,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05047
7,1,12,1,8.33,1,8.33,0,0.0,2,16.67,2,16.67,2,16.67,1,8.33,1,8.33,2,16.67,0,0.0,0,0.0,07001
7,2,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,50.0,2,50.0,07002
7,3,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07003
7,4,11,2,18.18,2,18.18,3,27.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,9.09,2,18.18,1,9.09,07004
7,5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07005
7,6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07006
7,7,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07007
7,8,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07008
7,9,13,3,23.08,3,23.08,3,23.08,0,0.0,1,7.69,1,7.69,0,0.0,0,0.0,0,0.0,1,7.69,1,7.69,07009
7,10,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,07010
7,11,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,20.0,1,20.0,1,20.0,1,20.0,1,20.0,07011
7,12,3,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,07012
7,13,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07013
7,14,10,3,30.0,3,30.0,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,10.0,1,10.0,07014
7,15,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07015
7,16,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,07016
7,17,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07017
7,18,11,2,18.18,1,9.09,1,9.09,2,18.18,1,9.09,0,0.0,1,9.09,1,9.09,2,18.18,0,0.0,0,0.0,07018
7,19,7,1,14.29,1,14.29,1,14.29,2,28.57,1,14.29,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07019
7,20,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07020
7,21,4,1,25.0,1,25.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07021
7,22,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07022
7,23,5,1,20.0,2,40.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,0,0.0,07023
7,24,3,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,07024
7,25,9,0,0.0,2,22.22,0,0.0,2,22.22,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,1,11.11,2,22.22,07025
7,26,3,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,07026
7,27,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,07027
7,28,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07028
7,29,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07029
7,30,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07030
7,31,2,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,07031
7,32,11,3,27.27,4,36.36,3,27.27,0,0.0,0,0.0,1,9.09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07032
7,33,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07033
7,34,5,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,40.0,2,40.0,07034
7,35,9,0,0.0,0,0.0,0,0.0,1,11.11,1,11.11,2,22.22,1,11.11,1,11.11,1,11.11,1,11.11,1,11.11,07035
7,36,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07036
7,37,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,0,0.0,1,20.0,2,40.0,1,20.0,07037
7,38,3,1,33.33,0,0.0,1,33.33,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07038
7,39,7,1,14.29,1,14.29,1,14.29,0,0.0,0,0.0,0,0.0,1,14.29,1,14.29,1,14.29,1,14.29,0,0.0,07039
7,40,6,1,16.67,1,16.67,1,16.67,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07040
7,41,6,0,0.0,1,16.67,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,2,33.33,1,16.67,0,0.0,0,0.0,07041
7,42,8,1,12.5,1,12.5,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,12.5,2,25.0,2,25.0,07042
7,43,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07043
7,44,15,4,26.67,4,26.67,4,26.67,0,0.0,0,0.0,1,6.67,0,0.0,0,0.0,0,0.0,1,6.67,1,6.67,07044
7,45,22,2,9.09,2,9.09,2,9.09,3,13.64,2,9.09,2,9.09,0,0.0,0,0.0,1,4.55,4,18.18,4,18.18,07045
7,46,4,1,25.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,07046
7,47,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07047
7,48,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,07048
7,49,7,0,0.0,1,14.29,0,0.0,0,0.0,0,0.0,3,42.86,0,0.0,0,0.0,1,14.29,1,14.29,1,14.29,07049
8,4,6,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,08004
8,7,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08007
8,15,3,1,33.33,0,0.0,0,0.0,1,33.33,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08015
8,21,5,1,20.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,20.0,1,20.0,08021
8,25,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08025
8,27,4,0,0.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,1,25.0,0,0.0,08027
8,28,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,1,25.0,0,0.0,0,0.0,1,25.0,1,25.0,08028
8,32,10,1,10.0,1,10.0,1,10.0,2,20.0,0,0.0,2,20.0,0,0.0,0,0.0,0,0.0,2,20.0,1,10.0,08032
8,36,3,0,0.0,1,33.33,0,0.0,0,0.0,1,33.33,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,08036
8,39,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,08039
8,42,3,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0,1,33.33,08042
8,44,6,1,16.67,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,08044
8,46,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08046
