ward,precinct,total,Margarite J. Faulkner,Margarite J. Faulkner Percent,Wayne Armstrong,Wayne Armstrong Percent,precinct_id
8,1,3,3,100.0,0,0.0,08001
8,2,0,0,0.0,0,0.0,08002
8,3,1,1,100.0,0,0.0,08003
8,4,0,0,0.0,0,0.0,08004
8,5,1,1,100.0,0,0.0,08005
8,6,2,1,50.0,1,50.0,08006
8,7,1,1,100.0,0,0.0,08007
8,8,0,0,0.0,0,0.0,08008
8,9,1,1,100.0,0,0.0,08009
8,10,0,0,0.0,0,0.0,08010
8,11,2,2,100.0,0,0.0,08011
8,12,1,1,100.0,0,0.0,08012
8,13,1,0,0.0,1,100.0,08013
8,14,2,0,0.0,2,100.0,08014
8,15,1,0,0.0,1,100.0,08015
8,16,1,0,0.0,1,100.0,08016
8,17,1,1,100.0,0,0.0,08017
8,18,0,0,0.0,0,0.0,08018
8,19,4,1,25.0,3,75.0,08019
8,20,6,6,100.0,0,0.0,08020
8,21,1,0,0.0,1,100.0,08021
8,22,0,0,0.0,0,0.0,08022
8,23,0,0,0.0,0,0.0,08023
8,24,1,1,100.0,0,0.0,08024
8,25,0,0,0.0,0,0.0,08025
8,26,0,0,0.0,0,0.0,08026
8,27,2,1,50.0,1,50.0,08027
8,28,3,1,33.33,2,66.67,08028
8,29,0,0,0.0,0,0.0,08029
8,30,0,0,0.0,0,0.0,08030
8,31,1,1,100.0,0,0.0,08031
8,32,3,1,33.33,2,66.67,08032
8,33,3,2,66.67,1,33.33,08033
8,34,1,1,100.0,0,0.0,08034
8,35,1,1,100.0,0,0.0,08035
8,36,1,0,0.0,1,100.0,08036
8,37,0,0,0.0,0,0.0,08037
8,38,0,0,0.0,0,0.0,08038
8,39,1,1,100.0,0,0.0,08039
8,40,0,0,0.0,0,0.0,08040
8,41,2,0,0.0,2,100.0,08041
8,42,1,0,0.0,1,100.0,08042
8,43,2,2,100.0,0,0.0,08043
8,44,2,1,50.0,1,50.0,08044
8,45,0,0,0.0,0,0.0,08045
8,46,1,1,100.0,0,0.0,08046
8,47,1,0,0.0,1,100.0,08047
8,48,3,2,66.67,1,33.33,08048
8,49,1,1,100.0,0,0.0,08049
8,50,0,0,0.0,0,0.0,08050
8,51,2,0,0.0,2,100.0,08051
8,52,0,0,0.0,0,0.0,08052
8,53,0,0,0.0,0,0.0,08053
8,54,2,2,100.0,0,0.0,08054
8,55,1,1,100.0,0,0.0,08055
8,56,1,1,100.0,0,0.0,08056
8,57,0,0,0.0,0,0.0,08057
8,58,0,0,0.0,0,0.0,08058
8,59,0,0,0.0,0,0.0,08059
8,60,4,2,50.0,2,50.0,08060
8,61,1,1,100.0,0,0.0,08061
8,62,0,0,0.0,0,0.0,08062
8,63,1,0,0.0,1,100.0,08063
8,64,0,0,0.0,0,0.0,08064
