ward,precinct,total,Michael P. McAuliffe,Michael P. McAuliffe Percent,precinct_id
36,5,63,63,100.0,36005
36,18,30,30,100.0,36018
36,29,19,19,100.0,36029
36,34,36,36,100.0,36034
36,48,36,36,100.0,36048
36,49,42,42,100.0,36049
41,1,87,87,100.0,41001
41,2,78,78,100.0,41002
41,3,43,43,100.0,41003
41,4,72,72,100.0,41004
41,5,71,71,100.0,41005
41,7,74,74,100.0,41007
41,8,63,63,100.0,41008
41,9,12,12,100.0,41009
41,11,61,61,100.0,41011
41,13,28,28,100.0,41013
41,15,74,74,100.0,41015
41,16,74,74,100.0,41016
41,17,72,72,100.0,41017
41,18,57,57,100.0,41018
41,20,112,112,100.0,41020
41,21,75,75,100.0,41021
41,22,60,60,100.0,41022
41,25,18,18,100.0,41025
41,26,45,45,100.0,41026
41,27,21,21,100.0,41027
41,31,74,74,100.0,41031
41,32,55,55,100.0,41032
41,33,65,65,100.0,41033
41,34,73,73,100.0,41034
41,35,92,92,100.0,41035
41,36,84,84,100.0,41036
41,37,114,114,100.0,41037
41,40,87,87,100.0,41040
41,41,74,74,100.0,41041
41,42,71,71,100.0,41042
41,43,75,75,100.0,41043
41,45,53,53,100.0,41045
41,46,50,50,100.0,41046
41,48,14,14,100.0,41048
41,49,100,100,100.0,41049
41,51,47,47,100.0,41051
41,52,94,94,100.0,41052
41,55,58,58,100.0,41055
41,56,96,96,100.0,41056
