ward,precinct,total,Robert Handzik,Robert Handzik Percent,precinct_id
13,1,17,17,100.0,13001
13,2,4,4,100.0,13002
13,3,10,10,100.0,13003
13,4,29,29,100.0,13004
13,5,11,11,100.0,13005
13,7,7,7,100.0,13007
13,8,21,21,100.0,13008
13,9,12,12,100.0,13009
13,12,11,11,100.0,13012
13,13,9,9,100.0,13013
13,14,16,16,100.0,13014
13,15,17,17,100.0,13015
13,16,10,10,100.0,13016
13,17,27,27,100.0,13017
13,18,12,12,100.0,13018
13,19,10,10,100.0,13019
13,20,17,17,100.0,13020
13,22,16,16,100.0,13022
13,23,7,7,100.0,13023
13,24,12,12,100.0,13024
13,25,16,16,100.0,13025
13,26,14,14,100.0,13026
13,27,23,23,100.0,13027
13,28,5,5,100.0,13028
13,29,14,14,100.0,13029
13,30,13,13,100.0,13030
13,31,14,14,100.0,13031
13,32,9,9,100.0,13032
13,33,8,8,100.0,13033
13,34,11,11,100.0,13034
13,35,9,9,100.0,13035
13,36,6,6,100.0,13036
13,37,12,12,100.0,13037
13,39,4,4,100.0,13039
13,40,9,9,100.0,13040
13,41,11,11,100.0,13041
13,42,14,14,100.0,13042
13,43,8,8,100.0,13043
13,44,2,2,100.0,13044
13,45,19,19,100.0,13045
13,46,6,6,100.0,13046
13,47,8,8,100.0,13047
14,1,14,14,100.0,14001
14,3,4,4,100.0,14003
14,4,10,10,100.0,14004
14,9,9,9,100.0,14009
14,11,3,3,100.0,14011
14,15,6,6,100.0,14015
15,10,12,12,100.0,15010
16,17,7,7,100.0,16017
16,39,11,11,100.0,16039
23,4,22,22,100.0,23004
23,6,10,10,100.0,23006
23,7,29,29,100.0,23007
23,8,20,20,100.0,23008
23,9,12,12,100.0,23009
23,10,13,13,100.0,23010
23,11,10,10,100.0,23011
23,15,24,24,100.0,23015
23,18,53,53,100.0,23018
23,19,26,26,100.0,23019
23,20,13,13,100.0,23020
23,22,20,20,100.0,23022
23,23,27,27,100.0,23023
23,24,1,1,100.0,23024
23,26,40,40,100.0,23026
23,28,22,22,100.0,23028
23,29,9,9,100.0,23029
23,34,14,14,100.0,23034
23,36,47,47,100.0,23036
23,38,16,16,100.0,23038
23,39,39,39,100.0,23039
23,40,35,35,100.0,23040
23,41,1,1,100.0,23041
23,43,39,39,100.0,23043
23,46,30,30,100.0,23046
23,48,3,3,100.0,23048
23,49,33,33,100.0,23049
