ward,precinct,total,Kevin Edward White,Kevin Edward White Percent,Antoinette ''Toni'' Puccio-Johnson,Antoinette ''Toni'' Puccio-Johnson Percent,precinct_id
38,1,37,24,64.86,13,35.14,38001
38,2,20,9,45.0,11,55.0,38002
38,3,30,20,66.67,10,33.33,38003
38,4,22,14,63.64,8,36.36,38004
38,5,49,31,63.27,18,36.73,38005
38,6,15,9,60.0,6,40.0,38006
38,7,28,18,64.29,10,35.71,38007
38,8,26,16,61.54,10,38.46,38008
38,9,26,13,50.0,13,50.0,38009
38,10,28,17,60.71,11,39.29,38010
38,11,42,22,52.38,20,47.62,38011
38,12,22,12,54.55,10,45.45,38012
38,13,36,21,58.33,15,41.67,38013
38,14,22,12,54.55,10,45.45,38014
38,15,35,22,62.86,13,37.14,38015
38,16,20,10,50.0,10,50.0,38016
38,17,9,5,55.56,4,44.44,38017
38,18,28,15,53.57,13,46.43,38018
38,19,24,14,58.33,10,41.67,38019
38,20,44,33,75.0,11,25.0,38020
38,21,29,18,62.07,11,37.93,38021
38,22,35,24,68.57,11,31.43,38022
38,23,31,15,48.39,16,51.61,38023
38,24,17,12,70.59,5,29.41,38024
38,25,41,24,58.54,17,41.46,38025
38,26,11,7,63.64,4,36.36,38026
38,27,26,11,42.31,15,57.69,38027
38,28,30,15,50.0,15,50.0,38028
38,29,20,14,70.0,6,30.0,38029
38,30,15,9,60.0,6,40.0,38030
38,31,14,6,42.86,8,57.14,38031
38,32,32,22,68.75,10,31.25,38032
38,33,16,12,75.0,4,25.0,38033
38,34,26,13,50.0,13,50.0,38034
38,35,28,15,53.57,13,46.43,38035
38,36,20,12,60.0,8,40.0,38036
38,37,24,21,87.5,3,12.5,38037
38,38,27,15,55.56,12,44.44,38038
38,39,24,15,62.5,9,37.5,38039
38,40,33,20,60.61,13,39.39,38040
38,41,34,23,67.65,11,32.35,38041
38,42,25,10,40.0,15,60.0,38042
38,43,27,15,55.56,12,44.44,38043
38,44,21,15,71.43,6,28.57,38044
38,45,36,28,77.78,8,22.22,38045
