ward,precinct,total,George C. McKinley,George C. McKinley Percent,Saadiq A. Bey,Saadiq A. Bey Percent,precinct_id
37,1,3,1,33.33,1,33.33,37001
37,2,4,2,50.0,1,25.0,37002
37,3,1,0,0.0,0,0.0,37003
37,4,6,5,83.33,0,0.0,37004
37,5,4,4,100.0,0,0.0,37005
37,6,6,5,83.33,1,16.67,37006
37,7,0,0,0.0,0,0.0,37007
37,8,3,3,100.0,0,0.0,37008
37,9,3,1,33.33,0,0.0,37009
37,10,3,3,100.0,0,0.0,37010
37,11,4,1,25.0,0,0.0,37011
37,12,2,1,50.0,0,0.0,37012
37,13,5,2,40.0,0,0.0,37013
37,14,1,1,100.0,0,0.0,37014
37,15,2,0,0.0,2,100.0,37015
37,16,5,1,20.0,0,0.0,37016
37,17,1,1,100.0,0,0.0,37017
37,18,1,1,100.0,0,0.0,37018
37,19,5,2,40.0,0,0.0,37019
37,20,4,2,50.0,2,50.0,37020
37,21,2,0,0.0,0,0.0,37021
37,22,1,1,100.0,0,0.0,37022
37,23,0,0,0.0,0,0.0,37023
37,24,2,1,50.0,0,0.0,37024
37,25,4,2,50.0,0,0.0,37025
37,26,3,3,100.0,0,0.0,37026
37,27,5,5,100.0,0,0.0,37027
37,28,6,2,33.33,0,0.0,37028
37,29,0,0,0.0,0,0.0,37029
37,30,3,1,33.33,0,0.0,37030
37,31,2,2,100.0,0,0.0,37031
37,32,1,1,100.0,0,0.0,37032
37,33,0,0,0.0,0,0.0,37033
37,34,4,2,50.0,0,0.0,37034
37,35,3,1,33.33,0,0.0,37035
37,36,0,0,0.0,0,0.0,37036
37,37,3,2,66.67,1,33.33,37037
37,38,3,3,100.0,0,0.0,37038
37,39,20,5,25.0,0,0.0,37039
37,40,3,3,100.0,0,0.0,37040
37,41,1,1,100.0,0,0.0,37041
37,42,8,0,0.0,0,0.0,37042
37,43,1,1,100.0,0,0.0,37043
