ward,precinct,total,Scott M. Davis,Scott M. Davis Percent,precinct_id
44,1,29,29,100.0,44001
44,2,26,26,100.0,44002
44,3,35,35,100.0,44003
44,4,24,24,100.0,44004
44,5,21,21,100.0,44005
44,6,17,17,100.0,44006
44,7,35,35,100.0,44007
44,8,26,26,100.0,44008
44,9,24,24,100.0,44009
44,10,13,13,100.0,44010
44,11,30,30,100.0,44011
44,12,37,37,100.0,44012
44,13,21,21,100.0,44013
44,14,28,28,100.0,44014
44,15,32,32,100.0,44015
44,16,30,30,100.0,44016
44,17,25,25,100.0,44017
44,18,16,16,100.0,44018
44,19,38,38,100.0,44019
44,20,18,18,100.0,44020
44,21,20,20,100.0,44021
44,22,41,41,100.0,44022
44,23,17,17,100.0,44023
44,24,32,32,100.0,44024
44,25,37,37,100.0,44025
44,26,16,16,100.0,44026
44,27,26,26,100.0,44027
44,28,23,23,100.0,44028
44,29,24,24,100.0,44029
44,30,9,9,100.0,44030
44,31,24,24,100.0,44031
44,32,30,30,100.0,44032
44,33,15,15,100.0,44033
44,34,20,20,100.0,44034
44,35,47,47,100.0,44035
44,36,30,30,100.0,44036
44,37,29,29,100.0,44037
44,38,24,24,100.0,44038
44,39,44,44,100.0,44039
44,40,36,36,100.0,44040
44,41,23,23,100.0,44041
44,42,26,26,100.0,44042
44,43,25,25,100.0,44043
44,44,20,20,100.0,44044
44,45,25,25,100.0,44045
44,46,22,22,100.0,44046
44,47,37,37,100.0,44047
