ward,precinct,total,Kurt D. Diekelman (Romney),Kurt D. Diekelman (Romney) Percent,Marjorie Milone (Romney),Marjorie Milone (Romney) Percent,Suzy J. Newberg (Romney),Suzy J. Newberg (Romney) Percent,Anthony Raczek (Paul),Anthony Raczek (Paul) Percent,James P. Wogan (Paul),James P. Wogan (Paul) Percent,Lisa Wogan (Paul),Lisa Wogan (Paul) Percent,Barbara (''Bobbie'') Peterson (Gingric,Barbara (''Bobbie'') Peterson (Gingric Percent,Judy A. Diekelman (Gingrich),Judy A. Diekelman (Gingrich) Percent,Darrel Smith (Gingrich),Darrel Smith (Gingrich) Percent,Ceasar I. LeFlore (Santorum),Ceasar I. LeFlore (Santorum) Percent,Jay Farquhar (Santorum),Jay Farquhar (Santorum) Percent,precinct_id
5,1,12,2,16.67,3,25.0,2,16.67,0,0.0,0,0.0,1,8.33,0,0.0,1,8.33,0,0.0,1,8.33,1,8.33,05001
5,4,3,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05004
5,6,7,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,1,14.29,1,14.29,1,14.29,1,14.29,05006
5,7,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05007
5,11,69,13,18.84,12,17.39,11,15.94,7,10.14,7,10.14,7,10.14,0,0.0,0,0.0,0,0.0,4,5.8,4,5.8,05011
5,14,9,2,22.22,2,22.22,2,22.22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,1,11.11,05014
5,21,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05021
5,24,15,3,20.0,3,20.0,3,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,13.33,2,13.33,05024
5,26,3,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,05026
5,28,6,1,16.67,1,16.67,1,16.67,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05028
5,29,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,1,16.67,1,16.67,05029
5,31,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05031
5,32,19,6,31.58,5,26.32,5,26.32,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.26,1,5.26,05032
5,34,8,0,0.0,0,0.0,0,0.0,1,12.5,1,12.5,1,12.5,0,0.0,0,0.0,0,0.0,2,25.0,2,25.0,05034
5,36,16,2,12.5,1,6.25,1,6.25,0,0.0,0,0.0,2,12.5,2,12.5,1,6.25,1,6.25,3,18.75,2,12.5,05036
