ward,precinct,total,Mirlinda Vula Feierstein,Mirlinda Vula Feierstein Percent,Martin ''Marty'' Phelan,Martin ''Marty'' Phelan Percent,precinct_id
2,1,65,14,21.54,51,78.46,02001
2,2,0,0,0.0,0,0.0,02002
2,3,11,4,36.36,7,63.64,02003
2,4,1,0,0.0,1,100.0,02004
2,5,3,2,66.67,1,33.33,02005
2,6,62,15,24.19,47,75.81,02006
2,7,3,0,0.0,3,100.0,02007
2,8,44,20,45.45,24,54.55,02008
2,9,3,0,0.0,3,100.0,02009
2,10,4,0,0.0,4,100.0,02010
2,11,39,13,33.33,26,66.67,02011
2,12,39,11,28.21,28,71.79,02012
2,13,10,2,20.0,8,80.0,02013
2,14,5,2,40.0,3,60.0,02014
2,15,2,0,0.0,2,100.0,02015
2,16,37,12,32.43,25,67.57,02016
2,17,0,0,0.0,0,0.0,02017
2,18,35,11,31.43,24,68.57,02018
2,19,58,13,22.41,45,77.59,02019
2,20,11,3,27.27,8,72.73,02020
2,21,11,3,27.27,8,72.73,02021
2,22,31,12,38.71,19,61.29,02022
2,23,6,3,50.0,3,50.0,02023
2,24,18,6,33.33,12,66.67,02024
2,25,10,4,40.0,6,60.0,02025
2,26,20,6,30.0,14,70.0,02026
2,27,0,0,0.0,0,0.0,02027
2,28,19,4,21.05,15,78.95,02028
2,29,10,4,40.0,6,60.0,02029
2,30,26,5,19.23,21,80.77,02030
2,31,4,3,75.0,1,25.0,02031
2,32,10,4,40.0,6,60.0,02032
2,33,4,0,0.0,4,100.0,02033
2,34,8,3,37.5,5,62.5,02034
2,35,26,11,42.31,15,57.69,02035
2,36,46,17,36.96,29,63.04,02036
2,37,26,18,69.23,8,30.77,02037
2,38,78,26,33.33,52,66.67,02038
2,39,14,4,28.57,10,71.43,02039
2,40,37,9,24.32,28,75.68,02040
2,41,0,0,0.0,0,0.0,02041
2,42,0,0,0.0,0,0.0,02042
2,43,31,13,41.94,18,58.06,02043
2,44,2,1,50.0,1,50.0,02044
2,45,8,0,0.0,8,100.0,02045
2,46,1,1,100.0,0,0.0,02046
2,47,2,1,50.0,1,50.0,02047
2,48,1,1,100.0,0,0.0,02048
2,49,32,14,43.75,18,56.25,02049
2,50,5,3,60.0,2,40.0,02050
2,51,4,1,25.0,3,75.0,02051
2,52,9,4,44.44,5,55.56,02052
2,53,21,8,38.1,13,61.9,02053
2,54,21,2,9.52,19,90.48,02054
