ward,precinct,total,Sean M. Morrison,Sean M. Morrison Percent,Dan Patlak,Dan Patlak Percent,precinct_id
19,1,29,18,62.07,11,37.93,19001
19,2,11,2,18.18,9,81.82,19002
19,3,61,38,62.3,23,37.7,19003
19,4,45,28,62.22,17,37.78,19004
19,6,51,28,54.9,23,45.1,19006
19,8,41,23,56.1,18,43.9,19008
19,9,30,14,46.67,16,53.33,19009
19,11,63,38,60.32,25,39.68,19011
19,12,50,29,58.0,21,42.0,19012
19,15,54,23,42.59,31,57.41,19015
19,16,54,35,64.81,19,35.19,19016
19,19,29,18,62.07,11,37.93,19019
19,21,46,26,56.52,20,43.48,19021
19,22,44,18,40.91,26,59.09,19022
19,24,41,18,43.9,23,56.1,19024
19,29,10,7,70.0,3,30.0,19029
19,30,66,41,62.12,25,37.88,19030
19,33,69,45,65.22,24,34.78,19033
19,39,3,2,66.67,1,33.33,19039
19,41,37,17,45.95,20,54.05,19041
19,44,37,24,64.86,13,35.14,19044
19,45,52,25,48.08,27,51.92,19045
19,47,29,16,55.17,13,44.83,19047
19,51,32,15,46.88,17,53.13,19051
19,53,30,17,56.67,13,43.33,19053
19,54,56,35,62.5,21,37.5,19054
19,58,58,40,68.97,18,31.03,19058
19,59,65,41,63.08,24,36.92,19059
19,61,33,21,63.64,12,36.36,19061
19,63,6,2,33.33,4,66.67,19063
41,3,49,26,53.06,23,46.94,41003
41,5,70,35,50.0,35,50.0,41005
41,7,75,48,64.0,27,36.0,41007
41,8,60,30,50.0,30,50.0,41008
41,9,64,35,54.69,29,45.31,41009
41,11,59,31,52.54,28,47.46,41011
41,13,29,17,58.62,12,41.38,41013
41,15,77,51,66.23,26,33.77,41015
41,16,73,39,53.42,34,46.58,41016
41,17,60,27,45.0,33,55.0,41017
41,18,56,27,48.21,29,51.79,41018
41,20,101,39,38.61,62,61.39,41020
41,21,71,34,47.89,37,52.11,41021
41,22,56,24,42.86,32,57.14,41022
41,25,16,13,81.25,3,18.75,41025
41,27,22,14,63.64,8,36.36,41027
41,28,35,18,51.43,17,48.57,41028
41,29,17,12,70.59,5,29.41,41029
41,30,63,32,50.79,31,49.21,41030
41,31,72,48,66.67,24,33.33,41031
41,32,50,25,50.0,25,50.0,41032
41,33,60,26,43.33,34,56.67,41033
41,34,71,40,56.34,31,43.66,41034
41,35,89,45,50.56,44,49.44,41035
41,36,87,53,60.92,34,39.08,41036
41,37,100,60,60.0,40,40.0,41037
41,38,81,40,49.38,41,50.62,41038
41,41,68,39,57.35,29,42.65,41041
41,43,71,36,50.7,35,49.3,41043
41,45,45,27,60.0,18,40.0,41045
41,46,49,26,53.06,23,46.94,41046
41,48,27,14,51.85,13,48.15,41048
41,50,61,30,49.18,31,50.82,41050
41,52,85,44,51.76,41,48.24,41052
41,53,46,25,54.35,21,45.65,41053
41,55,54,34,62.96,20,37.04,41055
