ward,precinct,total,Margaree Jackson,Margaree Jackson Percent,Shawn A. Walker,Shawn A. Walker Percent,precinct_id
28,1,0,0,0.0,0,0.0,28001
28,2,4,0,0.0,4,100.0,28002
28,3,0,0,0.0,0,0.0,28003
28,4,2,0,0.0,2,100.0,28004
28,5,1,1,100.0,0,0.0,28005
28,6,0,0,0.0,0,0.0,28006
28,7,1,1,100.0,0,0.0,28007
28,8,2,1,50.0,1,50.0,28008
28,9,0,0,0.0,0,0.0,28009
28,10,0,0,0.0,0,0.0,28010
28,11,0,0,0.0,0,0.0,28011
28,12,2,1,50.0,1,50.0,28012
28,13,0,0,0.0,0,0.0,28013
28,14,1,1,100.0,0,0.0,28014
28,15,0,0,0.0,0,0.0,28015
28,16,0,0,0.0,0,0.0,28016
28,17,1,0,0.0,1,100.0,28017
28,18,0,0,0.0,0,0.0,28018
28,19,0,0,0.0,0,0.0,28019
28,20,0,0,0.0,0,0.0,28020
28,21,1,0,0.0,1,100.0,28021
28,22,1,1,100.0,0,0.0,28022
28,23,2,1,50.0,1,50.0,28023
28,24,2,0,0.0,2,100.0,28024
28,25,2,1,50.0,1,50.0,28025
28,26,2,2,100.0,0,0.0,28026
28,27,0,0,0.0,0,0.0,28027
28,28,0,0,0.0,0,0.0,28028
28,29,6,3,50.0,3,50.0,28029
28,30,2,2,100.0,0,0.0,28030
28,31,0,0,0.0,0,0.0,28031
28,32,2,1,50.0,1,50.0,28032
28,33,0,0,0.0,0,0.0,28033
28,34,1,1,100.0,0,0.0,28034
28,35,1,0,0.0,1,100.0,28035
28,36,0,0,0.0,0,0.0,28036
28,37,1,0,0.0,1,100.0,28037
28,38,0,0,0.0,0,0.0,28038
28,39,0,0,0.0,0,0.0,28039
28,40,1,0,0.0,1,100.0,28040
28,41,0,0,0.0,0,0.0,28041
28,42,0,0,0.0,0,0.0,28042
28,43,1,0,0.0,1,100.0,28043
28,44,0,0,0.0,0,0.0,28044
28,45,0,0,0.0,0,0.0,28045
28,46,0,0,0.0,0,0.0,28046
28,47,0,0,0.0,0,0.0,28047
28,48,0,0,0.0,0,0.0,28048
28,49,2,2,100.0,0,0.0,28049
28,50,1,0,0.0,1,100.0,28050
28,51,3,0,0.0,3,100.0,28051
28,52,0,0,0.0,0,0.0,28052
28,53,1,0,0.0,1,100.0,28053
28,54,1,1,100.0,0,0.0,28054
28,55,4,1,25.0,3,75.0,28055
