ward,precinct,total,Jim O'Donnell,Jim O'Donnell Percent,Gayle A. Smolinski,Gayle A. Smolinski Percent,precinct_id
41,28,39,25,64.1,14,35.9,41028
41,29,15,11,73.33,4,26.67,41029
41,42,0,0,0.0,0,0.0,41042
41,48,15,10,66.67,5,33.33,41048
