ward,precinct,total,Patrick D. John,Patrick D. John Percent,Eric M. Wallace,Eric M. Wallace Percent,Lori S. Yokoyama,Lori S. Yokoyama Percent,precinct_id
4,1,9,1,11.11,2,22.22,6,66.67,04001
4,2,2,0,0.0,1,50.0,1,50.0,04002
4,3,3,0,0.0,0,0.0,3,100.0,04003
4,4,2,0,0.0,1,50.0,1,50.0,04004
4,5,4,0,0.0,2,50.0,2,50.0,04005
4,6,1,0,0.0,1,100.0,0,0.0,04006
4,7,0,0,0.0,0,0.0,0,0.0,04007
4,8,1,0,0.0,0,0.0,1,100.0,04008
4,9,2,0,0.0,1,50.0,1,50.0,04009
4,10,3,1,33.33,1,33.33,1,33.33,04010
4,11,3,0,0.0,0,0.0,3,100.0,04011
4,12,4,0,0.0,2,50.0,2,50.0,04012
4,13,11,4,36.36,3,27.27,4,36.36,04013
4,14,0,0,0.0,0,0.0,0,0.0,04014
4,15,2,0,0.0,0,0.0,2,100.0,04015
4,16,2,0,0.0,0,0.0,2,100.0,04016
4,17,13,4,30.77,1,7.69,8,61.54,04017
4,18,4,0,0.0,1,25.0,3,75.0,04018
4,19,2,1,50.0,0,0.0,1,50.0,04019
4,20,1,0,0.0,1,100.0,0,0.0,04020
4,21,6,0,0.0,2,33.33,4,66.67,04021
4,22,3,0,0.0,1,33.33,2,66.67,04022
4,23,8,3,37.5,1,12.5,4,50.0,04023
4,24,11,1,9.09,2,18.18,8,72.73,04024
4,25,5,0,0.0,2,40.0,3,60.0,04025
4,26,0,0,0.0,0,0.0,0,0.0,04026
4,27,2,0,0.0,2,100.0,0,0.0,04027
4,28,11,1,9.09,3,27.27,7,63.64,04028
4,29,11,1,9.09,5,45.45,5,45.45,04029
4,30,3,0,0.0,0,0.0,3,100.0,04030
4,31,9,1,11.11,2,22.22,6,66.67,04031
4,32,9,1,11.11,1,11.11,7,77.78,04032
4,33,8,3,37.5,2,25.0,3,37.5,04033
4,34,9,2,22.22,1,11.11,6,66.67,04034
4,35,1,0,0.0,1,100.0,0,0.0,04035
4,36,2,2,100.0,0,0.0,0,0.0,04036
4,37,0,0,0.0,0,0.0,0,0.0,04037
4,38,3,0,0.0,1,33.33,2,66.67,04038
4,39,0,0,0.0,0,0.0,0,0.0,04039
4,40,6,1,16.67,1,16.67,4,66.67,04040
4,41,1,0,0.0,1,100.0,0,0.0,04041
4,42,7,0,0.0,1,14.29,6,85.71,04042
4,43,2,0,0.0,0,0.0,2,100.0,04043
4,44,3,0,0.0,1,33.33,2,66.67,04044
4,45,7,1,14.29,5,71.43,1,14.29,04045
4,46,0,0,0.0,0,0.0,0,0.0,04046
4,47,7,2,28.57,0,0.0,5,71.43,04047
4,48,12,0,0.0,5,41.67,7,58.33,04048
4,49,1,0,0.0,0,0.0,1,100.0,04049
4,50,1,0,0.0,1,100.0,0,0.0,04050
4,51,1,0,0.0,0,0.0,1,100.0,04051
4,52,0,0,0.0,0,0.0,0,0.0,04052
