ward,precinct,total,Mabel Moy (Romney),Mabel Moy (Romney) Percent,Rita Zak (Romney),Rita Zak (Romney) Percent,Marty Phelan (Paul),Marty Phelan (Paul) Percent,Joanna Kappele (Paul),Joanna Kappele (Paul) Percent,Jeffrey Piposar (Gingrich),Jeffrey Piposar (Gingrich) Percent,Geoff Polk (Gingrich),Geoff Polk (Gingrich) Percent,precinct_id
1,1,22,5,22.73,4,18.18,5,22.73,3,13.64,3,13.64,2,9.09,01001
1,6,45,12,26.67,11,24.44,9,20.0,6,13.33,2,4.44,5,11.11,01006
1,11,5,3,60.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0,01011
1,44,13,2,15.38,4,30.77,2,15.38,3,23.08,1,7.69,1,7.69,01044
2,1,139,27,19.42,33,23.74,30,21.58,28,20.14,11,7.91,10,7.19,02001
2,2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02002
2,3,32,12,37.5,11,34.38,1,3.13,1,3.13,4,12.5,3,9.38,02003
2,4,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,02004
2,5,5,2,40.0,2,40.0,1,20.0,0,0.0,0,0.0,0,0.0,02005
2,6,122,32,26.23,36,29.51,23,18.85,12,9.84,11,9.02,8,6.56,02006
2,7,4,0,0.0,0,0.0,2,50.0,2,50.0,0,0.0,0,0.0,02007
2,8,100,25,25.0,26,26.0,18,18.0,15,15.0,8,8.0,8,8.0,02008
2,9,7,1,14.29,1,14.29,2,28.57,1,14.29,1,14.29,1,14.29,02009
2,10,4,2,50.0,0,0.0,1,25.0,0,0.0,1,25.0,0,0.0,02010
2,11,98,35,35.71,35,35.71,10,10.2,6,6.12,5,5.1,7,7.14,02011
2,12,112,28,25.0,29,25.89,19,16.96,17,15.18,9,8.04,10,8.93,02012
2,13,28,8,28.57,7,25.0,4,14.29,2,7.14,3,10.71,4,14.29,02013
2,14,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02014
2,15,6,2,33.33,2,33.33,1,16.67,1,16.67,0,0.0,0,0.0,02015
2,16,87,33,37.93,32,36.78,9,10.34,9,10.34,2,2.3,2,2.3,02016
2,17,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02017
2,18,90,39,43.33,36,40.0,7,7.78,4,4.44,3,3.33,1,1.11,02018
2,19,144,54,37.5,52,36.11,12,8.33,10,6.94,9,6.25,7,4.86,02019
2,20,28,6,21.43,6,21.43,7,25.0,5,17.86,2,7.14,2,7.14,02020
2,21,26,7,26.92,7,26.92,4,15.38,5,19.23,2,7.69,1,3.85,02021
2,22,78,26,33.33,27,34.62,6,7.69,7,8.97,6,7.69,6,7.69,02022
2,23,12,3,25.0,2,16.67,2,16.67,3,25.0,1,8.33,1,8.33,02023
2,24,54,20,37.04,23,42.59,2,3.7,1,1.85,4,7.41,4,7.41,02024
2,25,19,6,31.58,6,31.58,3,15.79,2,10.53,0,0.0,2,10.53,02025
2,26,49,17,34.69,17,34.69,6,12.24,5,10.2,1,2.04,3,6.12,02026
2,27,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,02027
2,28,43,10,23.26,10,23.26,8,18.6,7,16.28,4,9.3,4,9.3,02028
2,29,21,7,33.33,8,38.1,3,14.29,3,14.29,0,0.0,0,0.0,02029
2,30,81,31,38.27,25,30.86,6,7.41,5,6.17,8,9.88,6,7.41,02030
2,32,16,2,12.5,4,25.0,0,0.0,2,12.5,3,18.75,5,31.25,02032
2,33,6,1,16.67,2,33.33,1,16.67,1,16.67,0,0.0,1,16.67,02033
2,34,12,4,33.33,1,8.33,1,8.33,2,16.67,3,25.0,1,8.33,02034
2,35,65,15,23.08,18,27.69,12,18.46,11,16.92,3,4.62,6,9.23,02035
2,36,98,40,40.82,32,32.65,12,12.24,10,10.2,2,2.04,2,2.04,02036
2,37,74,31,41.89,29,39.19,7,9.46,7,9.46,0,0.0,0,0.0,02037
2,38,166,68,40.96,63,37.95,9,5.42,11,6.63,5,3.01,10,6.02,02038
2,39,30,7,23.33,7,23.33,6,20.0,6,20.0,2,6.67,2,6.67,02039
2,40,98,23,23.47,25,25.51,18,18.37,13,13.27,9,9.18,10,10.2,02040
2,41,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02041
