ward,precinct,total,Jim Fuchs,Jim Fuchs Percent,precinct_id
44,1,23,23,100.0,44001
44,2,16,16,100.0,44002
44,3,22,22,100.0,44003
44,4,27,27,100.0,44004
44,5,20,20,100.0,44005
44,6,19,19,100.0,44006
44,7,26,26,100.0,44007
44,8,11,11,100.0,44008
44,9,27,27,100.0,44009
44,10,15,15,100.0,44010
44,11,23,23,100.0,44011
44,12,13,13,100.0,44012
44,13,18,18,100.0,44013
44,14,14,14,100.0,44014
44,15,16,16,100.0,44015
44,16,12,12,100.0,44016
44,17,25,25,100.0,44017
44,18,17,17,100.0,44018
44,19,10,10,100.0,44019
44,20,5,5,100.0,44020
44,21,18,18,100.0,44021
44,22,31,31,100.0,44022
44,23,11,11,100.0,44023
44,24,14,14,100.0,44024
44,25,16,16,100.0,44025
44,26,10,10,100.0,44026
44,27,19,19,100.0,44027
44,28,12,12,100.0,44028
44,29,25,25,100.0,44029
44,30,10,10,100.0,44030
44,31,21,21,100.0,44031
44,32,4,4,100.0,44032
44,33,17,17,100.0,44033
44,34,10,10,100.0,44034
44,35,16,16,100.0,44035
44,36,10,10,100.0,44036
44,37,19,19,100.0,44037
44,38,11,11,100.0,44038
44,39,15,15,100.0,44039
44,40,21,21,100.0,44040
44,41,11,11,100.0,44041
44,42,15,15,100.0,44042
44,43,15,15,100.0,44043
44,44,19,19,100.0,44044
44,45,16,16,100.0,44045
44,46,10,10,100.0,44046
44,47,28,28,100.0,44047
44,48,19,19,100.0,44048
44,49,44,44,100.0,44049
44,50,25,25,100.0,44050
