ward,precinct,total,Clark Pellett,Clark Pellett Percent,precinct_id
2,1,17,17,100.0,02001
2,2,0,0,0.0,02002
2,3,11,11,100.0,02003
2,4,1,1,100.0,02004
2,5,4,4,100.0,02005
2,6,16,16,100.0,02006
2,7,0,0,0.0,02007
2,8,29,29,100.0,02008
2,9,0,0,0.0,02009
2,10,0,0,0.0,02010
2,11,16,16,100.0,02011
2,12,27,27,100.0,02012
2,13,4,4,100.0,02013
2,14,5,5,100.0,02014
2,15,0,0,0.0,02015
2,16,7,7,100.0,02016
2,17,0,0,0.0,02017
2,18,37,37,100.0,02018
2,19,0,0,0.0,02019
2,20,3,3,100.0,02020
2,21,6,6,100.0,02021
2,22,17,17,100.0,02022
2,23,1,1,100.0,02023
2,24,3,3,100.0,02024
2,25,3,3,100.0,02025
2,26,11,11,100.0,02026
2,27,0,0,0.0,02027
2,28,9,9,100.0,02028
2,29,7,7,100.0,02029
2,30,2,2,100.0,02030
2,31,2,2,100.0,02031
2,32,2,2,100.0,02032
2,33,0,0,0.0,02033
2,34,0,0,0.0,02034
2,35,10,10,100.0,02035
2,36,0,0,0.0,02036
2,37,19,19,100.0,02037
2,38,6,6,100.0,02038
2,39,5,5,100.0,02039
2,40,5,5,100.0,02040
2,41,0,0,0.0,02041
2,42,1,1,100.0,02042
2,43,27,27,100.0,02043
2,44,0,0,0.0,02044
2,45,0,0,0.0,02045
2,46,3,3,100.0,02046
2,47,2,2,100.0,02047
2,48,1,1,100.0,02048
2,49,14,14,100.0,02049
2,50,5,5,100.0,02050
2,51,3,3,100.0,02051
2,52,0,0,0.0,02052
2,53,0,0,0.0,02053
2,54,23,23,100.0,02054
2,55,3,3,100.0,02055
2,56,2,2,100.0,02056
2,57,0,0,0.0,02057
2,58,3,3,100.0,02058
2,59,25,25,100.0,02059
