ward,precinct,total,precinct_id
11,1,0,11001
11,2,0,11002
11,4,0,11004
11,5,0,11005
11,6,0,11006
11,7,0,11007
11,8,0,11008
11,9,0,11009
11,10,0,11010
11,11,0,11011
11,16,0,11016
11,17,0,11017
11,18,0,11018
11,19,0,11019
11,20,0,11020
11,21,0,11021
11,22,0,11022
11,24,0,11024
11,25,0,11025
11,26,0,11026
11,29,0,11029
11,30,0,11030
11,38,0,11038
11,40,0,11040
11,41,0,11041
11,44,0,11044
11,45,0,11045
11,47,0,11047
11,50,0,11050
12,1,0,12001
12,7,0,12007
12,8,0,12008
12,9,0,12009
12,14,0,12014
12,15,0,12015
12,16,0,12016
12,18,0,12018
12,22,0,12022
22,1,0,22001
22,29,0,22029
24,57,0,24057
25,1,0,25001
25,2,0,25002
25,5,0,25005
25,7,0,25007
25,8,0,25008
25,9,0,25009
25,11,0,25011
25,13,0,25013
25,15,0,25015
25,17,0,25017
25,19,0,25019
25,20,0,25020
25,22,0,25022
25,23,0,25023
25,24,0,25024
25,30,0,25030
28,29,0,28029
28,38,0,28038
28,69,0,28069
