ward,precinct,total,Robert J. Foss,Robert J. Foss Percent,Jacqueline Arendt,Jacqueline Arendt Percent,precinct_id
30,1,13,6,46.15,7,53.85,30001
30,2,7,4,57.14,3,42.86,30002
30,3,13,5,38.46,8,61.54,30003
30,4,3,2,66.67,1,33.33,30004
30,5,3,3,100.0,0,0.0,30005
30,6,4,2,50.0,2,50.0,30006
30,7,7,4,57.14,3,42.86,30007
30,8,12,9,75.0,3,25.0,30008
30,9,8,4,50.0,4,50.0,30009
30,10,12,10,83.33,2,16.67,30010
30,11,7,6,85.71,1,14.29,30011
30,12,7,5,71.43,2,28.57,30012
30,13,16,13,81.25,3,18.75,30013
30,14,6,3,50.0,3,50.0,30014
30,15,12,9,75.0,3,25.0,30015
30,16,11,7,63.64,4,36.36,30016
30,17,9,8,88.89,1,11.11,30017
30,18,5,4,80.0,1,20.0,30018
30,19,2,1,50.0,1,50.0,30019
30,20,4,3,75.0,1,25.0,30020
30,21,5,2,40.0,3,60.0,30021
30,22,5,2,40.0,3,60.0,30022
30,23,1,0,0.0,1,100.0,30023
30,24,4,3,75.0,1,25.0,30024
30,25,9,4,44.44,5,55.56,30025
30,26,0,0,0.0,0,0.0,30026
30,27,5,2,40.0,3,60.0,30027
30,28,7,5,71.43,2,28.57,30028
30,29,3,2,66.67,1,33.33,30029
30,30,15,12,80.0,3,20.0,30030
30,31,1,0,0.0,1,100.0,30031
30,32,2,1,50.0,1,50.0,30032
30,33,4,0,0.0,4,100.0,30033
30,34,2,1,50.0,1,50.0,30034
30,35,5,3,60.0,2,40.0,30035
30,36,21,11,52.38,10,47.62,30036
30,37,10,8,80.0,2,20.0,30037
30,38,16,14,87.5,2,12.5,30038
30,39,11,8,72.73,3,27.27,30039
30,40,10,5,50.0,5,50.0,30040
30,41,2,2,100.0,0,0.0,30041
