ward,precinct,total,Martin J. Ryan,Martin J. Ryan Percent,precinct_id
13,4,3,3,100.0,13004
23,1,15,15,100.0,23001
23,2,3,3,100.0,23002
23,3,19,19,100.0,23003
23,4,20,20,100.0,23004
23,7,0,0,0.0,23007
23,8,13,13,100.0,23008
23,11,17,17,100.0,23011
23,12,14,14,100.0,23012
23,13,20,20,100.0,23013
23,14,0,0,0.0,23014
23,15,12,12,100.0,23015
23,16,12,12,100.0,23016
23,17,24,24,100.0,23017
23,18,12,12,100.0,23018
23,19,14,14,100.0,23019
23,20,10,10,100.0,23020
23,21,0,0,0.0,23021
23,22,10,10,100.0,23022
23,23,14,14,100.0,23023
23,26,13,13,100.0,23026
23,27,16,16,100.0,23027
23,28,13,13,100.0,23028
23,30,6,6,100.0,23030
23,34,9,9,100.0,23034
23,35,2,2,100.0,23035
23,36,21,21,100.0,23036
23,37,5,5,100.0,23037
23,38,8,8,100.0,23038
23,39,20,20,100.0,23039
23,40,22,22,100.0,23040
23,42,8,8,100.0,23042
23,43,23,23,100.0,23043
23,44,8,8,100.0,23044
23,45,24,24,100.0,23045
23,46,8,8,100.0,23046
23,47,19,19,100.0,23047
23,48,7,7,100.0,23048
23,49,20,20,100.0,23049
23,52,11,11,100.0,23052
23,54,27,27,100.0,23054
23,55,14,14,100.0,23055
23,56,19,19,100.0,23056
