ward,precinct,total,Thomas G. Czachorowski,Thomas G. Czachorowski Percent,precinct_id
1,7,9,9,100.0,01007
1,16,1,1,100.0,01016
1,19,7,7,100.0,01019
1,28,3,3,100.0,01028
1,39,3,3,100.0,01039
30,1,11,11,100.0,30001
30,3,12,12,100.0,30003
30,7,8,8,100.0,30007
30,8,14,14,100.0,30008
30,13,14,14,100.0,30013
30,14,4,4,100.0,30014
30,15,12,12,100.0,30015
30,16,10,10,100.0,30016
30,30,14,14,100.0,30030
30,38,14,14,100.0,30038
30,39,11,11,100.0,30039
31,8,6,6,100.0,31008
31,26,3,3,100.0,31026
33,1,5,5,100.0,33001
33,2,14,14,100.0,33002
33,3,6,6,100.0,33003
33,4,7,7,100.0,33004
33,5,13,13,100.0,33005
33,6,6,6,100.0,33006
33,9,8,8,100.0,33009
33,11,15,15,100.0,33011
33,12,4,4,100.0,33012
33,13,9,9,100.0,33013
33,14,6,6,100.0,33014
33,15,4,4,100.0,33015
33,17,9,9,100.0,33017
33,18,1,1,100.0,33018
33,19,8,8,100.0,33019
33,20,7,7,100.0,33020
33,21,7,7,100.0,33021
33,22,6,6,100.0,33022
33,23,14,14,100.0,33023
33,25,8,8,100.0,33025
33,26,6,6,100.0,33026
33,27,7,7,100.0,33027
33,29,8,8,100.0,33029
33,30,16,16,100.0,33030
33,31,14,14,100.0,33031
33,32,5,5,100.0,33032
33,33,11,11,100.0,33033
33,34,8,8,100.0,33034
35,1,0,0,0.0,35001
35,4,20,20,100.0,35004
35,22,5,5,100.0,35022
35,24,0,0,0.0,35024
35,26,7,7,100.0,35026
35,33,6,6,100.0,35033
38,10,3,3,100.0,38010
38,24,2,2,100.0,38024
38,34,5,5,100.0,38034
39,12,2,2,100.0,39012
39,13,2,2,100.0,39013
39,22,6,6,100.0,39022
39,23,9,9,100.0,39023
39,24,4,4,100.0,39024
39,27,19,19,100.0,39027
39,28,18,18,100.0,39028
39,29,15,15,100.0,39029
39,30,6,6,100.0,39030
39,31,8,8,100.0,39031
39,44,14,14,100.0,39044
39,46,9,9,100.0,39046
