ward,precinct,total,Ronnie McKenzie,Ronnie McKenzie Percent,Larry G. Nelson,Larry G. Nelson Percent,"Calvin """"Omar"""" Johnson","Calvin """"Omar"""" Johnson Percent",precinct_id
24,1,3,0,0.0,1,33.33,2,66.67,24001
24,2,8,3,37.5,1,12.5,4,50.0,24002
24,3,2,0,0.0,0,0.0,2,100.0,24003
24,4,2,0,0.0,0,0.0,2,100.0,24004
24,5,0,0,0.0,0,0.0,0,0.0,24005
24,6,7,0,0.0,4,57.14,3,42.86,24006
24,7,0,0,0.0,0,0.0,0,0.0,24007
24,8,2,0,0.0,1,50.0,1,50.0,24008
24,9,8,1,12.5,0,0.0,7,87.5,24009
24,10,4,0,0.0,1,25.0,3,75.0,24010
24,11,2,1,50.0,0,0.0,1,50.0,24011
24,12,3,1,33.33,1,33.33,1,33.33,24012
24,13,2,1,50.0,0,0.0,1,50.0,24013
24,14,11,8,72.73,2,18.18,1,9.09,24014
24,15,1,0,0.0,0,0.0,1,100.0,24015
24,16,0,0,0.0,0,0.0,0,0.0,24016
24,17,0,0,0.0,0,0.0,0,0.0,24017
24,18,0,0,0.0,0,0.0,0,0.0,24018
24,19,0,0,0.0,0,0.0,0,0.0,24019
24,20,0,0,0.0,0,0.0,0,0.0,24020
24,21,2,1,50.0,0,0.0,1,50.0,24021
24,22,2,0,0.0,2,100.0,0,0.0,24022
24,23,2,0,0.0,2,100.0,0,0.0,24023
24,24,1,0,0.0,0,0.0,1,100.0,24024
24,25,12,0,0.0,9,75.0,3,25.0,24025
24,26,4,0,0.0,0,0.0,4,100.0,24026
24,27,0,0,0.0,0,0.0,0,0.0,24027
24,28,2,0,0.0,0,0.0,2,100.0,24028
24,29,4,2,50.0,1,25.0,1,25.0,24029
24,30,5,0,0.0,0,0.0,5,100.0,24030
24,31,3,0,0.0,0,0.0,3,100.0,24031
24,32,2,0,0.0,0,0.0,2,100.0,24032
24,33,1,0,0.0,0,0.0,1,100.0,24033
24,34,6,0,0.0,1,16.67,5,83.33,24034
24,35,0,0,0.0,0,0.0,0,0.0,24035
24,36,0,0,0.0,0,0.0,0,0.0,24036
24,37,0,0,0.0,0,0.0,0,0.0,24037
24,38,4,0,0.0,4,100.0,0,0.0,24038
24,39,0,0,0.0,0,0.0,0,0.0,24039
24,40,2,0,0.0,1,50.0,1,50.0,24040
24,41,0,0,0.0,0,0.0,0,0.0,24041
24,42,3,3,100.0,0,0.0,0,0.0,24042
24,43,4,0,0.0,0,0.0,4,100.0,24043
24,44,0,0,0.0,0,0.0,0,0.0,24044
24,45,2,1,50.0,0,0.0,1,50.0,24045
24,46,0,0,0.0,0,0.0,0,0.0,24046
24,47,7,6,85.71,1,14.29,0,0.0,24047
24,48,0,0,0.0,0,0.0,0,0.0,24048
24,49,3,1,33.33,1,33.33,1,33.33,24049
24,50,9,9,100.0,0,0.0,0,0.0,24050
24,51,30,0,0.0,1,3.33,29,96.67,24051
24,52,1,0,0.0,1,100.0,0,0.0,24052
24,53,4,1,25.0,2,50.0,1,25.0,24053
24,54,2,1,50.0,1,50.0,0,0.0,24054
24,55,0,0,0.0,0,0.0,0,0.0,24055
24,56,0,0,0.0,0,0.0,0,0.0,24056
24,57,5,2,40.0,0,0.0,3,60.0,24057
24,58,2,1,50.0,1,50.0,0,0.0,24058
24,59,0,0,0.0,0,0.0,0,0.0,24059
