ward,precinct,total,Dave Sullivan (Bush),Dave Sullivan (Bush) Percent,Rosemary Mulligan (Bush),Rosemary Mulligan (Bush) Percent,precinct_id
50,34,10,5,50.0,5,50.0,50034
50,35,43,21,48.84,22,51.16,50035
50,36,33,18,54.55,15,45.45,50036
50,37,33,16,48.48,17,51.52,50037
50,38,16,8,50.0,8,50.0,50038
50,39,15,8,53.33,7,46.67,50039
50,40,22,11,50.0,11,50.0,50040
50,41,27,13,48.15,14,51.85,50041
50,42,18,9,50.0,9,50.0,50042
50,43,8,4,50.0,4,50.0,50043
