ward,precinct,total,Charles A. Wilson,Charles A. Wilson Percent,precinct_id
16,1,1,1,100.0,16001
16,2,1,1,100.0,16002
16,3,2,2,100.0,16003
16,4,0,0,0.0,16004
16,5,0,0,0.0,16005
16,6,3,3,100.0,16006
16,7,0,0,0.0,16007
16,8,1,1,100.0,16008
16,9,0,0,0.0,16009
16,10,1,1,100.0,16010
16,11,1,1,100.0,16011
16,12,3,3,100.0,16012
16,13,7,7,100.0,16013
16,14,1,1,100.0,16014
16,15,2,2,100.0,16015
16,16,1,1,100.0,16016
16,17,12,12,100.0,16017
16,18,0,0,0.0,16018
16,19,3,3,100.0,16019
16,20,0,0,0.0,16020
16,21,2,2,100.0,16021
16,22,2,2,100.0,16022
16,23,2,2,100.0,16023
16,24,0,0,0.0,16024
16,25,4,4,100.0,16025
16,26,2,2,100.0,16026
16,27,2,2,100.0,16027
16,28,4,4,100.0,16028
16,29,0,0,0.0,16029
16,30,1,1,100.0,16030
16,31,1,1,100.0,16031
16,32,6,6,100.0,16032
16,33,0,0,0.0,16033
16,34,2,2,100.0,16034
16,35,16,16,100.0,16035
16,36,2,2,100.0,16036
16,37,0,0,0.0,16037
16,38,4,4,100.0,16038
16,39,0,0,0.0,16039
16,40,0,0,0.0,16040
16,41,0,0,0.0,16041
16,42,0,0,0.0,16042
16,43,0,0,0.0,16043
16,44,3,3,100.0,16044
16,45,3,3,100.0,16045
16,46,1,1,100.0,16046
16,47,1,1,100.0,16047
