ward,precinct,total,Suzanne E. Mauntel,Suzanne E. Mauntel Percent,precinct_id
40,1,7,7,100.0,40001
40,2,6,6,100.0,40002
40,3,5,5,100.0,40003
40,4,14,14,100.0,40004
40,5,7,7,100.0,40005
40,6,11,11,100.0,40006
40,7,7,7,100.0,40007
40,8,7,7,100.0,40008
40,9,8,8,100.0,40009
40,10,13,13,100.0,40010
40,11,8,8,100.0,40011
40,12,6,6,100.0,40012
40,13,8,8,100.0,40013
40,14,10,10,100.0,40014
40,15,10,10,100.0,40015
40,16,14,14,100.0,40016
40,17,4,4,100.0,40017
40,18,5,5,100.0,40018
40,19,16,16,100.0,40019
40,20,13,13,100.0,40020
40,21,13,13,100.0,40021
40,22,1,1,100.0,40022
40,23,13,13,100.0,40023
40,24,10,10,100.0,40024
40,25,12,12,100.0,40025
40,26,9,9,100.0,40026
40,27,8,8,100.0,40027
40,28,13,13,100.0,40028
40,29,10,10,100.0,40029
40,30,6,6,100.0,40030
40,31,12,12,100.0,40031
40,32,13,13,100.0,40032
40,33,12,12,100.0,40033
40,34,10,10,100.0,40034
40,35,16,16,100.0,40035
40,36,19,19,100.0,40036
40,37,5,5,100.0,40037
40,38,4,4,100.0,40038
40,39,17,17,100.0,40039
40,40,11,11,100.0,40040
40,41,11,11,100.0,40041
40,42,16,16,100.0,40042
40,43,7,7,100.0,40043
40,44,18,18,100.0,40044
40,45,30,30,100.0,40045
40,46,10,10,100.0,40046
40,47,4,4,100.0,40047
40,48,16,16,100.0,40048
40,49,6,6,100.0,40049
