ward,precinct,total,Michael P. McAuliffe,Michael P. McAuliffe Percent,Walter W. Dudycz,Walter W. Dudycz Percent,precinct_id
41,1,48,38,79.17,10,20.83,41001
41,2,62,45,72.58,17,27.42,41002
41,3,34,31,91.18,3,8.82,41003
41,4,39,34,87.18,5,12.82,41004
41,5,74,60,81.08,14,18.92,41005
41,6,58,47,81.03,11,18.97,41006
41,7,60,47,78.33,13,21.67,41007
41,8,39,26,66.67,13,33.33,41008
41,9,36,23,63.89,13,36.11,41009
41,10,37,24,64.86,13,35.14,41010
41,11,50,33,66.0,17,34.0,41011
41,12,38,22,57.89,16,42.11,41012
41,13,30,20,66.67,10,33.33,41013
41,14,37,19,51.35,18,48.65,41014
41,15,23,17,73.91,6,26.09,41015
41,16,54,35,64.81,19,35.19,41016
41,17,43,32,74.42,11,25.58,41017
41,18,42,28,66.67,14,33.33,41018
41,19,54,40,74.07,14,25.93,41019
41,20,70,54,77.14,16,22.86,41020
41,21,53,36,67.92,17,32.08,41021
41,22,30,18,60.0,12,40.0,41022
41,23,36,21,58.33,15,41.67,41023
41,24,37,23,62.16,14,37.84,41024
41,25,10,8,80.0,2,20.0,41025
41,26,25,14,56.0,11,44.0,41026
41,27,15,9,60.0,6,40.0,41027
41,28,25,17,68.0,8,32.0,41028
41,29,15,6,40.0,9,60.0,41029
41,30,34,30,88.24,4,11.76,41030
41,31,65,57,87.69,8,12.31,41031
41,32,36,17,47.22,19,52.78,41032
41,33,67,56,83.58,11,16.42,41033
41,34,72,52,72.22,20,27.78,41034
41,35,39,19,48.72,20,51.28,41035
41,36,51,43,84.31,8,15.69,41036
41,37,88,79,89.77,9,10.23,41037
41,38,25,11,44.0,14,56.0,41038
41,39,36,25,69.44,11,30.56,41039
41,40,35,21,60.0,14,40.0,41040
41,41,51,42,82.35,9,17.65,41041
41,42,81,74,91.36,7,8.64,41042
41,43,44,35,79.55,9,20.45,41043
41,44,46,34,73.91,12,26.09,41044
41,45,23,16,69.57,7,30.43,41045
41,46,32,28,87.5,4,12.5,41046
41,47,50,20,40.0,30,60.0,41047
41,48,29,17,58.62,12,41.38,41048
41,49,45,38,84.44,7,15.56,41049
41,50,40,31,77.5,9,22.5,41050
41,51,39,16,41.03,23,58.97,41051
41,52,54,30,55.56,24,44.44,41052
41,53,82,70,85.37,12,14.63,41053
41,54,38,17,44.74,21,55.26,41054
41,55,84,79,94.05,5,5.95,41055
41,56,73,63,86.3,10,13.7,41056
41,57,48,37,77.08,11,22.92,41057
41,58,39,31,79.49,8,20.51,41058
41,59,24,15,62.5,9,37.5,41059
41,60,42,33,78.57,9,21.43,41060
41,61,48,41,85.42,7,14.58,41061
41,62,25,21,84.0,4,16.0,41062
41,63,43,38,88.37,5,11.63,41063
41,64,49,33,67.35,16,32.65,41064
41,65,43,29,67.44,14,32.56,41065
41,66,56,34,60.71,22,39.29,41066
41,67,22,11,50.0,11,50.0,41067
41,68,21,18,85.71,3,14.29,41068
41,69,32,17,53.13,15,46.88,41069
41,70,28,20,71.43,8,28.57,41070
41,71,23,13,56.52,10,43.48,41071
